Dataset,Framework,Learning,Emissions,Normalized_Emissions
dataset_A,scDLC,Deep Learning,0.0027858993353776,0.5229646241801348
dataset_A,scCDCG,Deep Learning,0.0019397861474564,0.3181047788487
dataset_A,scSMD,Deep Learning,0.0047561533006343,1.0
dataset_A,ACTINN,Deep Learning,0.0022807842322749,0.4006667999960873
dataset_B,scDLC,Deep Learning,7.929054729148335e-05,0.052408758750611704
dataset_B,scCDCG,Deep Learning,8.399613814590333e-05,0.061779829358830224
dataset_B,scSMD,Deep Learning,0.0002584060174205,0.40911289422100594
dataset_B,ACTINN,Deep Learning,0.0005551141607259,1.0
dataset_C,scDLC,Deep Learning,4.233306168363448e-05,0.018660894283005363
dataset_C,scCDCG,Deep Learning,0.0002802190862397,0.2611187439977061
dataset_C,scSMD,Deep Learning,0.0002764669938844,0.25729454185680817
dataset_C,ACTINN,Deep Learning,0.0010051678755497,1.0
dataset_D,scDLC,Deep Learning,0.001552672617033,0.9651358857290603
dataset_D,scCDCG,Deep Learning,0.0009005649407091,0.41282993700987475
dataset_D,scSMD,Deep Learning,0.0009583308187093,0.4617550443362457
dataset_D,ACTINN,Deep Learning,0.0012218573660347,0.6849502082909689
dataset_A,scDLC,Federated Learning,0.0012122030636831,0.14194329107686754
dataset_A,scCDCG,Federated Learning,0.0016704382739305,0.2528906154263877
dataset_A,scSMD,Federated Learning,0.0040180511265176,0.821291643497672
dataset_A,ACTINN,Federated Learning,0.0006259481520738,0.0
dataset_B,scDLC,Federated Learning,5.2974005011661216e-05,0.0
dataset_B,scCDCG,Federated Learning,9.224943655859647e-05,0.07821607393870005
dataset_B,scSMD,Federated Learning,0.0002843528769555,0.4607854387082984
dataset_B,ACTINN,Federated Learning,0.000150081559846,0.19338735157759698
dataset_C,scDLC,Federated Learning,2.4024040297572092e-05,0.0
dataset_C,scCDCG,Federated Learning,5.376873824067421e-05,0.0303163479954583
dataset_C,scSMD,Federated Learning,0.0001749750203834,0.153852039489233
dataset_C,ACTINN,Federated Learning,0.0003840487111235,0.3669438240249567
dataset_D,scDLC,Federated Learning,0.0004131366021863,0.0
dataset_D,scCDCG,Federated Learning,0.0004760787258455,0.05330915519652296
dataset_D,scSMD,Federated Learning,0.0015938366794463,1.0
dataset_D,ACTINN,Federated Learning,0.0006436490929181,0.19523373900909746
