Framework,Learning,Dataset,F1
scDLC,Deep Learning,dataset_A,0.6955209291954628
scCDCG,Deep Learning,dataset_A,0.6971189993920986
scSMD,Deep Learning,dataset_A,0.6960862923096414
ACTINN,Deep Learning,dataset_A,0.7184863594389925
scDLC,Deep Learning,dataset_B,0.9824127933540876
scCDCG,Deep Learning,dataset_B,0.9766303908316868
scSMD,Deep Learning,dataset_B,0.9941202487186824
ACTINN,Deep Learning,dataset_B,0.7847410113403896
scDLC,Deep Learning,dataset_C,0.9783941848836906
scCDCG,Deep Learning,dataset_C,0.966842029532944
scSMD,Deep Learning,dataset_C,0.9783941848836906
ACTINN,Deep Learning,dataset_C,0.7821958605753562
scDLC,Deep Learning,dataset_D,0.9417536838482478
scCDCG,Deep Learning,dataset_D,0.942549549953017
scSMD,Deep Learning,dataset_D,0.9378362290943496
ACTINN,Deep Learning,dataset_D,0.9037927730662028
scDLC,Federated Learning,dataset_A,0.7305441042042986
scCDCG,Federated Learning,dataset_A,0.7331200741559603
scSMD,Federated Learning,dataset_A,0.7395579463707769
ACTINN,Federated Learning,dataset_A,0.6135674770720142
scDLC,Federated Learning,dataset_B,0.8608530717077502
scCDCG,Federated Learning,dataset_B,0.9529102070032016
scSMD,Federated Learning,dataset_B,0.7456280976258214
ACTINN,Federated Learning,dataset_B,0.7209875169233211
scDLC,Federated Learning,dataset_C,0.9708148203377406
scCDCG,Federated Learning,dataset_C,0.974537487623626
scSMD,Federated Learning,dataset_C,0.9813466044327428
ACTINN,Federated Learning,dataset_C,0.4534554329144973
scDLC,Federated Learning,dataset_D,0.9001073725486896
scCDCG,Federated Learning,dataset_D,0.932750064281332
scSMD,Federated Learning,dataset_D,0.909851168744902
ACTINN,Federated Learning,dataset_D,0.8952167552269262
