Method,Emissions,Dataset,Framework,Normalized_Emissions
Baseline,0.0012122030636831,dataset_A,scDLC,0.14286498090182864
SmallBatch,0.0019335604648954,dataset_A,scDLC,0.26149351087587774
MixedPrecision,0.0014351241464542,dataset_A,scDLC,0.17952475635421367
ReduceComplexity,0.0010833321872881,dataset_A,scDLC,0.12167193207816104
Baseline,0.0016704382739305,dataset_A,scCDCG,0.2182225904344159
SmallBatch,0.0022731355942283,dataset_A,scCDCG,0.3173372553786862
MixedPrecision,0.0015667780775146,dataset_A,scCDCG,0.2011754835537307
ReduceComplexity,0.000901312630491,dataset_A,scCDCG,0.09173848658625983
Baseline,0.0040180511265176,dataset_A,scSMD,0.6042917722055603
SmallBatch,0.0064242771743542,dataset_A,scSMD,1.0
MixedPrecision,0.004096782117683,dataset_A,scSMD,0.6172392261717288
ReduceComplexity,0.0039162357134303,dataset_A,scSMD,0.5875480432815227
Baseline,0.0006259481520738,dataset_A,ACTINN,0.04645429982002551
SmallBatch,0.0014508670480656,dataset_A,ACTINN,0.1821137050120466
MixedPrecision,0.000435431283487,dataset_A,ACTINN,0.015123456027851473
ReduceComplexity,0.0003434684399789,dataset_A,ACTINN,0.0
Baseline,5.2974005011661216e-05,dataset_B,scDLC,0.159087905252187
SmallBatch,1.8371041890893333e-05,dataset_B,scDLC,0.033328582640271776
MixedPrecision,1.8344552840020415e-05,dataset_B,scDLC,0.03323231212486001
ReduceComplexity,3.247432110180467e-05,dataset_B,scDLC,0.084584853208223
Baseline,9.224943655859647e-05,dataset_B,scCDCG,0.3018286193752732
SmallBatch,7.936752639061073e-05,dataset_B,scCDCG,0.25501123292719957
MixedPrecision,2.273007639335572e-05,dataset_B,scCDCG,0.04917084517595117
ReduceComplexity,2.1679823869718483e-05,dataset_B,scCDCG,0.04535385859352746
Baseline,0.0002843528769555,dataset_B,scSMD,1.0
SmallBatch,3.323526551717946e-05,dataset_B,scSMD,0.08735039250290319
MixedPrecision,9.200606713473562e-06,dataset_B,scSMD,0.0
ReduceComplexity,1.9671123513079517e-05,dataset_B,scSMD,0.03805353592174977
Baseline,0.000150081559846,dataset_B,ACTINN,0.5120108695036616
SmallBatch,2.3668350739360808e-05,dataset_B,ACTINN,0.05258086372742368
MixedPrecision,0.0001108140359808,dataset_B,ACTINN,0.36929889467365234
ReduceComplexity,0.0001568048841999,dataset_B,ACTINN,0.5364457918395236
Baseline,2.4024040297572092e-05,dataset_C,scDLC,0.03365652229148269
SmallBatch,2.5651088047634558e-05,dataset_C,scDLC,0.03802368684602896
MixedPrecision,1.3914158588972672e-05,dataset_C,scDLC,0.006520553450521499
ReduceComplexity,1.1484835927020608e-05,dataset_C,scDLC,0.0
Baseline,5.376873824067421e-05,dataset_C,scCDCG,0.11349437003615635
SmallBatch,2.586960805574142e-05,dataset_C,scCDCG,0.038610217163794265
MixedPrecision,5.637541919040618e-05,dataset_C,scCDCG,0.12049097148700094
ReduceComplexity,0.0001704423154044,dataset_C,scCDCG,0.4266583264240255
Baseline,0.0001749750203834,dataset_C,scSMD,0.4388245757057348
SmallBatch,9.543245281616264e-05,dataset_C,scSMD,0.2253240919959577
MixedPrecision,3.510351210225658e-05,dataset_C,scSMD,0.06339497129929779
ReduceComplexity,7.985860084035538e-05,dataset_C,scSMD,0.1835222614572506
Baseline,0.0003840487111235,dataset_C,ACTINN,1.0
SmallBatch,4.003792477603926e-05,dataset_C,ACTINN,0.07663944560905316
MixedPrecision,6.197313247410601e-05,dataset_C,ACTINN,0.13551581328291515
ReduceComplexity,0.0001619952565883,dataset_C,ACTINN,0.4039855463225052
Baseline,0.0004131366021863,dataset_D,scDLC,0.1542185952998685
SmallBatch,0.0006838180153609,dataset_D,scDLC,0.3481182233851947
MixedPrecision,0.0003369466820872,dataset_D,scDLC,0.09964079109157985
ReduceComplexity,0.0002990705768238,dataset_D,scDLC,0.07250866318608286
Baseline,0.0004760787258455,dataset_D,scCDCG,0.199306487465361
SmallBatch,0.0005265507924436,dataset_D,scCDCG,0.2354615925658236
MixedPrecision,0.0003420961348071,dataset_D,scCDCG,0.10332954443271719
ReduceComplexity,0.0001978494057859,dataset_D,scCDCG,0.0
Baseline,0.0015938366794463,dataset_D,scSMD,1.0
SmallBatch,0.0013790018227627,dataset_D,scSMD,0.8461054332391695
MixedPrecision,0.0008955910932274,dataset_D,scSMD,0.49981951884988224
ReduceComplexity,0.0007716059596585,dataset_D,scSMD,0.41100414358947596
Baseline,0.0006436490929181,dataset_D,ACTINN,0.3193436613238418
SmallBatch,0.0007839884150599,dataset_D,ACTINN,0.4198741781772069
MixedPrecision,0.000342073844357,dataset_D,ACTINN,0.10331357691602086
ReduceComplexity,0.0004307323561961,dataset_D,ACTINN,0.16682311852282197
