Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.643075,0.6265917173339451
Baseline,2,0.7053625,0.6748881495927498
Baseline,3,0.7424375,0.6947344269817598
Baseline,4,0.7749625,0.707468165653321
Baseline,5,0.80865,0.7228404267523231
Baseline,6,0.82845,0.7261672593782265
Baseline,7,0.8463375,0.7270850063095101
Baseline,8,0.8566,0.7234140185843754
Baseline,9,0.8701375,0.7276585981415624
Baseline,10,0.8777125,0.7289205001720775
Baseline,11,0.88965,0.7317884593323392
Baseline,12,0.8972125,0.7299529654697717
Baseline,13,0.905275,0.7293793736377194
Baseline,14,0.912775,0.7280027532407939
Baseline,15,0.9199875,0.7296088103705404
SmallBatch,1,0.7086875,0.6770677985545486
SmallBatch,2,0.77315,0.7073534472869106
SmallBatch,3,0.811875,0.7253642308133532
SmallBatch,4,0.8319625,0.7276585981415624
SmallBatch,5,0.8498,0.7360330388895262
SmallBatch,6,0.859875,0.7348858552254216
SmallBatch,7,0.86925,0.7346564184926007
SmallBatch,8,0.8764875,0.7354594470574739
SmallBatch,9,0.8812625,0.7385568429505563
SmallBatch,10,0.884425,0.7363771939887576
SmallBatch,11,0.8887875,0.7366066307215785
SmallBatch,12,0.8905625,0.7354594470574739
SmallBatch,13,0.8937375,0.7362624756223471
SmallBatch,14,0.8948625,0.737983251118504
SmallBatch,15,0.8962,0.7368360674543994
MixedPrecision,1,0.614725,0.5957324767695308
MixedPrecision,2,0.6849,0.6546977171045084
MixedPrecision,3,0.7277375,0.6786738556842951
MixedPrecision,4,0.7642625,0.6961110473786853
MixedPrecision,5,0.801075,0.7165309165997477
MixedPrecision,6,0.8195875,0.721578524721808
MixedPrecision,7,0.837825,0.7257083859125846
MixedPrecision,8,0.85465,0.7266261328438683
MixedPrecision,9,0.8664625,0.729035218538488
MixedPrecision,10,0.874625,0.7301824022025927
MixedPrecision,11,0.8854625,0.7288057818056671
MixedPrecision,12,0.895775,0.7319031776987496
MixedPrecision,13,0.9000875,0.7301824022025927
MixedPrecision,14,0.908675,0.7368360674543994
MixedPrecision,15,0.9108875,0.7340828266605484
ReduceComplexity,1,0.5145375,0.5028105999770563
ReduceComplexity,2,0.629675,0.6078926236090398
ReduceComplexity,3,0.656525,0.6294596764942068
ReduceComplexity,4,0.675825,0.6388665825398646
ReduceComplexity,5,0.6949875,0.6498795457152691
ReduceComplexity,6,0.70305,0.6518297579442469
ReduceComplexity,7,0.725375,0.6649076517150396
ReduceComplexity,8,0.7266625,0.6608925088906734
ReduceComplexity,9,0.7420625,0.6675461741424802
ReduceComplexity,10,0.7503625,0.6690375129058163
ReduceComplexity,11,0.7590125,0.6702994149363313
ReduceComplexity,12,0.7754625,0.6794768842491683
ReduceComplexity,13,0.778125,0.6790180107835264
ReduceComplexity,14,0.7812375,0.6763794883560859
ReduceComplexity,15,0.78965,0.6800504760812206
