Method,Client,Epoch,Test_Accuracy,F1_Score
Baseline,A,1,0.444418951474131,0.3259471338260101
Baseline,A,2,0.5489273832740622,0.46943026605570637
Baseline,A,3,0.567741195365378,0.4929967517491879
Baseline,A,4,0.6154640357921303,0.5619210326511641
Baseline,A,5,0.6403579213032007,0.5902822326195675
Baseline,A,6,0.6471263049214179,0.6021538822258597
Baseline,A,7,0.6437994722955145,0.602234212770923
Baseline,A,8,0.6471263049214179,0.6084426419468472
Baseline,A,9,0.6485029253183434,0.6209093848607029
Baseline,A,10,0.6512561661121946,0.6179248029455062
Baseline,A,FineTune_1,0.7321326144315705,0.7194698008463738
Baseline,A,FineTune_2,0.7294940920041298,0.7170575826845356
SmallBatch,A,1,0.4282436618102558,0.31207411745969915
SmallBatch,A,2,0.6128255133646897,0.5524605346270326
SmallBatch,A,3,0.6276241826316393,0.5654863060866954
SmallBatch,A,4,0.6495353906160376,0.5951704545399753
SmallBatch,A,5,0.6460938396237238,0.5974133909797017
SmallBatch,A,6,0.6592864517609269,0.6184980952951099
SmallBatch,A,7,0.6629574394860617,0.6263212247238674
SmallBatch,A,8,0.6660548353791442,0.6335848689287927
SmallBatch,A,9,0.6678903292417115,0.6386780035514313
SmallBatch,A,10,0.6686933578065848,0.6409441665284655
SmallBatch,A,FineTune_1,0.7358036021567053,0.7204265071083201
SmallBatch,A,FineTune_2,0.7343122633933693,0.7193522544048584
MixedPrecision,A,1,0.4926006653665252,0.42519705556483123
MixedPrecision,A,2,0.5583342893197201,0.4972997884012315
MixedPrecision,A,3,0.5943558563726052,0.5289431257458622
MixedPrecision,A,4,0.6254445336698405,0.5660577978754269
MixedPrecision,A,5,0.6278536193644603,0.5724735476357331
MixedPrecision,A,6,0.6376046805093496,0.5859148167047034
MixedPrecision,A,7,0.6489617987839853,0.6081755942755666
MixedPrecision,A,8,0.6503384191809108,0.6155967815017727
MixedPrecision,A,9,0.6546977171045084,0.6234814090625123
MixedPrecision,A,10,0.6579098313640014,0.6290766452886758
MixedPrecision,A,FineTune_1,0.7399334633474819,0.7258142494401683
MixedPrecision,A,FineTune_2,0.7322473327979809,0.7176991956704172
ReduceComplexity,A,1,0.38568314787197433,0.2440925844729727
ReduceComplexity,A,2,0.432258804634622,0.3132518120750365
ReduceComplexity,A,3,0.4953539061603763,0.40663301519947953
ReduceComplexity,A,4,0.535734771136859,0.4663851042232254
ReduceComplexity,A,5,0.5625788688769072,0.50174960611581
