Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.4524492371228634,1.9476215960322947
Baseline,2,0.5171503957783641,1.5755791508633157
Baseline,3,0.5839164850292532,1.3143308551415154
Baseline,4,0.6369163703108868,1.1438513562299204
Baseline,5,0.6626132843868303,1.027306142060653
SmallBatch,1,0.614890443960078,1.1606408763622893
SmallBatch,2,0.6730526557301824,0.9216715706431348
SmallBatch,3,0.700011471836641,0.8456391817417698
SmallBatch,4,0.7199724675920615,0.8131639655085577
SmallBatch,5,0.7284616267064357,0.7916106002918188
MixedPrecision,1,0.5281633589537685,1.6627087558525195
MixedPrecision,2,0.601009521624412,1.3098255741423455
MixedPrecision,3,0.625559252036251,1.145110799782518
MixedPrecision,4,0.646896868188597,1.0506182675776274
MixedPrecision,5,0.6615808190891361,0.9897074060163636
ReduceComplexity,1,0.407938510955604,2.1844473748967266
ReduceComplexity,2,0.4455661351382356,1.810761622760607
ReduceComplexity,3,0.48170242055753126,1.6082170787064924
ReduceComplexity,4,0.5499598485717564,1.4713252437287483
ReduceComplexity,5,0.5909143053802914,1.3697117221528206
