Method,Client,Epoch,Test_Accuracy,F1_Score
Baseline,A,FineTune_1,0.6760353332568544,0.631847609873523
Baseline,A,FineTune_2,0.6834920270735345,0.6484518574947392
Baseline,A,FineTune_3,0.6830331536078926,0.6478125762528821
Baseline,A,FineTune_4,0.6867041413330274,0.6569616913742666
Baseline,A,FineTune_5,0.683377308707124,0.6563760454676707
Baseline,A,FineTune_6,0.6830331536078926,0.6601674836161476
Baseline,A,FineTune_7,0.6781002638522428,0.6519243779191402
Baseline,A,FineTune_8,0.6779855454858322,0.6556893296864821
Baseline,A,FineTune_9,0.671217161867615,0.6455525914906068
Baseline,A,FineTune_10,0.6738556842950556,0.6524504950428645
SmallBatch,A,FineTune_1,0.7199724675920615,0.6998547655612576
SmallBatch,A,FineTune_2,0.7122863370425605,0.6941286612677801
SmallBatch,A,FineTune_3,0.7144659860043593,0.6955408423831946
SmallBatch,A,FineTune_4,0.7130893656074337,0.6961984411200158
SmallBatch,A,FineTune_5,0.7035677411953654,0.6861027476461226
SmallBatch,A,FineTune_6,0.7029941493633131,0.6853200041226988
SmallBatch,A,FineTune_7,0.7024205575312608,0.6857689167086164
SmallBatch,A,FineTune_8,0.6948491453481702,0.6798706273377592
SmallBatch,A,FineTune_9,0.6889985086612367,0.6723398808816057
SmallBatch,A,FineTune_10,0.694046116783297,0.6786952517977131
MixedPrecision,A,FineTune_1,0.6685786394401744,0.6182407881840796
MixedPrecision,A,FineTune_2,0.6768383618217276,0.6310749062102817
MixedPrecision,A,FineTune_3,0.682115406676609,0.6420943075370202
MixedPrecision,A,FineTune_4,0.6825742801422507,0.6465711665948148
MixedPrecision,A,FineTune_5,0.6857863944017437,0.6558317593431392
MixedPrecision,A,FineTune_6,0.683377308707124,0.6543517870548393
MixedPrecision,A,FineTune_7,0.6810829413789148,0.6494704933961446
MixedPrecision,A,FineTune_8,0.6892279453940576,0.6683339448846117
MixedPrecision,A,FineTune_9,0.6805093495468625,0.6557724598856215
MixedPrecision,A,FineTune_10,0.6800504760812206,0.6566081428661713
ReduceComplexity,A,FineTune_1,0.6119077664334059,0.5486166463005206
ReduceComplexity,A,FineTune_2,0.6155787541585408,0.5498488435384125
ReduceComplexity,A,FineTune_3,0.6164965010898245,0.550827647328776
ReduceComplexity,A,FineTune_4,0.6237237581736836,0.5588453144608082
ReduceComplexity,A,FineTune_5,0.6271653091659974,0.5623925045200205
ReduceComplexity,A,FineTune_6,0.6214293908454743,0.5564047749250043
ReduceComplexity,A,FineTune_7,0.6231501663416313,0.5592111552184732
ReduceComplexity,A,FineTune_8,0.6265917173339451,0.5709657693268141
ReduceComplexity,A,FineTune_9,0.6292302397613858,0.5761441118536382
ReduceComplexity,A,FineTune_10,0.6286566479293335,0.5769558491375514
Baseline,B,FineTune_1,0.6644487782493977,0.6195641076596159
Baseline,B,FineTune_2,0.6807387862796834,0.6437064778213246
Baseline,B,FineTune_3,0.6839509005391763,0.6518541793133829
Baseline,B,FineTune_4,0.685098084203281,0.6559255574354076
Baseline,B,FineTune_5,0.6889985086612367,0.660235981959731
Baseline,B,FineTune_6,0.6834920270735345,0.6583169171694925
Baseline,B,FineTune_7,0.6845244923712286,0.6613127512863303
Baseline,B,FineTune_8,0.6824595617758403,0.6593239139930516
Baseline,B,FineTune_9,0.6808535046460938,0.6617787165743078
Baseline,B,FineTune_10,0.6795916026155787,0.6606692257259488
SmallBatch,B,FineTune_1,0.724331765515659,0.7044312047095347
SmallBatch,B,FineTune_2,0.7226109900195021,0.7022737110919023
SmallBatch,B,FineTune_3,0.7181369737294941,0.7002727193188601
SmallBatch,B,FineTune_4,0.7150395778364116,0.6976251903558861
SmallBatch,B,FineTune_5,0.7066651370884479,0.6916984307114739
SmallBatch,B,FineTune_6,0.7083859125846048,0.6920710822492845
SmallBatch,B,FineTune_7,0.703223586096134,0.6909221862287389
SmallBatch,B,FineTune_8,0.7034530228289549,0.688706333486953
SmallBatch,B,FineTune_9,0.6995525983709991,0.6847813122438687
SmallBatch,B,FineTune_10,0.6966846392107376,0.6819546278939879
MixedPrecision,B,FineTune_1,0.6672020190432488,0.6152860177968311
MixedPrecision,B,FineTune_2,0.6721349087988987,0.6256265915377572
MixedPrecision,B,FineTune_3,0.6766089250889067,0.6386243407679019
MixedPrecision,B,FineTune_4,0.6886543535620053,0.65535659068988
MixedPrecision,B,FineTune_5,0.6854422393025124,0.6532790257337069
MixedPrecision,B,FineTune_6,0.6887690719284157,0.6593136043040747
MixedPrecision,B,FineTune_7,0.6859011127681541,0.6586781195487359
MixedPrecision,B,FineTune_8,0.6875071698979006,0.6630736601133751
MixedPrecision,B,FineTune_9,0.6870482964322588,0.6655216865387367
MixedPrecision,B,FineTune_10,0.6838361821727659,0.6628481753884318
ReduceComplexity,B,FineTune_1,0.6078926236090398,0.5433687384461096
ReduceComplexity,B,FineTune_2,0.6142021337616153,0.5467721524655831
ReduceComplexity,B,FineTune_3,0.6053688195480096,0.5367457652363745
ReduceComplexity,B,FineTune_4,0.6217735459447058,0.5536227692503668
ReduceComplexity,B,FineTune_5,0.6213146724790639,0.5555002393617628
ReduceComplexity,B,FineTune_6,0.6257886887690719,0.5638857929325862
ReduceComplexity,B,FineTune_7,0.6239531949065046,0.5632670993730198
ReduceComplexity,B,FineTune_8,0.6221177010439372,0.5633270648391069
ReduceComplexity,B,FineTune_9,0.6261328438683034,0.5714488853660189
ReduceComplexity,B,FineTune_10,0.6348514397154984,0.5862620184020734
