Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.695525,0.7409659286451761
Baseline,2,0.8390125,0.726052541011816
Baseline,3,0.925125,0.7172192267982104
Baseline,4,0.9589875,0.7144659860043593
Baseline,5,0.97325,0.7103361248135827
Baseline,6,0.977875,0.712401055408971
Baseline,7,0.9823875,0.710680279912814
Baseline,8,0.9832125,0.7042560513938282
Baseline,9,0.9850625,0.7126304921417919
Baseline,10,0.9865,0.7033383044625444
Baseline,11,0.986825,0.7125157737753814
Baseline,12,0.9879125,0.7148101411035906
Baseline,13,0.9888375,0.707468165653321
Baseline,14,0.99015,0.7029941493633131
Baseline,15,0.9896125,0.7058621085235747
SmallBatch,1,0.6933875,0.7312148675002867
SmallBatch,2,0.8348125,0.7283469083400252
SmallBatch,3,0.921575,0.7160720431341058
SmallBatch,4,0.9580875,0.7063209819892164
SmallBatch,5,0.9708125,0.7128599288746128
SmallBatch,6,0.9780625,0.7087300676838362
SmallBatch,7,0.9812,0.7044854881266491
SmallBatch,8,0.9839625,0.7148101411035906
SmallBatch,9,0.9839875,0.7125157737753814
SmallBatch,10,0.9858,0.7068945738212687
SmallBatch,11,0.9872,0.7099919697143513
SmallBatch,12,0.988725,0.7068945738212687
SmallBatch,13,0.9873375,0.7033383044625444
SmallBatch,14,0.9889,0.7097625329815304
SmallBatch,15,0.98955,0.7079270391189629
MixedPrecision,1,0.6957875,0.7369507858208099
MixedPrecision,2,0.8362375,0.730526557301824
MixedPrecision,3,0.92215,0.7187105655615464
MixedPrecision,4,0.957925,0.7112538717448663
MixedPrecision,5,0.9733125,0.7119421819433291
MixedPrecision,6,0.977175,0.7049443615922909
MixedPrecision,7,0.9813625,0.7044854881266491
MixedPrecision,8,0.982825,0.7050590799587014
MixedPrecision,9,0.98485,0.7102214064471722
MixedPrecision,10,0.9852,0.709418377882299
MixedPrecision,11,0.9875125,0.7117127452105082
MixedPrecision,12,0.98875,0.7089595044166571
MixedPrecision,13,0.9889375,0.7085006309510152
MixedPrecision,14,0.989475,0.7102214064471722
MixedPrecision,15,0.98895,0.7103361248135827
ReduceComplexity,1,0.6916875,0.7375243776528623
ReduceComplexity,2,0.83425,0.727543879775152
ReduceComplexity,3,0.9215375,0.7235287369507858
ReduceComplexity,4,0.960875,0.7163014798669267
ReduceComplexity,5,0.9752375,0.7107949982792245
ReduceComplexity,6,0.9802625,0.7085006309510152
ReduceComplexity,7,0.9831375,0.7117127452105082
ReduceComplexity,8,0.9862,0.7103361248135827
ReduceComplexity,9,0.986925,0.7056326717907537
ReduceComplexity,10,0.988575,0.707697602386142
ReduceComplexity,11,0.987775,0.7081564758517839
ReduceComplexity,12,0.9901,0.7028794309969026
ReduceComplexity,13,0.9902875,0.7017322473327979
ReduceComplexity,14,0.990675,0.7103361248135827
ReduceComplexity,15,0.9912125,0.7042560513938282
