Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6779855454858322,0.6643389864589968
Baseline,A,2,0.6541241252724561,0.6482029627882508
Baseline,A,3,0.6396696111047379,0.6304225340910183
Baseline,A,4,0.6548124354709189,0.6421873592259782
Baseline,A,5,0.6478146151198807,0.6365094134417423
Baseline,A,6,0.646896868188597,0.6372489556748955
Baseline,A,7,0.6403579213032007,0.6284245803900668
Baseline,A,8,0.6339336927842147,0.6238894148773403
Baseline,A,9,0.6356544682803716,0.6317038885036252
Baseline,A,10,0.6322129172880578,0.6261127823507843
Baseline with FineTune,A,1,0.6937019616840656,0.6859223810580645
Baseline with FineTune,A,2,0.7166456349661581,0.7127849353494751
Baseline with FineTune,A,3,0.713892394172307,0.7096209244588932
Baseline with FineTune,A,4,0.715383732935643,0.7116537504260964
SmallBatch,A,1,0.6795916026155787,0.6631241158215745
SmallBatch,A,2,0.6598600435929792,0.6488438302224109
SmallBatch,A,3,0.6621544109211884,0.654102785959326
SmallBatch,A,4,0.64517609269244,0.6319567716166006
SmallBatch,A,5,0.6548124354709189,0.6455561634548019
SmallBatch,A,6,0.6449466559596191,0.6409494149385065
SmallBatch,A,7,0.6417345417001262,0.6283398971391725
SmallBatch,A,8,0.6233796030744522,0.6215024362939829
SmallBatch,A,9,0.6401284845703797,0.6313057000143341
SmallBatch,A,10,0.6354250315475508,0.6285928469372217
SmallBatch with FineTune,A,1,0.7016175289663875,0.7005248963445687
SmallBatch with FineTune,A,2,0.7112538717448663,0.7048466504780798
SmallBatch with FineTune,A,3,0.7121716186761501,0.7072602047046338
SmallBatch with FineTune,A,4,0.713662957439486,0.7113795184723745
MixedPrecision,A,1,0.6877366066307216,0.6779123810943155
MixedPrecision,A,2,0.6626132843868303,0.6508248469523016
MixedPrecision,A,3,0.6555007456693817,0.6440376066014679
MixedPrecision,A,4,0.6536652518068142,0.6480469272107159
MixedPrecision,A,5,0.6530916599747619,0.6442183569796803
MixedPrecision,A,6,0.6408167947688425,0.6359525425821101
MixedPrecision,A,7,0.6449466559596191,0.6331355285238702
MixedPrecision,A,8,0.6335895376849834,0.6206665655648018
MixedPrecision,A,9,0.6368016519444764,0.6227076073368903
MixedPrecision,A,10,0.6215441092118849,0.6104122786728134
MixedPrecision with FineTune,A,1,0.7040266146610072,0.6967297382467528
MixedPrecision with FineTune,A,2,0.700240908569462,0.6969137897602359
MixedPrecision with FineTune,A,3,0.7130893656074337,0.7094894976326027
MixedPrecision with FineTune,A,4,0.7090742227830675,0.7068792385092593
ReduceComplexity,A,1,0.678903292417116,0.6590400953843067
ReduceComplexity,A,2,0.6689227945394057,0.6525673447622332
ReduceComplexity,A,3,0.6610072272570838,0.6483561914247278
ReduceComplexity,A,4,0.6535505334404038,0.6408233356529606
ReduceComplexity,A,5,0.646896868188597,0.6360140779611666
ReduceComplexity,A,6,0.6457496845244923,0.6324724077761589
ReduceComplexity,A,7,0.6381782723414019,0.6320683762650536
ReduceComplexity,A,8,0.6311804519903637,0.6181957158465159
ReduceComplexity,A,9,0.6312951703567741,0.62485690990085
ReduceComplexity,A,10,0.6356544682803716,0.6260825374986955
ReduceComplexity with FineTune,A,1,0.7026499942640817,0.694210193409111
ReduceComplexity with FineTune,A,2,0.7098772513479408,0.7056193192298114
ReduceComplexity with FineTune,A,3,0.7134335207066651,0.7094213355019847
ReduceComplexity with FineTune,A,4,0.7110244350120454,0.7079620870364401
