Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6775266720201905,0.6607266828897631
Baseline,B,2,0.6599747619593896,0.6471556231428175
Baseline,B,3,0.6532063783411725,0.649905484153083
Baseline,B,4,0.6548124354709189,0.6451703645257979
Baseline,B,5,0.6533210967075829,0.644745389509613
Baseline,B,6,0.6574509578983595,0.6459235129542401
Baseline,B,7,0.642193415165768,0.6290208444643479
Baseline,B,8,0.6432258804634622,0.62867247295996
Baseline,B,9,0.6374899621429391,0.6311948852421587
Baseline,B,10,0.6350808764483193,0.6262689419809475
Baseline with FineTune,B,1,0.7037971779281863,0.7004035282683678
Baseline with FineTune,B,2,0.7140071125387174,0.7105783634116006
Baseline with FineTune,B,3,0.7152690145692325,0.7096340491761947
Baseline with FineTune,B,4,0.7097625329815304,0.7074005079285685
SmallBatch,B,1,0.683147871974303,0.6635611530240305
SmallBatch,B,2,0.6564184926006653,0.6377093278783025
SmallBatch,B,3,0.6529769416083515,0.6412065825600697
SmallBatch,B,4,0.6496501089824481,0.6403595805970151
SmallBatch,B,5,0.6502237008145004,0.6412477122004788
SmallBatch,B,6,0.6368016519444764,0.6324164447150665
SmallBatch,B,7,0.6403579213032007,0.6277497272900411
SmallBatch,B,8,0.640702076402432,0.6268839716880396
SmallBatch,B,9,0.6307215785247218,0.6192204481170572
SmallBatch,B,10,0.6436847539291041,0.6353482481725804
SmallBatch with FineTune,B,1,0.695537455546633,0.6868301081826802
SmallBatch with FineTune,B,2,0.7090742227830675,0.7036910172565648
SmallBatch with FineTune,B,3,0.7098772513479408,0.705854275395526
SmallBatch with FineTune,B,4,0.710680279912814,0.709814864208165
MixedPrecision,B,1,0.6716760353332568,0.6559776882762814
MixedPrecision,B,2,0.6614661007227257,0.6573759055055273
MixedPrecision,B,3,0.6613513823563153,0.6542405828769262
MixedPrecision,B,4,0.6481587702191121,0.6402878121815377
MixedPrecision,B,5,0.6519444763106573,0.6448157043285498
MixedPrecision,B,6,0.6467821498221865,0.6302923026904708
MixedPrecision,B,7,0.6424228518985889,0.6372103830008677
MixedPrecision,B,8,0.6459791212573133,0.6398849241820811
MixedPrecision,B,9,0.6371458070437077,0.6279857557765385
MixedPrecision,B,10,0.6329012274865206,0.6275726309407066
MixedPrecision with FineTune,B,1,0.6993231616381783,0.6967302844215311
MixedPrecision with FineTune,B,2,0.710909716645635,0.7064407213166212
MixedPrecision with FineTune,B,3,0.7125157737753814,0.7067253491627893
MixedPrecision with FineTune,B,4,0.7156131696684639,0.7132638127028146
ReduceComplexity,B,1,0.6840656189055868,0.661882957456802
ReduceComplexity,B,2,0.6619249741883676,0.6508037855378486
ReduceComplexity,B,3,0.6669725823104279,0.6594434996201682
ReduceComplexity,B,4,0.6514856028450154,0.6441540539835192
ReduceComplexity,B,5,0.6580245497304118,0.6491157316395864
ReduceComplexity,B,6,0.6550418722037398,0.6451661149318003
ReduceComplexity,B,7,0.6499942640816795,0.641450258115651
ReduceComplexity,B,8,0.6364574968452449,0.6245160853712604
ReduceComplexity,B,9,0.6494206722496272,0.6371227280368478
ReduceComplexity,B,10,0.6485029253183434,0.6380956179485344
ReduceComplexity with FineTune,B,1,0.6989790065389468,0.6907650614991133
ReduceComplexity with FineTune,B,2,0.7097625329815304,0.7055922026976423
ReduceComplexity with FineTune,B,3,0.7093036595158885,0.7049302072716347
ReduceComplexity with FineTune,B,4,0.7089595044166571,0.7040804075827461
