Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.7259378226454055,0.9271903388447814
Baseline,2,0.7424572674085121,1.0495952878133719
Baseline,3,0.74440747963749,1.1825625662838584
Baseline,4,0.7397040266146611,1.2654313314092027
Baseline,5,0.7385568429505563,1.2987325476421105
SmallBatch,1,0.7231845818515544,0.8641241929688297
SmallBatch,2,0.7394745898818401,1.0306141589914923
SmallBatch,3,0.7442927612710795,1.1063766541716817
SmallBatch,4,0.7421131123092807,1.232756270757525
SmallBatch,5,0.7341975450269588,1.2676119000920445
MixedPrecision,1,0.7281174716072043,0.931457716630492
MixedPrecision,2,0.7400481817138924,1.0913633169817838
MixedPrecision,3,0.7438338878054377,1.1525434871296307
MixedPrecision,4,0.7418836755764598,1.2520269736265526
MixedPrecision,5,0.7423425490421016,1.3348560434776349
ReduceComplexity,1,0.7196283124928301,0.940505115922554
ReduceComplexity,2,0.7386715613169669,1.0448551675229718
ReduceComplexity,3,0.7384421245841459,1.1836222882345047
ReduceComplexity,4,0.7403923368131238,1.2435005863944253
ReduceComplexity,5,0.7339681082941379,1.3246798978183731
