Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6794768842491683,0.6665134484300446
Baseline,A,2,0.6533210967075829,0.6444511330616577
Baseline,A,3,0.643914190661925,0.6422701872506403
Baseline,A,4,0.6478146151198807,0.634197986325454
Baseline,A,5,0.6425375702649995,0.6332825690321743
Baseline,A,6,0.6423081335321785,0.6319730840862193
Baseline,A,7,0.6442583457611564,0.6353714958519326
Baseline,A,8,0.6298038315934381,0.6194552915595587
Baseline,A,9,0.627050590799587,0.6239058810138336
Baseline,A,10,0.6291155213949753,0.6186545371550756
Baseline with FineTune,A,1,0.7298382471033612,0.7218915679001239
Baseline with FineTune,A,2,0.7098772513479408,0.7050317511974132
SmallBatch,A,1,0.6735115291958242,0.6540969773358128
SmallBatch,A,2,0.6587128599288746,0.6460334810238193
SmallBatch,A,3,0.6525180681427096,0.6453682660786499
SmallBatch,A,4,0.6563037742342549,0.6460807232500719
SmallBatch,A,5,0.6455202477916715,0.6317634414146305
SmallBatch,A,6,0.6470115865550075,0.6399912306885837
SmallBatch,A,7,0.6386371458070437,0.6276412504435364
SmallBatch,A,8,0.6242973500057359,0.615136791022145
SmallBatch,A,9,0.6309510152575427,0.6222341745910418
SmallBatch,A,10,0.6207410806470116,0.6095758196303573
SmallBatch with FineTune,A,1,0.7274291614087416,0.7211974268480659
SmallBatch with FineTune,A,2,0.7203166226912929,0.7170771027590261
MixedPrecision,A,1,0.6711024435012045,0.6510751682160957
MixedPrecision,A,2,0.6496501089824481,0.6419085814780023
MixedPrecision,A,3,0.6616955374555467,0.6578860868006114
MixedPrecision,A,4,0.6559596191350235,0.6457456537920546
MixedPrecision,A,5,0.6537799701732248,0.6434068133060638
MixedPrecision,A,6,0.6496501089824481,0.6372006822111828
MixedPrecision,A,7,0.645405529425261,0.6380371106679429
MixedPrecision,A,8,0.6449466559596191,0.6343382678303655
MixedPrecision,A,9,0.6389813009062751,0.6322781355587924
MixedPrecision,A,10,0.6349661580819089,0.6257753795848283
MixedPrecision with FineTune,A,1,0.7211196512561661,0.7154377146845792
MixedPrecision with FineTune,A,2,0.7122863370425605,0.707318272069452
ReduceComplexity,A,1,0.6559596191350235,0.631561924592405
ReduceComplexity,A,2,0.6521739130434783,0.6399910753224244
ReduceComplexity,A,3,0.6526327865091202,0.6429988903150166
ReduceComplexity,A,4,0.654582998738098,0.6506558063241081
ReduceComplexity,A,5,0.6435700355626935,0.6415398315202465
ReduceComplexity,A,6,0.642193415165768,0.6398535799125371
ReduceComplexity,A,7,0.6463232763565446,0.6324027341120371
ReduceComplexity,A,8,0.6387518641734542,0.6283987053739161
ReduceComplexity,A,9,0.6368016519444764,0.6243664336282782
ReduceComplexity,A,10,0.6459791212573133,0.6366254298465245
ReduceComplexity with FineTune,A,1,0.7158426064012848,0.7078489844678306
ReduceComplexity with FineTune,A,2,0.72456120224848,0.7185347838633723
