Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6864747046002065,0.6697297689024198
Baseline,B,2,0.6548124354709189,0.6486428170284718
Baseline,B,3,0.6626132843868303,0.6542972347067357
Baseline,B,4,0.6494206722496272,0.6366803786136659
Baseline,B,5,0.6536652518068142,0.6396698038755059
Baseline,B,6,0.6501089824480899,0.6381259851146354
Baseline,B,7,0.6428817253642308,0.6259709718945838
Baseline,B,8,0.643914190661925,0.633682391047551
Baseline,B,9,0.6396696111047379,0.6289220944430405
Baseline,B,10,0.6364574968452449,0.6270020369539357
Baseline with FineTune,B,1,0.7255936675461742,0.7153549857149873
Baseline with FineTune,B,2,0.7031088677297235,0.6978405195763739
SmallBatch,B,1,0.6806240679132729,0.66789014554144
SmallBatch,B,2,0.662269129287599,0.6581559556715895
SmallBatch,B,3,0.6553860273029712,0.651777425341163
SmallBatch,B,4,0.6434553171962831,0.6305050378289274
SmallBatch,B,5,0.6390960192726856,0.6297120197513808
SmallBatch,B,6,0.628541929562923,0.6233263577411591
SmallBatch,B,7,0.6480440518527016,0.6380051304941544
SmallBatch,B,8,0.63026270505908,0.6223257634444674
SmallBatch,B,9,0.6372605254101181,0.623522869720655
SmallBatch,B,10,0.6155787541585408,0.6040275440632702
SmallBatch with FineTune,B,1,0.7316737409659286,0.7268941412940817
SmallBatch with FineTune,B,2,0.7259378226454055,0.7218406772891778
MixedPrecision,B,1,0.6721349087988987,0.6510729769461487
MixedPrecision,B,2,0.6597453252265688,0.6516679770583765
MixedPrecision,B,3,0.6670873006768384,0.6623311748236708
MixedPrecision,B,4,0.6636457496845245,0.6560385245673724
MixedPrecision,B,5,0.654582998738098,0.6420830024535152
MixedPrecision,B,6,0.6509120110129631,0.6404429352090241
MixedPrecision,B,7,0.6238384765400941,0.605808303476751
MixedPrecision,B,8,0.6384077090742227,0.6248028577694354
MixedPrecision,B,9,0.6389813009062751,0.6253880366099469
MixedPrecision,B,10,0.6462085579901342,0.6388789962635752
MixedPrecision with FineTune,B,1,0.7276585981415624,0.7211812950058238
MixedPrecision with FineTune,B,2,0.7113685901112768,0.7083536012788474
ReduceComplexity,B,1,0.6811976597453252,0.6639327398780266
ReduceComplexity,B,2,0.6604336354250315,0.6506354364181369
ReduceComplexity,B,3,0.6555007456693817,0.6488879106705212
ReduceComplexity,B,4,0.6571068027991281,0.64605630864158
ReduceComplexity,B,5,0.6627280027532408,0.6536981667586156
ReduceComplexity,B,6,0.6557301824022026,0.6444739045560908
ReduceComplexity,B,7,0.6495353906160376,0.6409282825352579
ReduceComplexity,B,8,0.6502237008145004,0.6403003245400152
ReduceComplexity,B,9,0.6460938396237238,0.6352792053929903
ReduceComplexity,B,10,0.6423081335321785,0.6316628908362928
ReduceComplexity with FineTune,B,1,0.7267408512102788,0.7221277307574409
ReduceComplexity with FineTune,B,2,0.7163014798669267,0.710643106002455
