Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.62865,0.7150395778364116
Baseline,2,0.789775,0.7311001491338763
Baseline,3,0.8936375,0.7216932430882185
Baseline,4,0.9531125,0.7122863370425605
Baseline,5,0.9726,0.7104508431799931
Baseline,6,0.9810875,0.7086153493174258
Baseline,7,0.98595,0.7012733738671562
Baseline,8,0.987625,0.7036824595617759
Baseline,9,0.98995,0.7009292187679248
Baseline,10,0.9908375,0.7043707697602386
Baseline,11,0.9934,0.6995525983709991
Baseline,12,0.9930625,0.6933578065848343
Baseline,13,0.9939125,0.6994378800045887
Baseline,14,0.994825,0.7042560513938282
Baseline,15,0.995525,0.6962257657450958
SmallBatch,1,0.6236,0.7020764024320294
SmallBatch,2,0.7901,0.7296088103705404
SmallBatch,3,0.8967625,0.7175633818974417
SmallBatch,4,0.9542125,0.7150395778364116
SmallBatch,5,0.9744875,0.716875071698979
SmallBatch,6,0.9807,0.7114833084776873
SmallBatch,7,0.986825,0.707697602386142
SmallBatch,8,0.9887875,0.7083859125846048
SmallBatch,9,0.99015,0.7065504187220374
SmallBatch,10,0.992325,0.7063209819892164
SmallBatch,11,0.9927,0.7067798554548583
SmallBatch,12,0.99305,0.7117127452105082
SmallBatch,13,0.9944875,0.7089595044166571
SmallBatch,14,0.9948125,0.7026499942640817
SmallBatch,15,0.9956875,0.7042560513938282
MixedPrecision,1,0.639775,0.7112538717448663
MixedPrecision,2,0.79715,0.7244464838820696
MixedPrecision,3,0.907025,0.7134335207066651
MixedPrecision,4,0.957775,0.7104508431799931
MixedPrecision,5,0.976625,0.7080417574853735
MixedPrecision,6,0.9838375,0.7102214064471722
MixedPrecision,7,0.986825,0.7054032350579328
MixedPrecision,8,0.9898375,0.7055179534243432
MixedPrecision,9,0.9911875,0.7041413330274177
MixedPrecision,10,0.9922125,0.7020764024320294
MixedPrecision,11,0.9932875,0.7003556269358724
MixedPrecision,12,0.9933625,0.6984054147068945
MixedPrecision,13,0.994425,0.7073534472869106
MixedPrecision,14,0.994725,0.7021911207984398
MixedPrecision,15,0.9955625,0.7058621085235747
ReduceComplexity,1,0.659775,0.7293793736377194
ReduceComplexity,2,0.8154625,0.7309854307674659
ReduceComplexity,3,0.9228625,0.7211196512561661
ReduceComplexity,4,0.97115,0.716875071698979
ReduceComplexity,5,0.9808,0.7081564758517839
ReduceComplexity,6,0.9855,0.712401055408971
ReduceComplexity,7,0.9883875,0.7126304921417919
ReduceComplexity,8,0.9889375,0.7065504187220374
ReduceComplexity,9,0.9919125,0.7012733738671562
ReduceComplexity,10,0.9917125,0.7097625329815304
ReduceComplexity,11,0.9928875,0.710909716645635
ReduceComplexity,12,0.9933,0.707697602386142
ReduceComplexity,13,0.994825,0.7059768268899851
ReduceComplexity,14,0.9948125,0.7058621085235747
ReduceComplexity,15,0.994675,0.7063209819892164
