Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6037627624182632,0.5363841676418026
Baseline,A,2,0.6572215211655386,0.6327374779207399
Baseline,A,3,0.6649076517150396,0.6438777928772486
Baseline,A,4,0.6611219456234944,0.6465082794081032
Baseline,A,5,0.6602041986922106,0.6491092779421789
Baseline,A,6,0.6661695537455546,0.6550419653670311
Baseline,A,7,0.6552713089365607,0.6426369969840239
Baseline,A,8,0.6574509578983595,0.6425976628152829
Baseline,A,9,0.6613513823563153,0.655876347366742
Baseline,A,10,0.6644487782493977,0.6526005386850208
Baseline with FineTune,A,1,0.6608925088906734,0.6479570389901694
Baseline with FineTune,A,2,0.6932430882184237,0.6812769655753471
Baseline with FineTune,A,3,0.695537455546633,0.685890037881969
Baseline with FineTune,A,4,0.6988642881725364,0.6916626993619049
Baseline with FineTune,A,5,0.7043707697602386,0.698674591973985
Baseline with FineTune,A,6,0.7029941493633131,0.6960496859543401
Baseline with FineTune,A,7,0.7054032350579328,0.6988555953584507
Baseline with FineTune,A,8,0.7036824595617759,0.6983892101269704
Baseline with FineTune,A,9,0.7090742227830675,0.7041750303927945
SmallBatch,A,1,0.6253298153034301,0.5753262313809897
SmallBatch,A,2,0.6739704026614661,0.6538383159516882
SmallBatch,A,3,0.6700699782035103,0.6557589969489525
SmallBatch,A,4,0.6678903292417115,0.6574291313878505
SmallBatch,A,5,0.656074337501434,0.652583815889984
SmallBatch,A,6,0.6559596191350235,0.6410125056675393
SmallBatch,A,7,0.6631868762188826,0.6528377320894803
SmallBatch,A,8,0.6571068027991281,0.6448928948852218
SmallBatch,A,9,0.652862223241941,0.6481167662777668
SmallBatch,A,10,0.6604336354250315,0.652224791005975
SmallBatch with FineTune,A,1,0.6857863944017437,0.6739791419864962
SmallBatch with FineTune,A,2,0.7029941493633131,0.6918874435080191
SmallBatch with FineTune,A,3,0.7024205575312608,0.6928372092328262
SmallBatch with FineTune,A,4,0.7082711942181943,0.7015045840901112
SmallBatch with FineTune,A,5,0.7057473901571641,0.6988738816597868
SmallBatch with FineTune,A,6,0.7048296432258805,0.6990265612927595
SmallBatch with FineTune,A,7,0.707697602386142,0.7023099578045106
SmallBatch with FineTune,A,8,0.710680279912814,0.7050221850559716
SmallBatch with FineTune,A,9,0.7060915452563955,0.7003495483256874
MixedPrecision,A,1,0.6122519215326374,0.5548515487476963
MixedPrecision,A,2,0.6497648273488585,0.6194364910888561
MixedPrecision,A,3,0.6702994149363313,0.6561794987310321
MixedPrecision,A,4,0.6639899047837559,0.6449169388797676
MixedPrecision,A,5,0.6677756108753011,0.6597201248901242
MixedPrecision,A,6,0.6662842721119652,0.6557002831146043
MixedPrecision,A,7,0.6663989904783756,0.654748216460481
MixedPrecision,A,8,0.6576803946311804,0.6530842711144641
MixedPrecision,A,9,0.6626132843868303,0.6550297931826343
MixedPrecision,A,10,0.66502237008145,0.6531034367787146
MixedPrecision with FineTune,A,1,0.6769530801881382,0.6593147141296314
MixedPrecision with FineTune,A,2,0.6980612596076632,0.6867117546632078
MixedPrecision with FineTune,A,3,0.7042560513938282,0.6957439376037051
MixedPrecision with FineTune,A,4,0.7044854881266491,0.696095822761861
MixedPrecision with FineTune,A,5,0.7058621085235747,0.6991190320060214
MixedPrecision with FineTune,A,6,0.7055179534243432,0.6981637402147534
MixedPrecision with FineTune,A,7,0.706206263622806,0.6993169858593133
MixedPrecision with FineTune,A,8,0.7060915452563955,0.6998057435226935
MixedPrecision with FineTune,A,9,0.7111391533784559,0.7052137714234697
ReduceComplexity,A,1,0.6416198233337157,0.6038926671185082
ReduceComplexity,A,2,0.6739704026614661,0.651034427940865
ReduceComplexity,A,3,0.6696111047378686,0.6573702877603742
ReduceComplexity,A,4,0.6607777905242629,0.6458182576797281
ReduceComplexity,A,5,0.6651370884478605,0.6545562112837667
ReduceComplexity,A,6,0.6573362395319491,0.6496930355936307
ReduceComplexity,A,7,0.6637604680509349,0.6509644616591469
ReduceComplexity,A,8,0.6585981415624641,0.6512686837020372
ReduceComplexity,A,9,0.6564184926006653,0.650209426711802
ReduceComplexity,A,10,0.6555007456693817,0.6451645024300611
ReduceComplexity with FineTune,A,1,0.662269129287599,0.649862652183797
ReduceComplexity with FineTune,A,2,0.6873924515314902,0.6750269225022488
ReduceComplexity with FineTune,A,3,0.6981759779740736,0.6913252552652763
ReduceComplexity with FineTune,A,4,0.6982906963404841,0.6873781100251957
ReduceComplexity with FineTune,A,5,0.7037971779281863,0.6955419835055665
ReduceComplexity with FineTune,A,6,0.7075828840197316,0.7009906252875173
ReduceComplexity with FineTune,A,7,0.703223586096134,0.6957882941142084
ReduceComplexity with FineTune,A,8,0.7119421819433291,0.7057140510261799
