Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6371458070437077,0.5908140833595068
Baseline,B,2,0.6613513823563153,0.6338783006220914
Baseline,B,3,0.6587128599288746,0.634739265520966
Baseline,B,4,0.6635310313181141,0.6477184405361066
Baseline,B,5,0.6573362395319491,0.651761185848589
Baseline,B,6,0.6612366639899048,0.6514636844210192
Baseline,B,7,0.6596306068601583,0.6457220047124964
Baseline,B,8,0.6546977171045084,0.6492347571301471
Baseline,B,9,0.6522886314098887,0.6486450480760462
Baseline,B,10,0.6495353906160376,0.6415097668580422
Baseline with FineTune,B,1,0.6744292761271079,0.659338055632818
Baseline with FineTune,B,2,0.6965699208443272,0.6848255088636712
Baseline with FineTune,B,3,0.7013880922335666,0.6928452804728064
Baseline with FineTune,B,4,0.7066651370884479,0.6979141477696921
Baseline with FineTune,B,5,0.7052885166915223,0.6965610141822648
Baseline with FineTune,B,6,0.7070092921876793,0.7019669007784066
Baseline with FineTune,B,7,0.7066651370884479,0.7007222322341428
Baseline with FineTune,B,8,0.7028794309969026,0.6951207757945668
Baseline with FineTune,B,9,0.7056326717907537,0.6987101302377721
SmallBatch,B,1,0.6256739704026615,0.5661639300593255
SmallBatch,B,2,0.6568773660663072,0.626370991136569
SmallBatch,B,3,0.6635310313181141,0.6420055646969439
SmallBatch,B,4,0.6698405414706895,0.6631863619588518
SmallBatch,B,5,0.6603189170586211,0.6518336316846897
SmallBatch,B,6,0.6541241252724561,0.6477643332414853
SmallBatch,B,7,0.658827578295285,0.6524509884403403
SmallBatch,B,8,0.6630721578524722,0.6540263720924119
SmallBatch,B,9,0.654582998738098,0.6542483321479524
SmallBatch,B,10,0.6641046231501664,0.6567559165343754
SmallBatch with FineTune,B,1,0.6730526557301824,0.6565595264943104
SmallBatch with FineTune,B,2,0.6974876677756109,0.6794011917813928
SmallBatch with FineTune,B,3,0.7036824595617759,0.6936624717403179
SmallBatch with FineTune,B,4,0.7096478146151198,0.7027265542117258
SmallBatch with FineTune,B,5,0.7102214064471722,0.7020904797743511
SmallBatch with FineTune,B,6,0.7137776758058966,0.7095854988921645
SmallBatch with FineTune,B,7,0.7143512676379489,0.7076954267167643
SmallBatch with FineTune,B,8,0.7128599288746128,0.7073871800009591
MixedPrecision,B,1,0.6353103131811403,0.5862188136554068
MixedPrecision,B,2,0.6581392680968223,0.6356101554595934
MixedPrecision,B,3,0.6580245497304118,0.6377792745493998
MixedPrecision,B,4,0.662039692554778,0.6520454099186982
MixedPrecision,B,5,0.6629574394860617,0.6540761184790358
MixedPrecision,B,6,0.6621544109211884,0.6512187139995581
MixedPrecision,B,7,0.662269129287599,0.6532281521635386
MixedPrecision,B,8,0.6626132843868303,0.6466984162791168
MixedPrecision,B,9,0.6497648273488585,0.6484155973565421
MixedPrecision,B,10,0.6584834231960537,0.6528159180483316
MixedPrecision with FineTune,B,1,0.6873924515314902,0.6765513226819203
MixedPrecision with FineTune,B,2,0.7037971779281863,0.6948967043874704
MixedPrecision with FineTune,B,3,0.7050590799587014,0.6961331149056531
MixedPrecision with FineTune,B,4,0.7090742227830675,0.7012993868324608
MixedPrecision with FineTune,B,5,0.7087300676838362,0.7035525762724455
MixedPrecision with FineTune,B,6,0.7120569003097396,0.7069393399844196
MixedPrecision with FineTune,B,7,0.7072387289205002,0.7015515876209724
MixedPrecision with FineTune,B,8,0.7103361248135827,0.7035575689578831
MixedPrecision with FineTune,B,9,0.710909716645635,0.7047655421993994
ReduceComplexity,B,1,0.6594011701273373,0.622246391648166
ReduceComplexity,B,2,0.6666284272111965,0.6444249260437994
ReduceComplexity,B,3,0.6692669496386372,0.6567638049456193
ReduceComplexity,B,4,0.6599747619593896,0.6462474522118843
ReduceComplexity,B,5,0.6603189170586211,0.6491760964282332
ReduceComplexity,B,6,0.6615808190891361,0.6550828310023423
ReduceComplexity,B,7,0.6563037742342549,0.6445609933788232
ReduceComplexity,B,8,0.6582539864632327,0.6478610225968516
ReduceComplexity,B,9,0.662269129287599,0.6544801501060162
ReduceComplexity,B,10,0.6557301824022026,0.6455736046210504
ReduceComplexity with FineTune,B,1,0.6636457496845245,0.6569642202490314
ReduceComplexity with FineTune,B,2,0.6828037168750717,0.676954192837709
ReduceComplexity with FineTune,B,3,0.6911781576230355,0.6826055079635835
ReduceComplexity with FineTune,B,4,0.6958816106458644,0.6914518723105864
ReduceComplexity with FineTune,B,5,0.6958816106458644,0.690080845747865
ReduceComplexity with FineTune,B,6,0.7029941493633131,0.6977647327527303
ReduceComplexity with FineTune,B,7,0.7016175289663875,0.6969593305993702
ReduceComplexity with FineTune,B,8,0.7056326717907537,0.7005492742958671
