Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.6458644028909029,1.186768189018026
Baseline,2,0.7280027532407939,0.8437676233249706
Baseline,3,0.736721349087989,0.9349880303655352
Baseline,4,0.7324767695308019,1.020410759053824
Baseline,5,0.733738671561317,1.1402483276285968
SmallBatch,1,0.5664792933348629,1.5455646178661249
SmallBatch,2,0.73201789606516,0.8354868127422018
SmallBatch,3,0.7324767695308019,0.9110111200110816
SmallBatch,4,0.7354594470574739,1.0117603684519674
SmallBatch,5,0.7311001491338763,1.1041065334946245
MixedPrecision,1,0.6592864517609269,1.2648166156077123
MixedPrecision,2,0.7313295858666973,0.8448189394377963
MixedPrecision,3,0.7356888837902948,0.9422570363287524
MixedPrecision,4,0.7362624756223471,1.0138349033100702
MixedPrecision,5,0.7389009980497878,1.0750873390134874
ReduceComplexity,1,0.6829184352414822,0.8610460843358722
ReduceComplexity,2,0.735230010324653,0.8716241526843864
ReduceComplexity,3,0.7430308592405644,0.9342837240342255
ReduceComplexity,4,0.7447516347367213,1.0065063778515702
ReduceComplexity,5,0.7408512102787657,1.1099242176655884
