Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6091545256395549,0.543275940014518
Baseline,A,2,0.6565332109670758,0.6337176021512537
Baseline,A,3,0.657795112997591,0.6469006791150788
Baseline,A,4,0.6603189170586211,0.6459618956548876
Baseline,A,5,0.6623838476540094,0.6540627151933867
Baseline,A,6,0.6612366639899048,0.6502632440115927
Baseline,A,7,0.6559596191350235,0.644151016378313
Baseline,A,8,0.6551565905701503,0.6390774195157195
Baseline,A,9,0.648388206951933,0.6408897921059272
Baseline,A,10,0.6512561661121946,0.6402299014597996
Baseline with FineTune,A,1,0.7257083859125846,0.7148411798115432
Baseline with FineTune,A,2,0.7208902145233452,0.7160952274387603
Baseline with FineTune,A,3,0.713892394172307,0.7100769323651923
SmallBatch,A,1,0.6299185499598485,0.5795134130240744
SmallBatch,A,2,0.658827578295285,0.6346312147861319
SmallBatch,A,3,0.6627280027532408,0.6468397772058319
SmallBatch,A,4,0.6613513823563153,0.6460753577089988
SmallBatch,A,5,0.6699552598370999,0.6601121284675283
SmallBatch,A,6,0.659057015028106,0.6491781076960236
SmallBatch,A,7,0.6604336354250315,0.6524836367808724
SmallBatch,A,8,0.6536652518068142,0.6435279031964057
SmallBatch,A,9,0.6674314557760698,0.6576283520431534
SmallBatch,A,10,0.6637604680509349,0.6585906640585809
SmallBatch with FineTune,A,1,0.7291499369048985,0.7240306212991138
SmallBatch with FineTune,A,2,0.7241023287828381,0.7149400978322207
SmallBatch with FineTune,A,3,0.7176781002638523,0.7123929062548903
MixedPrecision,A,1,0.6184467133188023,0.5592425596256936
MixedPrecision,A,2,0.6338189744178043,0.5928878449744862
MixedPrecision,A,3,0.671446598600436,0.6541265961007775
MixedPrecision,A,4,0.6634163129517036,0.6548412524048519
MixedPrecision,A,5,0.6567626476998968,0.6515568971585908
MixedPrecision,A,6,0.6566479293334863,0.6472751272658382
MixedPrecision,A,7,0.6592864517609269,0.650799594837698
MixedPrecision,A,8,0.6566479293334863,0.6489542625264435
MixedPrecision,A,9,0.6555007456693817,0.6497955246968014
MixedPrecision,A,10,0.6511414477457841,0.648449242906805
MixedPrecision with FineTune,A,1,0.7282321899736148,0.7189888600809191
MixedPrecision with FineTune,A,2,0.7221521165538602,0.7149864187177105
MixedPrecision with FineTune,A,3,0.7195135941264197,0.713543394910368
ReduceComplexity,A,1,0.6730526557301824,0.639224026114308
ReduceComplexity,A,2,0.6746587128599288,0.6563042684523862
ReduceComplexity,A,3,0.6556154640357922,0.6478623166351308
ReduceComplexity,A,4,0.6548124354709189,0.6480777765701816
ReduceComplexity,A,5,0.659057015028106,0.6450224657592228
ReduceComplexity,A,6,0.6557301824022026,0.6458661103861154
ReduceComplexity,A,7,0.6596306068601583,0.6494917470046374
ReduceComplexity,A,8,0.6550418722037398,0.645792814095466
ReduceComplexity,A,9,0.6564184926006653,0.6462780476351644
ReduceComplexity,A,10,0.6495353906160376,0.6379282655813101
ReduceComplexity with FineTune,A,1,0.7210049328897556,0.7127181485379286
ReduceComplexity with FineTune,A,2,0.7190547206607778,0.7151187423915449
ReduceComplexity with FineTune,A,3,0.7188252839279569,0.7165812505748532
