Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6205116439141907,0.5555595783246161
Baseline,B,2,0.6536652518068142,0.6224371547953425
Baseline,B,3,0.6585981415624641,0.6330344222921501
Baseline,B,4,0.6641046231501664,0.6484241992675577
Baseline,B,5,0.6616955374555467,0.6534989640959077
Baseline,B,6,0.6614661007227257,0.6503140759189567
Baseline,B,7,0.6589422966616956,0.6514180540357974
Baseline,B,8,0.6594011701273373,0.6502096722547334
Baseline,B,9,0.6616955374555467,0.657052675117329
Baseline,B,10,0.6584834231960537,0.6536539848250452
Baseline with FineTune,B,1,0.7214638063553975,0.7134591788918199
Baseline with FineTune,B,2,0.7174486635310313,0.709550940663739
Baseline with FineTune,B,3,0.7102214064471722,0.7050413577334421
SmallBatch,B,1,0.6209705173798326,0.5613838248716739
SmallBatch,B,2,0.6595158884937479,0.6308264916644413
SmallBatch,B,3,0.6659401170127337,0.6473886314668673
SmallBatch,B,4,0.6731673740965929,0.6615075355847939
SmallBatch,B,5,0.6610072272570838,0.6499639541696723
SmallBatch,B,6,0.6633015945852931,0.6555645686710618
SmallBatch,B,7,0.6634163129517036,0.6574562724255169
SmallBatch,B,8,0.6641046231501664,0.6552762028669991
SmallBatch,B,9,0.6591717333945165,0.657550366740828
SmallBatch,B,10,0.6674314557760698,0.6618302073633544
SmallBatch with FineTune,B,1,0.7297235287369508,0.7199092799719506
SmallBatch with FineTune,B,2,0.7297235287369508,0.7211838626978372
SmallBatch with FineTune,B,3,0.7156131696684639,0.7087497032056205
MixedPrecision,B,1,0.628541929562923,0.5743304131679932
MixedPrecision,B,2,0.6449466559596191,0.6109898701741701
MixedPrecision,B,3,0.6619249741883676,0.6442322313262594
MixedPrecision,B,4,0.668463921073764,0.6539067944366065
MixedPrecision,B,5,0.6630721578524722,0.6528880299937607
MixedPrecision,B,6,0.6623838476540094,0.6494827639102879
MixedPrecision,B,7,0.6604336354250315,0.6468687123728516
MixedPrecision,B,8,0.6579098313640014,0.6486271120627434
MixedPrecision,B,9,0.6628427211196513,0.6499895093530488
MixedPrecision,B,10,0.6634163129517036,0.6505536283743555
MixedPrecision with FineTune,B,1,0.7224962716530917,0.7127869730873205
MixedPrecision with FineTune,B,2,0.7151542962028221,0.7056993926583616
MixedPrecision with FineTune,B,3,0.7196283124928301,0.7128782655732847
ReduceComplexity,B,1,0.6542388436388665,0.6140266821987743
ReduceComplexity,B,2,0.6781002638522428,0.6601774535276212
ReduceComplexity,B,3,0.6704141333027418,0.6595024780409652
ReduceComplexity,B,4,0.6603189170586211,0.6554206922018659
ReduceComplexity,B,5,0.6690375129058163,0.6582056923259623
ReduceComplexity,B,6,0.6573362395319491,0.6470819274919545
ReduceComplexity,B,7,0.6599747619593896,0.6515168300364774
ReduceComplexity,B,8,0.6585981415624641,0.6480236016639235
ReduceComplexity,B,9,0.6643340598829872,0.65162173193738
ReduceComplexity,B,10,0.6615808190891361,0.6518090590412762
ReduceComplexity with FineTune,B,1,0.7234140185843754,0.7142305051839598
ReduceComplexity with FineTune,B,2,0.7254789491797636,0.7198967219684829
ReduceComplexity with FineTune,B,3,0.7176781002638523,0.7149009345742399
