Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.6955,0.7377538143856831
Baseline,2,0.8703,0.7276585981415624
Baseline,3,0.974325,0.7112538717448663
Baseline,4,0.983175,0.7167603533325685
Baseline,5,0.9861,0.7089595044166571
Baseline,6,0.9873625,0.7161867615005162
Baseline,7,0.9897625,0.7036824595617759
Baseline,8,0.9915625,0.7068945738212687
Baseline,9,0.9907,0.7039118962945967
Baseline,10,0.992275,0.6995525983709991
Baseline,11,0.9932,0.7025352758976712
Baseline,12,0.9940625,0.7040266146610072
Baseline,13,0.9933875,0.700240908569462
Baseline,14,0.9945375,0.7088447860502466
Baseline,15,0.9939625,0.7023058391648503
SmallBatch,1,0.694,0.7340828266605484
SmallBatch,2,0.869125,0.7284616267064357
SmallBatch,3,0.97305,0.7185958471951359
SmallBatch,4,0.98355,0.719857749225651
SmallBatch,5,0.9857375,0.7063209819892164
SmallBatch,6,0.9889125,0.7012733738671562
SmallBatch,7,0.9896875,0.7083859125846048
SmallBatch,8,0.9915625,0.7129746472410233
SmallBatch,9,0.9909875,0.7035677411953654
SmallBatch,10,0.993475,0.709418377882299
SmallBatch,11,0.99355,0.706206263622806
SmallBatch,12,0.9932875,0.7099919697143513
SmallBatch,13,0.9938125,0.712401055408971
SmallBatch,14,0.994375,0.6998967534702306
SmallBatch,15,0.9945,0.7049443615922909
MixedPrecision,1,0.69465,0.7425719857749226
MixedPrecision,2,0.8715125,0.7255936675461742
MixedPrecision,3,0.9726625,0.7152690145692325
MixedPrecision,4,0.9830125,0.7180222553630836
MixedPrecision,5,0.9870125,0.7057473901571641
MixedPrecision,6,0.9871375,0.707697602386142
MixedPrecision,7,0.9899,0.7055179534243432
MixedPrecision,8,0.9918625,0.7024205575312608
MixedPrecision,9,0.9921125,0.7033383044625444
MixedPrecision,10,0.9932625,0.7056326717907537
MixedPrecision,11,0.9926125,0.7107949982792245
MixedPrecision,12,0.994825,0.6954227371802225
MixedPrecision,13,0.994,0.7117127452105082
MixedPrecision,14,0.9934375,0.7105655615464036
MixedPrecision,15,0.994525,0.6995525983709991
ReduceComplexity,1,0.69465,0.7405070551795342
ReduceComplexity,2,0.869875,0.7181369737294941
ReduceComplexity,3,0.9753875,0.7166456349661581
ReduceComplexity,4,0.98545,0.7214638063553975
ReduceComplexity,5,0.987,0.7188252839279569
ReduceComplexity,6,0.9892,0.715383732935643
ReduceComplexity,7,0.990225,0.6982906963404841
ReduceComplexity,8,0.9920125,0.7146954227371802
ReduceComplexity,9,0.992825,0.7141218309051279
ReduceComplexity,10,0.9938375,0.7063209819892164
ReduceComplexity,11,0.9932875,0.7083859125846048
ReduceComplexity,12,0.995025,0.7011586555007456
ReduceComplexity,13,0.9942625,0.7012733738671562
ReduceComplexity,14,0.9949875,0.7031088677297235
ReduceComplexity,15,0.99485,0.7060915452563955
