Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6745439944935184,0.6634984087725344
Baseline,A,2,0.6584834231960537,0.6520998758999683
Baseline,A,3,0.6641046231501664,0.6513438983011071
Baseline,A,4,0.6642193415165768,0.6539924696509851
Baseline,A,5,0.6699552598370999,0.6602932601452393
Baseline,A,6,0.671446598600436,0.663699751985193
Baseline,A,7,0.6700699782035103,0.6623148872797671
Baseline,A,8,0.671217161867615,0.6626062465321519
Baseline,A,9,0.6704141333027418,0.6618368286292098
Baseline,A,10,0.6705288516691522,0.661662785776362
Baseline with FineTune,A,1,0.6778708271194218,0.6715781175672392
Baseline with FineTune,A,2,0.6939313984168866,0.6894302477648409
Baseline with FineTune,A,3,0.6974876677756109,0.6930106331220581
SmallBatch,A,1,0.6754617414248021,0.6534812957914481
SmallBatch,A,2,0.6608925088906734,0.6553923444775765
SmallBatch,A,3,0.6535505334404038,0.6412807005004502
SmallBatch,A,4,0.6606630721578525,0.6524617024078261
SmallBatch,A,5,0.6551565905701503,0.6486319789822345
SmallBatch,A,6,0.6589422966616956,0.6538980740121366
SmallBatch,A,7,0.6488470804175749,0.6417196262580197
SmallBatch,A,8,0.6151198806928989,0.6064692654544384
SmallBatch,A,9,0.6269358724331765,0.6156491303907395
SmallBatch,A,10,0.6298038315934381,0.6166092285018692
SmallBatch with FineTune,A,1,0.6901456923253413,0.682008561936376
SmallBatch with FineTune,A,2,0.700011471836641,0.69546089483046
SmallBatch with FineTune,A,3,0.7008145004015143,0.6977688579847814
MixedPrecision,A,1,0.6928989331191924,0.686271085814655
MixedPrecision,A,2,0.6549271538373294,0.649198290655013
MixedPrecision,A,3,0.6614661007227257,0.6520207588994
MixedPrecision,A,4,0.6680050476081221,0.657271456749619
MixedPrecision,A,5,0.6704141333027418,0.6606594768774448
MixedPrecision,A,6,0.6672020190432488,0.6602133566790866
MixedPrecision,A,7,0.6666284272111965,0.6589895486494692
MixedPrecision,A,8,0.6698405414706895,0.6597436827553856
MixedPrecision,A,9,0.6670873006768384,0.6590420089984148
MixedPrecision,A,10,0.6677756108753011,0.659697228451838
MixedPrecision with FineTune,A,1,0.6898015372261099,0.6800594337684721
MixedPrecision with FineTune,A,2,0.6948491453481702,0.6898816834695717
MixedPrecision with FineTune,A,3,0.6993231616381783,0.6969721437963702
ReduceComplexity,A,1,0.6623838476540094,0.6445536918298862
ReduceComplexity,A,2,0.6561890558678445,0.650001849188911
ReduceComplexity,A,3,0.6599747619593896,0.6485633525418745
ReduceComplexity,A,4,0.6657106802799128,0.6563420987879439
ReduceComplexity,A,5,0.6634163129517036,0.6560125226438157
ReduceComplexity,A,6,0.6683492027073534,0.657730652415016
ReduceComplexity,A,7,0.668234484340943,0.6598948589193772
ReduceComplexity,A,8,0.6649076517150396,0.6567167946725521
ReduceComplexity,A,9,0.6251003785706092,0.6232016664357148
ReduceComplexity,A,10,0.6415051049673053,0.6352246009791946
ReduceComplexity with FineTune,A,1,0.6903751290581622,0.6858424011657857
ReduceComplexity with FineTune,A,2,0.70471492485947,0.6989379352292102
ReduceComplexity with FineTune,A,3,0.6984054147068945,0.6956972657358986
