Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6909487208902145,0.6729016199778917
Baseline,B,2,0.6571068027991281,0.6544107721884035
Baseline,B,3,0.6681197659745325,0.6561327927209941
Baseline,B,4,0.6637604680509349,0.6578302448134544
Baseline,B,5,0.6663989904783756,0.655994503291585
Baseline,B,6,0.6670873006768384,0.6596473306161315
Baseline,B,7,0.6723643455317196,0.664582682561649
Baseline,B,8,0.6720201904324883,0.6631003783562783
Baseline,B,9,0.6735115291958242,0.6650987847707106
Baseline,B,10,0.6736262475622347,0.6645350608864619
Baseline with FineTune,B,1,0.6888837902948262,0.6823096007764577
Baseline with FineTune,B,2,0.6915223127222668,0.6908466713602435
Baseline with FineTune,B,3,0.6972582310427899,0.6962429875764974
SmallBatch,B,1,0.6736262475622347,0.6594394129630459
SmallBatch,B,2,0.6642193415165768,0.6571266019320259
SmallBatch,B,3,0.6615808190891361,0.6485565254461385
SmallBatch,B,4,0.6619249741883676,0.6550287053571563
SmallBatch,B,5,0.6644487782493977,0.6570094411033713
SmallBatch,B,6,0.6702994149363313,0.6612211248912349
SmallBatch,B,7,0.6707582884019732,0.6626253404093364
SmallBatch,B,8,0.6717907536996673,0.6638596750349911
SmallBatch,B,9,0.6708730067683836,0.6612163118870005
SmallBatch,B,10,0.6700699782035103,0.6601866823693048
SmallBatch with FineTune,B,1,0.6883101984627739,0.6811196077977253
SmallBatch with FineTune,B,2,0.6946197086153493,0.693675101093809
SmallBatch with FineTune,B,3,0.6914075943558564,0.6893344722580301
MixedPrecision,B,1,0.6828037168750717,0.6674701625690644
MixedPrecision,B,2,0.65756567626477,0.6489385293914479
MixedPrecision,B,3,0.6683492027073534,0.6625483767334247
MixedPrecision,B,4,0.6595158884937479,0.6494637272846145
MixedPrecision,B,5,0.6624985660204199,0.6539446443656617
MixedPrecision,B,6,0.6636457496845245,0.6556666977781538
MixedPrecision,B,7,0.6647929333486291,0.6561972301033809
MixedPrecision,B,8,0.6636457496845245,0.6552525771560536
MixedPrecision,B,9,0.6642193415165768,0.6551032183164495
MixedPrecision,B,10,0.6647929333486291,0.6534156093324215
MixedPrecision with FineTune,B,1,0.6869335780658483,0.6772869016844139
MixedPrecision with FineTune,B,2,0.689572100493289,0.6851411775367172
MixedPrecision with FineTune,B,3,0.6877366066307216,0.6826406652775764
ReduceComplexity,B,1,0.6790180107835264,0.662040026904201
ReduceComplexity,B,2,0.654582998738098,0.6492068059246059
ReduceComplexity,B,3,0.668234484340943,0.6561938641978536
ReduceComplexity,B,4,0.6566479293334863,0.6469925009798122
ReduceComplexity,B,5,0.6633015945852931,0.6529539735062749
ReduceComplexity,B,6,0.6646782149822187,0.6523699633614951
ReduceComplexity,B,7,0.6397843294711484,0.6334592108004417
ReduceComplexity,B,8,0.6339336927842147,0.6220534197373596
ReduceComplexity,B,9,0.6410462315016634,0.6347589747006734
ReduceComplexity,B,10,0.6189055867844442,0.6172965686868506
ReduceComplexity with FineTune,B,1,0.7006997820351039,0.6912238650572655
ReduceComplexity with FineTune,B,2,0.6995525983709991,0.6951963007543814
ReduceComplexity with FineTune,B,3,0.7026499942640817,0.7002865176196242
