Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.7171045084318,0.8103402511322455
Baseline,2,0.747390157164162,0.855273153482776
Baseline,3,0.7511758632557073,0.8867255644702212
Baseline,4,0.747390157164162,0.9513578112527128
Baseline,5,0.7455546633015946,1.028701778460335
SmallBatch,1,0.6946197086153493,1.0461954467899197
SmallBatch,2,0.7253642308133532,0.8361929132169856
SmallBatch,3,0.7368360674543994,0.8766501502785491
SmallBatch,4,0.7392451531490192,0.9179867793133843
SmallBatch,5,0.7345417001261902,0.9968309489798634
MixedPrecision,1,0.7137776758058966,0.7975210225407457
MixedPrecision,2,0.7407364919123551,0.8550399703966393
MixedPrecision,3,0.7509464265228863,0.8759818252844688
MixedPrecision,4,0.7506022714236549,0.9205221151694273
MixedPrecision,5,0.7440633245382586,0.9915564337492863
ReduceComplexity,1,0.7050590799587014,0.8338105065045339
ReduceComplexity,2,0.7408512102787657,0.8892083237350206
ReduceComplexity,3,0.7429161408741539,0.9076408533713757
ReduceComplexity,4,0.7430308592405644,0.9640116674122793
ReduceComplexity,5,0.7409659286451761,1.0624522761656687
