Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6685786394401744,0.6551907543513888
Baseline,A,2,0.6475851783870598,0.6427240674634139
Baseline,A,3,0.6526327865091202,0.644835291277009
Baseline,A,4,0.6678903292417115,0.655010359081069
Baseline,A,5,0.6574509578983595,0.6475360443537217
Baseline,A,6,0.6666284272111965,0.6538446777334866
Baseline,A,7,0.6651370884478605,0.6558234128993056
Baseline,A,8,0.6649076517150396,0.6568613501382866
Baseline,A,9,0.6646782149822187,0.6564232430106004
Baseline,A,10,0.6653665251806814,0.6562286334005768
Baseline with FineTune,A,1,0.713892394172307,0.7117319219262684
Baseline with FineTune,A,2,0.7251347940805323,0.7216150474851746
SmallBatch,A,1,0.6767236434553172,0.6646355080878029
SmallBatch,A,2,0.6491912355168062,0.6405991277654446
SmallBatch,A,3,0.6659401170127337,0.6592401023299955
SmallBatch,A,4,0.6615808190891361,0.6578089384733982
SmallBatch,A,5,0.6628427211196513,0.6539681604297366
SmallBatch,A,6,0.6628427211196513,0.6556236368694164
SmallBatch,A,7,0.6592864517609269,0.6517564138640514
SmallBatch,A,8,0.6246415051049673,0.6098509375227321
SmallBatch,A,9,0.6318687621888265,0.6250930833909202
SmallBatch,A,10,0.6366869335780658,0.632068003561947
SmallBatch with FineTune,A,1,0.7300676838361821,0.726162813273224
SmallBatch with FineTune,A,2,0.7242170471492486,0.7219781989927151
MixedPrecision,A,1,0.6847539291040495,0.6687957011688683
MixedPrecision,A,2,0.662039692554778,0.6492422076640009
MixedPrecision,A,3,0.6582539864632327,0.6528466736983254
MixedPrecision,A,4,0.6685786394401744,0.663371514358713
MixedPrecision,A,5,0.6708730067683836,0.661625466335434
MixedPrecision,A,6,0.6723643455317196,0.6646625097371589
MixedPrecision,A,7,0.671217161867615,0.6643106096415868
MixedPrecision,A,8,0.6701846965699209,0.6612712956809716
MixedPrecision,A,9,0.671217161867615,0.6616733394495977
MixedPrecision,A,10,0.6709877251347941,0.6622580077140315
MixedPrecision with FineTune,A,1,0.7043707697602386,0.7006582061271337
MixedPrecision with FineTune,A,2,0.7262819777446369,0.7204816531906872
ReduceComplexity,A,1,0.672708500630951,0.6570925737788688
ReduceComplexity,A,2,0.6555007456693817,0.6475007012627009
ReduceComplexity,A,3,0.6604336354250315,0.6511947610337324
ReduceComplexity,A,4,0.66502237008145,0.6535653492550056
ReduceComplexity,A,5,0.657795112997591,0.6523488935561264
ReduceComplexity,A,6,0.6639899047837559,0.6560104417212121
ReduceComplexity,A,7,0.6634163129517036,0.6536368914861117
ReduceComplexity,A,8,0.6643340598829872,0.6555412629750598
ReduceComplexity,A,9,0.6597453252265688,0.650088911551037
ReduceComplexity,A,10,0.6614661007227257,0.6548227592836994
ReduceComplexity with FineTune,A,1,0.7188252839279569,0.7116340793555338
ReduceComplexity with FineTune,A,2,0.726052541011816,0.7209860195035722
