Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.6786738556842951,0.6587403315393007
Baseline,B,2,0.6604336354250315,0.6571940663647714
Baseline,B,3,0.6705288516691522,0.6617241344793071
Baseline,B,4,0.662039692554778,0.6558227588563921
Baseline,B,5,0.6456349661580819,0.6471427069416186
Baseline,B,6,0.6618102558219571,0.6538875837981921
Baseline,B,7,0.6635310313181141,0.6557412429242272
Baseline,B,8,0.6628427211196513,0.6533413195290979
Baseline,B,9,0.6627280027532408,0.654553835234251
Baseline,B,10,0.6630721578524722,0.6551989216445622
Baseline with FineTune,B,1,0.7148101411035906,0.708530573731049
Baseline with FineTune,B,2,0.713662957439486,0.708037191318982
SmallBatch,B,1,0.6755764597912126,0.6624201290143698
SmallBatch,B,2,0.6537799701732248,0.6528400864643313
SmallBatch,B,3,0.6597453252265688,0.6470853082619497
SmallBatch,B,4,0.6628427211196513,0.6524935201562024
SmallBatch,B,5,0.671217161867615,0.6614938544228781
SmallBatch,B,6,0.6724790638981301,0.6635916269511143
SmallBatch,B,7,0.6707582884019732,0.6619082605143148
SmallBatch,B,8,0.672708500630951,0.664034133219193
SmallBatch,B,9,0.6720201904324883,0.6632493694296296
SmallBatch,B,10,0.6746587128599288,0.6652241498969133
SmallBatch with FineTune,B,1,0.7249053573477113,0.7139970155763871
SmallBatch with FineTune,B,2,0.7281174716072043,0.7263174410898102
MixedPrecision,B,1,0.6728232189973615,0.6504122349835006
MixedPrecision,B,2,0.6426522886314099,0.6383563279583724
MixedPrecision,B,3,0.6573362395319491,0.645977754277438
MixedPrecision,B,4,0.6700699782035103,0.6598895341854647
MixedPrecision,B,5,0.6699552598370999,0.6628634560755619
MixedPrecision,B,6,0.6627280027532408,0.6552974594978349
MixedPrecision,B,7,0.668234484340943,0.6606219500960216
MixedPrecision,B,8,0.6636457496845245,0.6540115816773151
MixedPrecision,B,9,0.665251806814271,0.653993677091655
MixedPrecision,B,10,0.6624985660204199,0.65382601831318
MixedPrecision with FineTune,B,1,0.7255936675461742,0.7134547790780874
MixedPrecision with FineTune,B,2,0.7235287369507858,0.7158006751948346
ReduceComplexity,B,1,0.6669725823104279,0.6459050166928435
ReduceComplexity,B,2,0.6639899047837559,0.6557106968503367
ReduceComplexity,B,3,0.666513708844786,0.661092756330554
ReduceComplexity,B,4,0.6654812435470919,0.6582638614645397
ReduceComplexity,B,5,0.6638751864173454,0.65598542492448
ReduceComplexity,B,6,0.6659401170127337,0.6561880563709419
ReduceComplexity,B,7,0.6673167374096592,0.6569127163946594
ReduceComplexity,B,8,0.6677756108753011,0.6590410398684071
ReduceComplexity,B,9,0.6629574394860617,0.6497544071653277
ReduceComplexity,B,10,0.6661695537455546,0.6567242627646839
ReduceComplexity with FineTune,B,1,0.7222668349202708,0.722493356023406
ReduceComplexity with FineTune,B,2,0.7249053573477113,0.7186714660952891
