Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.5088235294117647,0.6470588235294118
Baseline,2,0.475,0.5352941176470588
Baseline,3,0.5514705882352942,0.5823529411764706
Baseline,4,0.6088235294117647,0.6647058823529411
Baseline,5,0.638235294117647,0.6705882352941176
Baseline,6,0.6470588235294118,0.6764705882352942
Baseline,7,0.6617647058823529,0.7058823529411765
Baseline,8,0.6838235294117647,0.7294117647058823
Baseline,9,0.6985294117647058,0.7470588235294118
Baseline,10,0.6941176470588235,0.7411764705882353
Baseline,11,0.6852941176470588,0.7470588235294118
Baseline,12,0.6852941176470588,0.711764705882353
Baseline,13,0.6970588235294117,0.7470588235294118
Baseline,14,0.7279411764705882,0.7764705882352941
Baseline,15,0.7588235294117647,0.8
SmallBatch,1,0.6308823529411764,0.7176470588235294
SmallBatch,2,0.6602941176470588,0.7176470588235294
SmallBatch,3,0.6676470588235294,0.6823529411764706
SmallBatch,4,0.7014705882352941,0.7294117647058823
SmallBatch,5,0.725,0.7470588235294118
SmallBatch,6,0.7220588235294118,0.7470588235294118
SmallBatch,7,0.7897058823529411,0.8176470588235294
SmallBatch,8,0.7735294117647059,0.7705882352941177
SmallBatch,9,0.763235294117647,0.7529411764705882
SmallBatch,10,0.75,0.7294117647058823
SmallBatch,11,0.7205882352941176,0.6823529411764706
SmallBatch,12,0.7279411764705882,0.6705882352941176
SmallBatch,13,0.7720588235294118,0.7058823529411765
SmallBatch,14,0.7455882352941177,0.6705882352941176
SmallBatch,15,0.6705882352941176,0.6352941176470588
MixedPrecision,1,0.12941176470588237,0.11176470588235295
MixedPrecision,2,0.2411764705882353,0.29411764705882354
MixedPrecision,3,0.35441176470588237,0.4
MixedPrecision,4,0.4264705882352941,0.45294117647058824
MixedPrecision,5,0.5279411764705882,0.5235294117647059
MixedPrecision,6,0.6073529411764705,0.6058823529411764
MixedPrecision,7,0.6823529411764706,0.6705882352941176
MixedPrecision,8,0.6970588235294117,0.6941176470588235
MixedPrecision,9,0.7352941176470589,0.7294117647058823
MixedPrecision,10,0.775,0.7823529411764706
MixedPrecision,11,0.7970588235294118,0.8117647058823529
MixedPrecision,12,0.8058823529411765,0.8058823529411765
MixedPrecision,13,0.8044117647058824,0.8294117647058824
MixedPrecision,14,0.8102941176470588,0.8235294117647058
MixedPrecision,15,0.8117647058823529,0.8176470588235294
ReduceComplexity,1,0.3411764705882353,0.3411764705882353
ReduceComplexity,2,0.34705882352941175,0.3352941176470588
ReduceComplexity,3,0.3514705882352941,0.3352941176470588
ReduceComplexity,4,0.35,0.3352941176470588
ReduceComplexity,5,0.35,0.3352941176470588
ReduceComplexity,6,0.35441176470588237,0.35294117647058826
ReduceComplexity,7,0.3602941176470588,0.37058823529411766
ReduceComplexity,8,0.4235294117647059,0.4411764705882353
ReduceComplexity,9,0.47352941176470587,0.5
ReduceComplexity,10,0.47205882352941175,0.5117647058823529
ReduceComplexity,11,0.47794117647058826,0.5058823529411764
ReduceComplexity,12,0.47205882352941175,0.4647058823529412
ReduceComplexity,13,0.47205882352941175,0.4823529411764706
ReduceComplexity,14,0.49264705882352944,0.5294117647058824
ReduceComplexity,15,0.49411764705882355,0.5470588235294118
