Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.6397058823529411,0.7647058823529411
Baseline,2,0.8352941176470589,0.8941176470588236
Baseline,3,0.9191176470588235,0.7529411764705882
Baseline,4,0.9161764705882353,0.9764705882352941
SmallBatch,1,0.5529411764705883,0.8705882352941177
SmallBatch,2,0.9029411764705882,0.8823529411764706
SmallBatch,3,0.9117647058823529,0.9764705882352941
MixedPrecision,1,0.5485294117647059,0.9588235294117647
ReduceComplexity,1,0.5470588235294118,0.9058823529411765
ReduceComplexity,2,0.9191176470588235,0.9176470588235294
ReduceComplexity,3,0.95,0.9705882352941176
