Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.4705882352941176,0.3848526784796602
Baseline,A,2,0.8705882352941177,0.8710351166328602
Baseline,A,3,0.8647058823529412,0.8608530717077502
Baseline,A,4,0.9647058823529412,0.9647420938279552
Baseline,A,5,0.8294117647058824,0.818044466721564
Baseline,A,6,0.9,0.8981427606514243
Baseline,A,7,0.9647058823529412,0.9647420938279552
Baseline,A,8,0.9058823529411764,0.906560596470452
Baseline,A,9,0.9294117647058824,0.9298827952233524
Baseline,A,10,0.8823529411764706,0.8792582718161783
Baseline with FineTune,A,1,0.9823529411764704,0.9824127933540876
Baseline with FineTune,A,2,0.976470588235294,0.976529867761058
SmallBatch,A,1,0.6647058823529411,0.5709193057937337
SmallBatch,A,2,0.888235294117647,0.887400690834932
SmallBatch,A,3,0.8058823529411765,0.787598228907156
SmallBatch,A,4,0.9470588235294116,0.9469720715427896
SmallBatch,A,5,0.9176470588235294,0.9169665879036604
SmallBatch,A,6,0.8470588235294118,0.842296972832754
SmallBatch,A,7,0.7823529411764706,0.7546062109638527
SmallBatch,A,8,0.9058823529411764,0.9068307056996544
SmallBatch,A,9,0.9823529411764704,0.9824127933540876
SmallBatch,A,10,0.9058823529411764,0.9047726230062304
SmallBatch with FineTune,A,1,0.8,0.8017997892226196
SmallBatch with FineTune,A,2,0.7588235294117647,0.7415034674838596
SmallBatch with FineTune,A,3,0.711764705882353,0.651143901628448
SmallBatch with FineTune,A,4,0.9705882352941176,0.9707497027154832
SmallBatch with FineTune,A,5,0.976470588235294,0.976529867761058
SmallBatch with FineTune,A,6,0.8235294117647058,0.8118094314187444
SmallBatch with FineTune,A,7,0.9411764705882352,0.941843534894578
SmallBatch with FineTune,A,8,0.9647058823529412,0.9647539407920032
SmallBatch with FineTune,A,9,0.9705882352941176,0.9708471709251087
SmallBatch with FineTune,A,10,0.9411764705882352,0.940789642093326
MixedPrecision,A,1,0.5823529411764706,0.474007249958807
MixedPrecision,A,2,0.6647058823529411,0.6098693540103891
MixedPrecision,A,3,0.9,0.8971969736652735
MixedPrecision,A,4,0.8705882352941177,0.8702995861747392
MixedPrecision,A,5,0.8529411764705882,0.8506886446886446
MixedPrecision,A,6,0.9647058823529412,0.9647420938279552
MixedPrecision,A,7,0.923529411764706,0.922673757950734
MixedPrecision,A,8,0.976470588235294,0.976529867761058
MixedPrecision,A,9,0.976470588235294,0.9766303908316868
MixedPrecision,A,10,0.9647058823529412,0.9647420938279552
MixedPrecision with FineTune,A,1,0.9705882352941176,0.97060174774648
MixedPrecision with FineTune,A,2,0.8705882352941177,0.865717267997299
MixedPrecision with FineTune,A,3,0.9705882352941176,0.9705279034690798
MixedPrecision with FineTune,A,4,0.9411764705882352,0.9415345757268426
MixedPrecision with FineTune,A,5,0.9705882352941176,0.9706414252623752
MixedPrecision with FineTune,A,6,0.888235294117647,0.8850648967426901
MixedPrecision with FineTune,A,7,0.9823529411764704,0.9823932818563532
ReduceComplexity,A,1,0.5764705882352941,0.4847663578850006
ReduceComplexity,A,2,0.6764705882352942,0.5788960695099422
ReduceComplexity,A,3,0.9411764705882352,0.9410225529165496
ReduceComplexity,A,4,0.8235294117647058,0.8219235072886821
ReduceComplexity,A,5,0.7705882352941177,0.7426216147755975
ReduceComplexity,A,6,0.9588235294117649,0.9588327893039964
ReduceComplexity,A,7,0.9,0.898624574802753
ReduceComplexity,A,8,0.9647058823529412,0.9647420938279552
ReduceComplexity,A,9,0.9588235294117649,0.9588581314878892
ReduceComplexity,A,10,0.9705882352941176,0.9707622975094854
ReduceComplexity with FineTune,A,1,0.9117647058823528,0.91047380047433
ReduceComplexity with FineTune,A,2,0.9588235294117649,0.9591868747083164
ReduceComplexity with FineTune,A,3,0.9705882352941176,0.9706414252623752
ReduceComplexity with FineTune,A,4,0.9647058823529412,0.964765418766038
ReduceComplexity with FineTune,A,5,0.9294117647058824,0.9287506045406184
ReduceComplexity with FineTune,A,6,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,A,7,0.9352941176470588,0.9359910380559476
ReduceComplexity with FineTune,A,8,0.9529411764705882,0.9527660910677068
ReduceComplexity with FineTune,A,9,0.9823529411764704,0.9824127933540876
