Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.2823529411764706,0.1604072398190045
Baseline,B,2,0.4352941176470588,0.30375157483808
Baseline,B,3,0.6882352941176471,0.6144827586206896
Baseline,B,4,0.9529411764705882,0.9529517844063344
Baseline,B,5,0.8117647058823529,0.7984874638076066
Baseline,B,6,0.976470588235294,0.976529867761058
Baseline,B,7,0.8411764705882353,0.8333748937555668
Baseline,B,8,0.9588235294117649,0.9586786346810258
Baseline,B,9,0.9823529411764704,0.9824127933540876
Baseline,B,10,0.923529411764706,0.9226899312802967
Baseline with FineTune,B,1,0.8,0.7839154528822915
Baseline with FineTune,B,2,0.8941176470588236,0.8918737591637728
Baseline with FineTune,B,3,0.976470588235294,0.976529867761058
Baseline with FineTune,B,4,0.9411764705882352,0.940789642093326
Baseline with FineTune,B,5,0.976470588235294,0.976529867761058
Baseline with FineTune,B,6,0.9529411764705882,0.952735086690735
Baseline with FineTune,B,7,0.9705882352941176,0.9706403747089352
Baseline with FineTune,B,8,0.9823529411764704,0.9824127933540876
Baseline with FineTune,B,9,0.9823529411764704,0.9824127933540876
Baseline with FineTune,B,10,0.9647058823529412,0.9646898427128212
SmallBatch,B,1,0.4235294117647059,0.283834568386998
SmallBatch,B,2,0.5882352941176471,0.5458617792091672
SmallBatch,B,3,0.6294117647058823,0.5464856711915536
SmallBatch,B,4,0.8411764705882353,0.8297922493861427
SmallBatch,B,5,0.7058823529411765,0.6490246605499683
SmallBatch,B,6,0.7647058823529411,0.7376113576457243
SmallBatch,B,7,0.9647058823529412,0.9645818692542498
SmallBatch,B,8,0.976470588235294,0.976529867761058
SmallBatch,B,9,0.8529411764705882,0.8467957176166611
SmallBatch,B,10,0.9529411764705882,0.9529517844063344
SmallBatch with FineTune,B,1,0.923529411764706,0.9230175771899438
SmallBatch with FineTune,B,2,0.8058823529411765,0.7912497700222688
SmallBatch with FineTune,B,3,0.7823529411764706,0.7612861858817627
SmallBatch with FineTune,B,4,0.9529411764705882,0.9529517844063344
SmallBatch with FineTune,B,5,0.9529411764705882,0.9527561036999748
SmallBatch with FineTune,B,6,0.9176470588235294,0.9161317837286392
SmallBatch with FineTune,B,7,0.9470588235294116,0.9469720715427896
SmallBatch with FineTune,B,8,0.9705882352941176,0.9706414252623752
SmallBatch with FineTune,B,9,0.9470588235294116,0.946772870629688
SmallBatch with FineTune,B,10,0.9705882352941176,0.9706403747089352
MixedPrecision,B,1,0.5588235294117647,0.4539950589486193
MixedPrecision,B,2,0.8,0.7957858938557723
MixedPrecision,B,3,0.6411764705882353,0.555493166590247
MixedPrecision,B,4,0.976470588235294,0.976529867761058
MixedPrecision,B,5,0.9647058823529412,0.9649067134339904
MixedPrecision,B,6,0.7352941176470589,0.6941976633913753
MixedPrecision,B,7,0.8647058823529412,0.8586627520883576
MixedPrecision,B,8,0.976470588235294,0.976529867761058
MixedPrecision,B,9,0.7352941176470589,0.6954081679254996
MixedPrecision,B,10,0.8529411764705882,0.847350170565724
MixedPrecision with FineTune,B,1,0.7352941176470589,0.6913673830632602
MixedPrecision with FineTune,B,2,0.9588235294117649,0.9591154580797836
MixedPrecision with FineTune,B,3,0.9117647058823528,0.9113592433100844
MixedPrecision with FineTune,B,4,0.976470588235294,0.976529867761058
MixedPrecision with FineTune,B,5,0.9470588235294116,0.9466813011909146
MixedPrecision with FineTune,B,6,0.8058823529411765,0.7894075286949014
MixedPrecision with FineTune,B,7,0.9176470588235294,0.9165985101342932
MixedPrecision with FineTune,B,8,0.9588235294117649,0.9588327893039964
MixedPrecision with FineTune,B,9,0.9588235294117649,0.9588581314878892
MixedPrecision with FineTune,B,10,0.7941176470588235,0.7764799473179684
ReduceComplexity,B,1,0.5,0.41968720821662
ReduceComplexity,B,2,0.6823529411764706,0.6165852803206523
ReduceComplexity,B,3,0.6470588235294118,0.5731937547440951
ReduceComplexity,B,4,0.7647058823529411,0.7618949830919612
ReduceComplexity,B,5,0.6352941176470588,0.5506679794424892
ReduceComplexity,B,6,0.6647058823529411,0.5817005780327579
ReduceComplexity,B,7,0.8176470588235294,0.8111303647729721
ReduceComplexity,B,8,0.7529411764705882,0.7203541565032822
ReduceComplexity,B,9,0.9529411764705882,0.953007877169388
ReduceComplexity,B,10,0.9058823529411764,0.9047247430266004
ReduceComplexity with FineTune,B,1,0.9176470588235294,0.9169665879036604
ReduceComplexity with FineTune,B,2,0.9647058823529412,0.9647420938279552
ReduceComplexity with FineTune,B,3,0.8058823529411765,0.7894314712167351
ReduceComplexity with FineTune,B,4,0.9470588235294116,0.9469720715427896
ReduceComplexity with FineTune,B,5,0.9176470588235294,0.9190537744178348
ReduceComplexity with FineTune,B,6,0.9352941176470588,0.9350399153500426
ReduceComplexity with FineTune,B,7,0.9058823529411764,0.9038348716194352
ReduceComplexity with FineTune,B,8,0.976470588235294,0.976529867761058
