Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.5470588235294118,0.4425616312875861
Baseline,A,2,0.711764705882353,0.675503803312346
Baseline,A,3,0.8588235294117647,0.8526844686706718
Baseline,A,4,0.923529411764706,0.922673757950734
Baseline,A,5,0.8352941176470589,0.8265575064761185
Baseline,A,6,0.7941176470588235,0.7705436222594899
Baseline,A,7,0.9529411764705882,0.9529102070032016
Baseline,A,8,0.9470588235294116,0.9469720715427896
Baseline,A,9,0.976470588235294,0.9766303908316868
Baseline,A,10,0.976470588235294,0.976529867761058
Baseline with FineTune,A,1,0.9117647058823528,0.91047380047433
Baseline with FineTune,A,2,0.9647058823529412,0.9650609824401802
Baseline with FineTune,A,3,0.8941176470588236,0.8918737591637728
Baseline with FineTune,A,4,0.888235294117647,0.885948606786637
Baseline with FineTune,A,5,0.9705882352941176,0.9706036971913284
Baseline with FineTune,A,6,0.9705882352941176,0.9706403747089352
Baseline with FineTune,A,7,0.976470588235294,0.9766303908316868
Baseline with FineTune,A,8,0.976470588235294,0.976543132679569
Baseline with FineTune,A,9,0.9470588235294116,0.946772870629688
Baseline with FineTune,A,10,0.9705882352941176,0.9706403747089352
SmallBatch,A,1,0.2529411764705882,0.1239316239316239
SmallBatch,A,2,0.8352941176470589,0.832867997865151
SmallBatch,A,3,0.788235294117647,0.7674491846756315
SmallBatch,A,4,0.9058823529411764,0.9047726230062304
SmallBatch,A,5,0.9647058823529412,0.9647420938279552
SmallBatch,A,6,0.888235294117647,0.8885836452892878
SmallBatch,A,7,0.9294117647058824,0.9304523822198564
SmallBatch,A,8,0.8764705882352941,0.8728773883262633
SmallBatch,A,9,0.923529411764706,0.9242936025605074
SmallBatch,A,10,0.888235294117647,0.8855894275458797
SmallBatch with FineTune,A,1,0.6,0.5555964363879292
SmallBatch with FineTune,A,2,0.6647058823529411,0.5590807995450007
SmallBatch with FineTune,A,3,0.7470588235294118,0.7052735966504715
SmallBatch with FineTune,A,4,0.9352941176470588,0.9351488051231588
SmallBatch with FineTune,A,5,0.8941176470588236,0.8942480450711293
SmallBatch with FineTune,A,6,0.9705882352941176,0.9705521748929458
SmallBatch with FineTune,A,7,0.9294117647058824,0.9292708893256088
SmallBatch with FineTune,A,8,0.9294117647058824,0.9301609678437708
SmallBatch with FineTune,A,9,0.9294117647058824,0.9290579830881758
SmallBatch with FineTune,A,10,0.9588235294117649,0.958893979822674
MixedPrecision,A,1,0.6588235294117647,0.6432594856124269
MixedPrecision,A,2,0.711764705882353,0.6477514077405222
MixedPrecision,A,3,0.9,0.9015205199334896
MixedPrecision,A,4,0.8764705882352941,0.8769344910521382
MixedPrecision,A,5,0.9352941176470588,0.9350399153500426
MixedPrecision,A,6,0.923529411764706,0.9232858878981752
MixedPrecision,A,7,0.9823529411764704,0.9824127933540876
MixedPrecision,A,8,0.8352941176470589,0.8276713782072208
MixedPrecision,A,9,0.9647058823529412,0.9650609824401802
MixedPrecision,A,10,0.9058823529411764,0.9035179301762531
MixedPrecision with FineTune,A,1,0.9,0.8971955469442869
MixedPrecision with FineTune,A,2,0.7235294117647059,0.6774107966689339
MixedPrecision with FineTune,A,3,0.8941176470588236,0.8918737591637728
MixedPrecision with FineTune,A,4,0.9529411764705882,0.9529102070032016
MixedPrecision with FineTune,A,5,0.8235294117647058,0.8195245383472934
MixedPrecision with FineTune,A,6,0.923529411764706,0.9230175771899438
MixedPrecision with FineTune,A,7,0.923529411764706,0.9222509178666604
MixedPrecision with FineTune,A,8,0.976470588235294,0.976543132679569
MixedPrecision with FineTune,A,9,0.976470588235294,0.976543132679569
MixedPrecision with FineTune,A,10,0.9529411764705882,0.9527561036999748
ReduceComplexity,A,1,0.3352941176470588,0.3511635155512682
ReduceComplexity,A,2,0.6294117647058823,0.5159463785514207
ReduceComplexity,A,3,0.6470588235294118,0.5182376244215853
ReduceComplexity,A,4,0.5882352941176471,0.4692496653575158
ReduceComplexity,A,5,0.6529411764705882,0.5657149174611448
ReduceComplexity,A,6,0.6647058823529411,0.612021239218654
ReduceComplexity,A,7,0.7058823529411765,0.6490246605499683
ReduceComplexity,A,8,0.9823529411764704,0.9824127933540876
ReduceComplexity,A,9,0.8705882352941177,0.8675201964091614
ReduceComplexity,A,10,0.9647058823529412,0.9647420938279552
ReduceComplexity with FineTune,A,1,0.9352941176470588,0.934769555060352
ReduceComplexity with FineTune,A,2,0.8294117647058824,0.819663940464473
ReduceComplexity with FineTune,A,3,0.9529411764705882,0.9529102070032016
ReduceComplexity with FineTune,A,4,0.9705882352941176,0.9706403747089352
ReduceComplexity with FineTune,A,5,0.976470588235294,0.9765227835030882
ReduceComplexity with FineTune,A,6,0.9823529411764704,0.9824127933540876
ReduceComplexity with FineTune,A,7,0.8352941176470589,0.8265575064761185
ReduceComplexity with FineTune,A,8,0.9823529411764704,0.9824127933540876
ReduceComplexity with FineTune,A,9,0.9529411764705882,0.9529102070032016
ReduceComplexity with FineTune,A,10,0.9823529411764704,0.9824127933540876
