Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.2529411764705882,0.1176072484389168
Baseline,B,2,0.4235294117647059,0.282201038518174
Baseline,B,3,0.6764705882352942,0.5954160384419304
Baseline,B,4,0.7823529411764706,0.7617811447424387
Baseline,B,5,0.7176470588235294,0.6645881809704026
Baseline,B,6,0.8764705882352941,0.873384973439693
Baseline,B,7,0.7294117647058823,0.6869025934279012
Baseline,B,8,0.9647058823529412,0.964823121556704
Baseline,B,9,0.6764705882352942,0.5954160384419304
Baseline,B,10,0.9588235294117649,0.9588341373475108
Baseline with FineTune,B,1,0.8352941176470589,0.8365582641431762
Baseline with FineTune,B,2,0.888235294117647,0.890739107820447
Baseline with FineTune,B,3,0.9705882352941176,0.9706403747089352
Baseline with FineTune,B,4,0.8058823529411765,0.7912497700222688
Baseline with FineTune,B,5,0.9411764705882352,0.941098536515019
Baseline with FineTune,B,6,0.9470588235294116,0.9469720715427896
Baseline with FineTune,B,7,0.8176470588235294,0.8056329275786612
Baseline with FineTune,B,8,0.9647058823529412,0.9647420938279552
Baseline with FineTune,B,9,0.9705882352941176,0.9706897000286184
SmallBatch,B,1,0.2823529411764706,0.1604072398190045
SmallBatch,B,2,0.4588235294117647,0.3507415284432493
SmallBatch,B,3,0.7411764705882353,0.6998958223718826
SmallBatch,B,4,0.9,0.8981140987688973
SmallBatch,B,5,0.9647058823529412,0.9647420938279552
SmallBatch,B,6,0.888235294117647,0.8827855919250376
SmallBatch,B,7,0.9352941176470588,0.9347830242495084
SmallBatch,B,8,0.888235294117647,0.8855894275458797
SmallBatch,B,9,0.8705882352941177,0.8664437969691047
SmallBatch,B,10,0.9647058823529412,0.9647420938279552
SmallBatch with FineTune,B,1,0.9176470588235294,0.9171975369668566
SmallBatch with FineTune,B,2,0.9117647058823528,0.9103409253515364
SmallBatch with FineTune,B,3,0.9529411764705882,0.9531935858798845
SmallBatch with FineTune,B,4,0.6705882352941176,0.5782996788824636
SmallBatch with FineTune,B,5,0.8647058823529412,0.8641253133955347
SmallBatch with FineTune,B,6,0.9352941176470588,0.9352386893178496
SmallBatch with FineTune,B,7,0.7941176470588235,0.7770096410657287
SmallBatch with FineTune,B,8,0.9823529411764704,0.9824127933540876
SmallBatch with FineTune,B,9,0.8117647058823529,0.799048844708323
SmallBatch with FineTune,B,10,0.8823529411764706,0.8825262813189848
MixedPrecision,B,1,0.4117647058823529,0.3676163708598591
MixedPrecision,B,2,0.6529411764705882,0.5998619640163758
MixedPrecision,B,3,0.6764705882352942,0.5840292580982236
MixedPrecision,B,4,0.6823529411764706,0.6194515378809045
MixedPrecision,B,5,0.888235294117647,0.8866188572029885
MixedPrecision,B,6,0.6705882352941176,0.5773442875909669
MixedPrecision,B,7,0.6529411764705882,0.5840370925871731
MixedPrecision,B,8,0.976470588235294,0.9764732961127908
MixedPrecision,B,9,0.9058823529411764,0.9038015206082431
MixedPrecision,B,10,0.9,0.896361237051455
MixedPrecision with FineTune,B,1,0.8588235294117647,0.8534061567381871
MixedPrecision with FineTune,B,2,0.6647058823529411,0.612021239218654
MixedPrecision with FineTune,B,3,0.7176470588235294,0.6656937175112984
MixedPrecision with FineTune,B,4,0.7941176470588235,0.7764799473179684
MixedPrecision with FineTune,B,5,0.7764705882352941,0.7653468801620024
MixedPrecision with FineTune,B,6,0.8294117647058824,0.8252669933249748
MixedPrecision with FineTune,B,7,0.9058823529411764,0.9031745346446604
MixedPrecision with FineTune,B,8,0.8588235294117647,0.851079273814789
MixedPrecision with FineTune,B,9,0.9647058823529412,0.9647420938279552
MixedPrecision with FineTune,B,10,0.9529411764705882,0.9529102070032016
ReduceComplexity,B,1,0.6588235294117647,0.5677779788838612
ReduceComplexity,B,2,0.6411764705882353,0.5626768206977493
ReduceComplexity,B,3,0.6882352941176471,0.6027540512789988
ReduceComplexity,B,4,0.8117647058823529,0.7984874638076066
ReduceComplexity,B,5,0.7352941176470589,0.69912251484226
ReduceComplexity,B,6,0.923529411764706,0.9230175771899438
ReduceComplexity,B,7,0.9705882352941176,0.9708471709251087
ReduceComplexity,B,8,0.8352941176470589,0.8253041546453664
ReduceComplexity,B,9,0.9117647058823528,0.91047380047433
ReduceComplexity,B,10,0.9117647058823528,0.91047380047433
ReduceComplexity with FineTune,B,1,0.8470588235294118,0.8401197784088611
ReduceComplexity with FineTune,B,2,0.9823529411764704,0.9824127933540876
ReduceComplexity with FineTune,B,3,0.923529411764706,0.9230175771899438
ReduceComplexity with FineTune,B,4,0.9647058823529412,0.9647420938279552
ReduceComplexity with FineTune,B,5,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,B,6,0.9647058823529412,0.9647420938279552
ReduceComplexity with FineTune,B,7,0.9176470588235294,0.9165985101342932
ReduceComplexity with FineTune,B,8,0.9705882352941176,0.9706414252623752
ReduceComplexity with FineTune,B,9,0.9705882352941176,0.9705189610588676
ReduceComplexity with FineTune,B,10,0.9705882352941176,0.9706403747089352
