Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.4235294117647059,0.6588235294117647
Baseline,2,0.7794117647058824,0.9058823529411765
Baseline,3,0.8867647058823529,0.9764705882352941
Baseline,4,0.9691176470588235,0.9705882352941176
Baseline,5,0.9779411764705882,0.9705882352941176
Baseline,6,0.9808823529411764,0.9764705882352941
Baseline,7,0.9852941176470589,0.9588235294117647
Baseline,8,0.9779411764705882,0.9764705882352941
Baseline,9,0.9911764705882353,0.9764705882352941
Baseline,10,0.9926470588235294,0.9823529411764705
Baseline,11,0.9897058823529412,0.9823529411764705
Baseline,12,0.9911764705882353,0.9764705882352941
Baseline,13,0.9897058823529412,0.9823529411764705
Baseline,14,0.9911764705882353,0.9764705882352941
Baseline,15,0.9926470588235294,0.9823529411764705
SmallBatch,1,0.48970588235294116,0.6764705882352942
SmallBatch,2,0.8073529411764706,0.9529411764705882
SmallBatch,3,0.9,0.8176470588235294
SmallBatch,4,0.9117647058823529,0.9705882352941176
SmallBatch,5,0.9735294117647059,0.9705882352941176
SmallBatch,6,0.986764705882353,0.9647058823529412
SmallBatch,7,0.9852941176470589,0.9823529411764705
SmallBatch,8,0.9897058823529412,0.9823529411764705
SmallBatch,9,0.9941176470588236,0.9823529411764705
SmallBatch,10,0.9926470588235294,0.9823529411764705
SmallBatch,11,0.9926470588235294,0.9882352941176471
SmallBatch,12,0.9941176470588236,0.9882352941176471
SmallBatch,13,0.9941176470588236,0.9882352941176471
SmallBatch,14,0.9941176470588236,0.9882352941176471
SmallBatch,15,0.9926470588235294,0.9882352941176471
MixedPrecision,1,0.45294117647058824,0.8294117647058824
MixedPrecision,2,0.8911764705882353,0.8941176470588236
MixedPrecision,3,0.9308823529411765,0.9588235294117647
MixedPrecision,4,0.9558823529411765,0.9117647058823529
MixedPrecision,5,0.961764705882353,0.9470588235294117
MixedPrecision,6,0.9779411764705882,0.9823529411764705
MixedPrecision,7,0.986764705882353,0.9823529411764705
MixedPrecision,8,0.986764705882353,0.9823529411764705
MixedPrecision,9,0.986764705882353,0.9764705882352941
MixedPrecision,10,0.9911764705882353,0.9764705882352941
MixedPrecision,11,0.9838235294117647,0.9823529411764705
MixedPrecision,12,0.9926470588235294,0.9823529411764705
MixedPrecision,13,0.9926470588235294,0.9764705882352941
MixedPrecision,14,0.9970588235294118,0.9823529411764705
MixedPrecision,15,0.9970588235294118,0.9823529411764705
ReduceComplexity,1,0.5029411764705882,0.6823529411764706
ReduceComplexity,2,0.7926470588235294,0.9
ReduceComplexity,3,0.9367647058823529,0.9588235294117647
ReduceComplexity,4,0.9544117647058824,0.8529411764705882
ReduceComplexity,5,0.8808823529411764,0.9823529411764705
ReduceComplexity,6,0.9647058823529412,0.9764705882352941
ReduceComplexity,7,0.9764705882352941,0.9823529411764705
ReduceComplexity,8,0.9911764705882353,0.9764705882352941
ReduceComplexity,9,0.9926470588235294,0.9823529411764705
ReduceComplexity,10,0.9926470588235294,0.9764705882352941
ReduceComplexity,11,0.9955882352941177,0.9764705882352941
ReduceComplexity,12,0.9955882352941177,0.9823529411764705
ReduceComplexity,13,0.9955882352941177,0.9823529411764705
ReduceComplexity,14,0.9955882352941177,0.9823529411764705
ReduceComplexity,15,0.9985294117647059,0.9823529411764705
