Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.6,0.5314873147266378
Baseline,A,2,0.6294117647058823,0.5145786233275036
Baseline,A,3,0.6411764705882353,0.5316454457433055
Baseline,A,4,0.8117647058823529,0.8007971282282461
Baseline,A,5,0.8,0.7864725864215558
Baseline,A,6,0.7411764705882353,0.699391159853772
Baseline,A,7,0.8,0.7772150929584788
Baseline,A,8,0.9,0.9004791501600196
Baseline,A,9,0.8529411764705882,0.847857757665798
Baseline,A,10,0.9529411764705882,0.953308454009268
Baseline with FineTune,A,1,0.7352941176470589,0.6930725744843392
Baseline with FineTune,A,2,0.7705882352941177,0.7579679111696026
Baseline with FineTune,A,3,0.8705882352941177,0.8638592659155319
Baseline with FineTune,A,4,0.7647058823529411,0.7376113576457243
Baseline with FineTune,A,5,0.9294117647058824,0.9297860962566844
Baseline with FineTune,A,6,0.9294117647058824,0.9281705204488966
Baseline with FineTune,A,7,0.9647058823529412,0.9648490028773188
Baseline with FineTune,A,8,0.9411764705882352,0.9403571428571428
Baseline with FineTune,A,9,0.9,0.9004847577988401
Baseline with FineTune,A,10,0.9823529411764704,0.9824127933540876
SmallBatch,A,1,0.4176470588235294,0.2710192697768763
SmallBatch,A,2,0.5764705882352941,0.497852415785964
SmallBatch,A,3,0.6058823529411764,0.5907405488187314
SmallBatch,A,4,0.7235294117647059,0.6775226252244037
SmallBatch,A,5,0.6529411764705882,0.5742575628499209
SmallBatch,A,6,0.7941176470588235,0.7778431507710274
SmallBatch,A,7,0.7352941176470589,0.6879253034547151
SmallBatch,A,8,0.8176470588235294,0.8012616621539065
SmallBatch,A,9,0.8647058823529412,0.8647252939612502
SmallBatch,A,10,0.8058823529411765,0.7858725099318452
SmallBatch with FineTune,A,1,0.5823529411764706,0.5776408998048554
SmallBatch with FineTune,A,2,0.7411764705882353,0.7041532737668169
SmallBatch with FineTune,A,3,0.9411764705882352,0.9405215314298868
SmallBatch with FineTune,A,4,0.9117647058823528,0.9108633566380878
SmallBatch with FineTune,A,5,0.9176470588235294,0.9161873638344225
SmallBatch with FineTune,A,6,0.9823529411764704,0.9824127933540876
SmallBatch with FineTune,A,7,0.9470588235294116,0.946772870629688
SmallBatch with FineTune,A,8,0.9823529411764704,0.9823932818563532
SmallBatch with FineTune,A,9,0.9823529411764704,0.982330224959386
SmallBatch with FineTune,A,10,0.9941176470588236,0.9941085562013852
MixedPrecision,A,1,0.4823529411764706,0.3997767986747954
MixedPrecision,A,2,0.4411764705882353,0.3202111771187085
MixedPrecision,A,3,0.6411764705882353,0.5409891206003109
MixedPrecision,A,4,0.7352941176470589,0.7135242463687266
MixedPrecision,A,5,0.6588235294117647,0.5635516771642854
MixedPrecision,A,6,0.7470588235294118,0.7095368080582655
MixedPrecision,A,7,0.7941176470588235,0.7772433807225773
MixedPrecision,A,8,0.6647058823529411,0.5677653785006727
MixedPrecision,A,9,0.6705882352941176,0.5746368332279148
MixedPrecision,A,10,0.7647058823529411,0.7279041185852332
MixedPrecision with FineTune,A,1,0.9529411764705882,0.9529276538201488
MixedPrecision with FineTune,A,2,0.8411764705882353,0.8333748937555668
MixedPrecision with FineTune,A,3,0.9529411764705882,0.9527085073380266
MixedPrecision with FineTune,A,4,0.8823529411764706,0.8831701326995445
MixedPrecision with FineTune,A,5,0.9470588235294116,0.946772870629688
MixedPrecision with FineTune,A,6,0.9647058823529412,0.9648490028773188
MixedPrecision with FineTune,A,7,0.9941176470588236,0.9941085562013852
MixedPrecision with FineTune,A,8,0.8764705882352941,0.8751221676789529
MixedPrecision with FineTune,A,9,0.9647058823529412,0.9646058297800484
MixedPrecision with FineTune,A,10,0.9823529411764704,0.9824127933540876
ReduceComplexity,A,1,0.7764705882352941,0.7742422547614364
ReduceComplexity,A,2,0.6588235294117647,0.6068244623332933
ReduceComplexity,A,3,0.7764705882352941,0.7691351001939237
ReduceComplexity,A,4,0.9352941176470588,0.9350399153500426
ReduceComplexity,A,5,0.9411764705882352,0.9417724146110056
ReduceComplexity,A,6,0.8941176470588236,0.8947765137358871
ReduceComplexity,A,7,0.9705882352941176,0.9707497027154832
ReduceComplexity,A,8,0.8352941176470589,0.8281831633582226
ReduceComplexity,A,9,0.9058823529411764,0.9041649228861504
ReduceComplexity,A,10,0.9352941176470588,0.934769555060352
ReduceComplexity with FineTune,A,1,0.8411764705882353,0.8339417367639783
ReduceComplexity with FineTune,A,2,0.711764705882353,0.685882802920365
ReduceComplexity with FineTune,A,3,0.8235294117647058,0.8122636888206236
ReduceComplexity with FineTune,A,4,0.8235294117647058,0.8132605940298571
ReduceComplexity with FineTune,A,5,0.9411764705882352,0.9411829181800596
ReduceComplexity with FineTune,A,6,0.9647058823529412,0.9646097783332628
ReduceComplexity with FineTune,A,7,0.976470588235294,0.9763779347422
ReduceComplexity with FineTune,A,8,0.9588235294117649,0.958893979822674
ReduceComplexity with FineTune,A,9,0.9352941176470588,0.9350607649684256
ReduceComplexity with FineTune,A,10,0.976470588235294,0.9764732961127908
