Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.4588235294117647,0.350565467079899
Baseline,B,2,0.6235294117647059,0.516382209882692
Baseline,B,3,0.6882352941176471,0.6065390590102072
Baseline,B,4,0.6647058823529411,0.5749466361778263
Baseline,B,5,0.6705882352941176,0.5863026898492743
Baseline,B,6,0.6823529411764706,0.6031964459992142
Baseline,B,7,0.7647058823529411,0.730230972244363
Baseline,B,8,0.8588235294117647,0.852057186510968
Baseline,B,9,0.9176470588235294,0.9156656383688768
Baseline,B,10,0.8470588235294118,0.8402793893477123
Baseline with FineTune,B,1,0.6705882352941176,0.5823365503339065
Baseline with FineTune,B,2,0.7235294117647059,0.6729550272197332
Baseline with FineTune,B,3,0.9411764705882352,0.941016083299905
Baseline with FineTune,B,4,0.9470588235294116,0.947047019476687
Baseline with FineTune,B,5,0.7529411764705882,0.7200218375171475
Baseline with FineTune,B,6,0.7,0.6365995779682972
Baseline with FineTune,B,7,0.8764705882352941,0.8717036877041815
Baseline with FineTune,B,8,0.9176470588235294,0.9161873638344225
Baseline with FineTune,B,9,0.9647058823529412,0.9647420938279552
Baseline with FineTune,B,10,0.9470588235294116,0.9469720715427896
SmallBatch,B,1,0.4235294117647059,0.2803870639164756
SmallBatch,B,2,0.6411764705882353,0.5146897331341597
SmallBatch,B,3,0.6529411764705882,0.5649422268907562
SmallBatch,B,4,0.6588235294117647,0.5663072567570837
SmallBatch,B,5,0.6764705882352942,0.6658990961598438
SmallBatch,B,6,0.711764705882353,0.6440569049282368
SmallBatch,B,7,0.7058823529411765,0.6489326095088769
SmallBatch,B,8,0.711764705882353,0.6586836141457088
SmallBatch,B,9,0.7470588235294118,0.7094814132683069
SmallBatch,B,10,0.8235294117647058,0.811019820971867
SmallBatch with FineTune,B,1,0.7588235294117647,0.7177748361416765
SmallBatch with FineTune,B,2,0.6764705882352942,0.59681962389562
SmallBatch with FineTune,B,3,0.6882352941176471,0.5983031270920544
SmallBatch with FineTune,B,4,0.6647058823529411,0.5552218652824258
SmallBatch with FineTune,B,5,0.7941176470588235,0.7709286053623556
SmallBatch with FineTune,B,6,0.788235294117647,0.7637200721874082
SmallBatch with FineTune,B,7,0.8,0.7788934690791051
SmallBatch with FineTune,B,8,0.888235294117647,0.8836767067922652
SmallBatch with FineTune,B,9,0.9058823529411764,0.9034558253386648
SmallBatch with FineTune,B,10,0.8235294117647058,0.8077700940653332
MixedPrecision,B,1,0.4235294117647059,0.2983042203238557
MixedPrecision,B,2,0.5058823529411764,0.4217151428039343
MixedPrecision,B,3,0.6705882352941176,0.5811922846061502
MixedPrecision,B,4,0.6058823529411764,0.4956862745098039
MixedPrecision,B,5,0.6058823529411764,0.5156378754033258
MixedPrecision,B,6,0.6705882352941176,0.5917547640974609
MixedPrecision,B,7,0.7529411764705882,0.7150715206458248
MixedPrecision,B,8,0.6647058823529411,0.5741433868529051
MixedPrecision,B,9,0.7470588235294118,0.7058373309036349
MixedPrecision,B,10,0.6764705882352942,0.5839262773479368
MixedPrecision with FineTune,B,1,0.7529411764705882,0.7211732078557164
MixedPrecision with FineTune,B,2,0.888235294117647,0.8850152753434819
MixedPrecision with FineTune,B,3,0.976470588235294,0.976529867761058
MixedPrecision with FineTune,B,4,0.8294117647058824,0.819663940464473
MixedPrecision with FineTune,B,5,0.976470588235294,0.976543132679569
MixedPrecision with FineTune,B,6,0.8176470588235294,0.8047271212247548
MixedPrecision with FineTune,B,7,0.9294117647058824,0.9298827952233524
MixedPrecision with FineTune,B,8,0.9588235294117649,0.958526031102096
MixedPrecision with FineTune,B,9,0.9529411764705882,0.9524740336810348
MixedPrecision with FineTune,B,10,0.9058823529411764,0.9038348716194352
ReduceComplexity,B,1,0.6294117647058823,0.5521787488120857
ReduceComplexity,B,2,0.6588235294117647,0.5763936504928189
ReduceComplexity,B,3,0.6705882352941176,0.5720957111941767
ReduceComplexity,B,4,0.6529411764705882,0.5649422268907562
ReduceComplexity,B,5,0.8588235294117647,0.8525742724204793
ReduceComplexity,B,6,0.7352941176470589,0.6814830659536542
ReduceComplexity,B,7,0.8176470588235294,0.8004901242548301
ReduceComplexity,B,8,0.8647058823529412,0.8572815181923341
ReduceComplexity,B,9,0.9294117647058824,0.928426827039926
ReduceComplexity,B,10,0.8411764705882353,0.8333748937555668
ReduceComplexity with FineTune,B,1,0.8588235294117647,0.8532020585313072
ReduceComplexity with FineTune,B,2,0.9058823529411764,0.9047247430266004
ReduceComplexity with FineTune,B,3,0.7,0.6389845017885819
ReduceComplexity with FineTune,B,4,0.9352941176470588,0.9347830242495084
ReduceComplexity with FineTune,B,5,0.888235294117647,0.8860247157686604
ReduceComplexity with FineTune,B,6,0.8588235294117647,0.8541743498158275
ReduceComplexity with FineTune,B,7,0.9705882352941176,0.9705118029220684
ReduceComplexity with FineTune,B,8,0.8,0.7819361795301797
ReduceComplexity with FineTune,B,9,0.7941176470588235,0.7784067587171516
ReduceComplexity with FineTune,B,10,0.9647058823529412,0.9647539407920032
