Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.7,0.6171311636765798
Baseline,2,0.6058823529411764,0.8880311052004496
Baseline,3,0.5823529411764706,0.8381640315055847
Baseline,4,0.8588235294117647,0.5512229154507319
Baseline,5,0.8647058823529412,0.3861010397473971
SmallBatch,1,0.611764705882353,0.908451497554779
SmallBatch,2,0.6882352941176471,0.6347024341424307
SmallBatch,3,0.7058823529411765,0.5482596854368845
SmallBatch,4,0.7588235294117647,0.37431327005227405
SmallBatch,5,0.8705882352941177,0.378373920917511
MixedPrecision,1,0.49411764705882355,1.1943736871083577
MixedPrecision,2,0.5882352941176471,0.850390613079071
MixedPrecision,3,0.36470588235294116,0.9041061103343964
MixedPrecision,4,0.7058823529411765,0.7540163596471151
MixedPrecision,5,0.7764705882352941,0.6337138017018636
ReduceComplexity,1,0.5764705882352941,1.1462323764959972
ReduceComplexity,2,0.6882352941176471,0.5498644933104515
ReduceComplexity,3,0.6882352941176471,0.7869159877300262
ReduceComplexity,4,0.7705882352941177,0.38708196332057315
ReduceComplexity,5,0.9294117647058824,0.44330933690071106
