Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.3647058823529411,0.2548175269813858
Baseline,A,2,0.6352941176470588,0.5321625020810198
Baseline,A,3,0.6529411764705882,0.5264876948796703
Baseline,A,4,0.6647058823529411,0.5619263997733925
Baseline,A,5,0.8823529411764706,0.8790780411415018
Baseline,A,6,0.7529411764705882,0.7170790080738177
Baseline,A,7,0.9294117647058824,0.92917609860623
Baseline,A,8,0.8294117647058824,0.819663940464473
Baseline,A,9,0.8588235294117647,0.8507256392113647
Baseline,A,10,0.8705882352941177,0.8637794384541474
Baseline with FineTune,A,1,0.9529411764705882,0.9533999110637388
Baseline with FineTune,A,2,0.8470588235294118,0.8401197784088611
Baseline with FineTune,A,3,0.7705882352941177,0.7456280976258214
Baseline with FineTune,A,4,0.9647058823529412,0.9650609824401802
Baseline with FineTune,A,5,0.923529411764706,0.9227143372862762
Baseline with FineTune,A,6,0.9529411764705882,0.9529102070032016
Baseline with FineTune,A,7,0.976470588235294,0.9765227835030882
Baseline with FineTune,A,8,0.9705882352941176,0.9707854901449298
Baseline with FineTune,A,9,0.9588235294117649,0.9588327893039964
Baseline with FineTune,A,10,0.9705882352941176,0.9707854901449298
SmallBatch,A,1,0.5176470588235295,0.4089736893647581
SmallBatch,A,2,0.4411764705882353,0.3161390858550551
SmallBatch,A,3,0.7588235294117647,0.7427552839317545
SmallBatch,A,4,0.6294117647058823,0.5835433431060653
SmallBatch,A,5,0.7176470588235294,0.6622358769410099
SmallBatch,A,6,0.8176470588235294,0.8096576585515083
SmallBatch,A,7,0.8764705882352941,0.8772152763544443
SmallBatch,A,8,0.6882352941176471,0.618270897189872
SmallBatch,A,9,0.7235294117647059,0.6832160258801846
SmallBatch,A,10,0.8411764705882353,0.8308196441310609
SmallBatch with FineTune,A,1,0.888235294117647,0.8885836452892878
SmallBatch with FineTune,A,2,0.9529411764705882,0.9529102070032016
SmallBatch with FineTune,A,3,0.9647058823529412,0.9647420938279552
SmallBatch with FineTune,A,4,0.976470588235294,0.976529867761058
SmallBatch with FineTune,A,5,0.9529411764705882,0.952735086690735
SmallBatch with FineTune,A,6,0.9529411764705882,0.9533999110637388
SmallBatch with FineTune,A,7,0.9705882352941176,0.9706403747089352
SmallBatch with FineTune,A,8,0.9647058823529412,0.9647420938279552
SmallBatch with FineTune,A,9,0.9352941176470588,0.9350399153500426
SmallBatch with FineTune,A,10,0.9588235294117649,0.9591868747083164
MixedPrecision,A,1,0.6352941176470588,0.5309719385825581
MixedPrecision,A,2,0.6352941176470588,0.5272031850050264
MixedPrecision,A,3,0.6588235294117647,0.5473733112631446
MixedPrecision,A,4,0.6588235294117647,0.5763936504928189
MixedPrecision,A,5,0.8235294117647058,0.8202885891198585
MixedPrecision,A,6,0.8058823529411765,0.7831859598593879
MixedPrecision,A,7,0.6764705882352942,0.5861829250064543
MixedPrecision,A,8,0.7352941176470589,0.6837843744308869
MixedPrecision,A,9,0.7058823529411765,0.6345382980778518
MixedPrecision,A,10,0.7470588235294118,0.6994233661270287
MixedPrecision with FineTune,A,1,0.9058823529411764,0.9047779986577078
MixedPrecision with FineTune,A,2,0.9117647058823528,0.91047380047433
MixedPrecision with FineTune,A,3,0.7823529411764706,0.7612861858817627
MixedPrecision with FineTune,A,4,0.9294117647058824,0.9301609678437708
MixedPrecision with FineTune,A,5,0.8764705882352941,0.8728773883262633
MixedPrecision with FineTune,A,6,0.976470588235294,0.976529867761058
MixedPrecision with FineTune,A,7,0.9705882352941176,0.9706403747089352
MixedPrecision with FineTune,A,8,0.9705882352941176,0.9706403747089352
MixedPrecision with FineTune,A,9,0.9647058823529412,0.9650609824401802
ReduceComplexity,A,1,0.7176470588235294,0.7164627557092432
ReduceComplexity,A,2,0.6176470588235294,0.5008664642327519
ReduceComplexity,A,3,0.5823529411764706,0.4608949220713926
ReduceComplexity,A,4,0.6705882352941176,0.5700520005299416
ReduceComplexity,A,5,0.7176470588235294,0.6837565271226895
ReduceComplexity,A,6,0.888235294117647,0.8850648967426901
ReduceComplexity,A,7,0.8588235294117647,0.8517722473604826
ReduceComplexity,A,8,0.8823529411764706,0.8796921155739617
ReduceComplexity,A,9,0.888235294117647,0.8855894275458797
ReduceComplexity,A,10,0.8647058823529412,0.8608530717077502
ReduceComplexity with FineTune,A,1,0.9117647058823528,0.9107647770383382
ReduceComplexity with FineTune,A,2,0.8705882352941177,0.866085351787774
ReduceComplexity with FineTune,A,3,0.7058823529411765,0.6786029411764707
ReduceComplexity with FineTune,A,4,0.9411764705882352,0.9410436099610862
ReduceComplexity with FineTune,A,5,0.9117647058823528,0.912107259239487
ReduceComplexity with FineTune,A,6,0.8647058823529412,0.8581576979661997
ReduceComplexity with FineTune,A,7,0.8529411764705882,0.8521238319245527
ReduceComplexity with FineTune,A,8,0.923529411764706,0.9242936025605074
ReduceComplexity with FineTune,A,9,0.9294117647058824,0.9290412103262532
ReduceComplexity with FineTune,A,10,0.9470588235294116,0.9468621552984942
