Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.4705882352941176,0.3690250224696308
Baseline,B,2,0.6235294117647059,0.5495754924216555
Baseline,B,3,0.6705882352941176,0.5848991043955846
Baseline,B,4,0.6588235294117647,0.5770399260182542
Baseline,B,5,0.6647058823529411,0.5749466361778263
Baseline,B,6,0.6588235294117647,0.5538497727281656
Baseline,B,7,0.6529411764705882,0.5502565439153906
Baseline,B,8,0.8941176470588236,0.8928239290097184
Baseline,B,9,0.7823529411764706,0.7617811447424387
Baseline,B,10,0.7,0.6341269841269841
Baseline with FineTune,B,1,0.9705882352941176,0.9706403747089352
Baseline with FineTune,B,2,0.9176470588235294,0.9167953487867578
Baseline with FineTune,B,3,0.8941176470588236,0.8919862844286078
Baseline with FineTune,B,4,0.888235294117647,0.8862132847520153
Baseline with FineTune,B,5,0.9529411764705882,0.9529102070032016
Baseline with FineTune,B,6,0.9470588235294116,0.9469720715427896
Baseline with FineTune,B,7,0.9470588235294116,0.947032669451806
Baseline with FineTune,B,8,0.9470588235294116,0.9469720715427896
Baseline with FineTune,B,9,0.976470588235294,0.976529867761058
Baseline with FineTune,B,10,0.9411764705882352,0.940789642093326
SmallBatch,B,1,0.4,0.2378553802803137
SmallBatch,B,2,0.4352941176470588,0.3069406710052442
SmallBatch,B,3,0.7294117647058823,0.6942372400580056
SmallBatch,B,4,0.6588235294117647,0.5707040321580968
SmallBatch,B,5,0.9117647058823528,0.9114070606834396
SmallBatch,B,6,0.9470588235294116,0.9472638274777312
SmallBatch,B,7,0.6529411764705882,0.5563398329013817
SmallBatch,B,8,0.6764705882352942,0.5857900413896903
SmallBatch,B,9,0.8588235294117647,0.852057186510968
SmallBatch,B,10,0.9529411764705882,0.952543151770886
SmallBatch with FineTune,B,1,0.976470588235294,0.976529867761058
SmallBatch with FineTune,B,2,0.6764705882352942,0.597380020895981
SmallBatch with FineTune,B,3,0.7823529411764706,0.7612861858817627
SmallBatch with FineTune,B,4,0.7941176470588235,0.7754791987422306
SmallBatch with FineTune,B,5,0.7294117647058823,0.686496588926165
SmallBatch with FineTune,B,6,0.9411764705882352,0.940789642093326
SmallBatch with FineTune,B,7,0.9705882352941176,0.9705189610588676
SmallBatch with FineTune,B,8,0.8470588235294118,0.8375658899923606
SmallBatch with FineTune,B,9,0.9176470588235294,0.9163094072456128
SmallBatch with FineTune,B,10,0.7470588235294118,0.7104825276858383
MixedPrecision,B,1,0.6647058823529411,0.580283538002489
MixedPrecision,B,2,0.4411764705882353,0.3182769176996543
MixedPrecision,B,3,0.5352941176470588,0.4589931736014814
MixedPrecision,B,4,0.6352941176470588,0.5446475783549528
MixedPrecision,B,5,0.611764705882353,0.582982958043253
MixedPrecision,B,6,0.6529411764705882,0.5502565439153906
MixedPrecision,B,7,0.6529411764705882,0.5364979638829072
MixedPrecision,B,8,0.6764705882352942,0.5940946466563165
MixedPrecision,B,9,0.6470588235294118,0.5378194419445919
MixedPrecision,B,10,0.6529411764705882,0.5549584915635946
MixedPrecision with FineTune,B,1,0.9117647058823528,0.9118523821280808
MixedPrecision with FineTune,B,2,0.7058823529411765,0.6490246605499683
MixedPrecision with FineTune,B,3,0.8117647058823529,0.7984874638076066
MixedPrecision with FineTune,B,4,0.8,0.7839154528822915
MixedPrecision with FineTune,B,5,0.9352941176470588,0.934769555060352
MixedPrecision with FineTune,B,6,0.8411764705882353,0.8333748937555668
MixedPrecision with FineTune,B,7,0.9588235294117649,0.9588327893039964
MixedPrecision with FineTune,B,8,0.9470588235294116,0.9465424412059606
MixedPrecision with FineTune,B,9,0.9705882352941176,0.9706403747089352
ReduceComplexity,B,1,0.7941176470588235,0.7803039372337951
ReduceComplexity,B,2,0.6058823529411764,0.5314132730015083
ReduceComplexity,B,3,0.7941176470588235,0.7755125604618505
ReduceComplexity,B,4,0.6705882352941176,0.5694634640712929
ReduceComplexity,B,5,0.5705882352941176,0.4516872792465903
ReduceComplexity,B,6,0.7294117647058823,0.6908564039276053
ReduceComplexity,B,7,0.6941176470588235,0.6229784443792319
ReduceComplexity,B,8,0.7823529411764706,0.7577826796220734
ReduceComplexity,B,9,0.7705882352941177,0.7428501169691792
ReduceComplexity,B,10,0.7411764705882353,0.7003501292854649
ReduceComplexity with FineTune,B,1,0.7470588235294118,0.7111542935758374
ReduceComplexity with FineTune,B,2,0.9705882352941176,0.9706403747089352
ReduceComplexity with FineTune,B,3,0.9,0.8972881690418799
ReduceComplexity with FineTune,B,4,0.7176470588235294,0.6671671335200747
ReduceComplexity with FineTune,B,5,0.9529411764705882,0.9527660910677068
ReduceComplexity with FineTune,B,6,0.9352941176470588,0.934769555060352
ReduceComplexity with FineTune,B,7,0.923529411764706,0.9222509178666604
ReduceComplexity with FineTune,B,8,0.8705882352941177,0.8664437969691047
ReduceComplexity with FineTune,B,9,0.9352941176470588,0.9350399153500426
ReduceComplexity with FineTune,B,10,0.9588235294117649,0.9587191520910648
