Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.5955882352941176,0.8117647058823529
Baseline,2,0.8352941176470589,0.6235294117647059
Baseline,3,0.8955882352941177,0.8588235294117647
Baseline,4,0.9352941176470588,0.9588235294117647
Baseline,5,0.9588235294117647,0.9411764705882353
Baseline,6,0.9779411764705882,0.9647058823529412
Baseline,7,0.9985294117647059,0.9882352941176471
Baseline,8,0.9926470588235294,0.9529411764705882
Baseline,9,0.9764705882352941,0.9823529411764705
Baseline,10,0.9941176470588236,0.9882352941176471
Baseline,11,0.9985294117647059,0.9941176470588236
SmallBatch,1,0.5558823529411765,0.8294117647058824
SmallBatch,2,0.9088235294117647,0.9705882352941176
SmallBatch,3,0.9367647058823529,0.9117647058823529
SmallBatch,4,0.9470588235294117,0.9823529411764705
SmallBatch,5,0.9897058823529412,0.9705882352941176
SmallBatch,6,0.9985294117647059,0.9823529411764705
SmallBatch,7,0.9985294117647059,0.9823529411764705
SmallBatch,8,0.9970588235294118,0.9588235294117647
SmallBatch,9,0.9764705882352941,0.9705882352941176
SmallBatch,10,0.9779411764705882,0.9941176470588236
MixedPrecision,1,0.5691176470588235,0.6941176470588235
MixedPrecision,2,0.8985294117647059,0.9294117647058824
MixedPrecision,3,0.9294117647058824,0.9529411764705882
MixedPrecision,4,0.9808823529411764,0.9882352941176471
MixedPrecision,5,0.9911764705882353,0.9823529411764705
MixedPrecision,6,0.9911764705882353,0.9764705882352941
MixedPrecision,7,0.9911764705882353,0.9882352941176471
MixedPrecision,8,0.986764705882353,0.9764705882352941
MixedPrecision,9,0.9926470588235294,0.9588235294117647
MixedPrecision,10,0.9588235294117647,0.9705882352941176
MixedPrecision,11,0.9691176470588235,0.9647058823529412
MixedPrecision,12,0.9955882352941177,0.9882352941176471
MixedPrecision,13,0.9985294117647059,0.9823529411764705
MixedPrecision,14,0.9985294117647059,0.9882352941176471
MixedPrecision,15,1.0,0.9882352941176471
ReduceComplexity,1,0.5602941176470588,0.7588235294117647
ReduceComplexity,2,0.9029411764705882,0.9058823529411765
ReduceComplexity,3,0.9397058823529412,0.9588235294117647
ReduceComplexity,4,0.9735294117647059,0.9823529411764705
ReduceComplexity,5,0.9808823529411764,0.9823529411764705
ReduceComplexity,6,0.9794117647058823,0.9705882352941176
ReduceComplexity,7,0.9941176470588236,0.9882352941176471
ReduceComplexity,8,0.9941176470588236,0.9823529411764705
ReduceComplexity,9,0.9941176470588236,0.9764705882352941
ReduceComplexity,10,0.9955882352941177,0.9882352941176471
ReduceComplexity,11,0.9882352941176471,0.9823529411764705
ReduceComplexity,12,0.9455882352941176,0.9882352941176471
ReduceComplexity,13,0.9382352941176471,0.9823529411764705
ReduceComplexity,14,0.9955882352941177,0.9588235294117647
ReduceComplexity,15,0.9970588235294118,0.9882352941176471
