Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.3058823529411765,0.205392635369585
Baseline,A,2,0.6588235294117647,0.5833481961671371
Baseline,A,3,0.6705882352941176,0.577565537084399
Baseline,A,4,0.8117647058823529,0.8073983722255669
Baseline,A,5,0.8588235294117647,0.8529719394522678
Baseline,A,6,0.8117647058823529,0.8079742956005932
Baseline,A,7,0.8470588235294118,0.8428151007238338
Baseline,A,8,0.923529411764706,0.9249439264960712
Baseline,A,9,0.9294117647058824,0.9293258007795062
Baseline,A,10,0.9411764705882352,0.9419344719191828
Baseline with FineTune,A,1,0.8588235294117647,0.8534061567381871
Baseline with FineTune,A,2,0.8764705882352941,0.8728556294621203
Baseline with FineTune,A,3,0.9823529411764704,0.9824127933540876
SmallBatch,A,1,0.4529411764705882,0.34437439858989
SmallBatch,A,2,0.6470588235294118,0.5531879072872673
SmallBatch,A,3,0.5823529411764706,0.4609220985691574
SmallBatch,A,4,0.8411764705882353,0.8352856834685236
SmallBatch,A,5,0.8352941176470589,0.8265575064761185
SmallBatch,A,6,0.8294117647058824,0.8309364137910633
SmallBatch,A,7,0.8823529411764706,0.8793665263089552
SmallBatch,A,8,0.9647058823529412,0.9649067134339904
SmallBatch,A,9,0.9529411764705882,0.9530979578764356
SmallBatch,A,10,0.9647058823529412,0.9649067134339904
SmallBatch with FineTune,A,1,0.6882352941176471,0.6168324682814302
SmallBatch with FineTune,A,2,0.976470588235294,0.976529867761058
SmallBatch with FineTune,A,3,0.9823529411764704,0.9824487731826844
SmallBatch with FineTune,A,4,0.9117647058823528,0.91047380047433
SmallBatch with FineTune,A,5,0.8588235294117647,0.8579070524377455
SmallBatch with FineTune,A,6,0.9294117647058824,0.9285643452783412
SmallBatch with FineTune,A,7,0.8588235294117647,0.8576744525514033
SmallBatch with FineTune,A,8,0.8941176470588236,0.8914084812356763
SmallBatch with FineTune,A,9,0.976470588235294,0.976529867761058
MixedPrecision,A,1,0.3529411764705882,0.2348473841149363
MixedPrecision,A,2,0.6647058823529411,0.5823487543739003
MixedPrecision,A,3,0.7411764705882353,0.7292270454267247
MixedPrecision,A,4,0.8058823529411765,0.7906496008420143
MixedPrecision,A,5,0.9,0.9011627301280706
MixedPrecision,A,6,0.9411764705882352,0.941016083299905
MixedPrecision,A,7,0.9058823529411764,0.9070819740981672
MixedPrecision,A,8,0.9294117647058824,0.9287267297203212
MixedPrecision,A,9,0.9882352941176472,0.9882774125984332
MixedPrecision,A,10,0.9823529411764704,0.9824127933540876
MixedPrecision with FineTune,A,1,0.9470588235294116,0.94654537825221
MixedPrecision with FineTune,A,2,0.7823529411764706,0.7584122017403622
MixedPrecision with FineTune,A,3,0.8529411764705882,0.8433449668527204
MixedPrecision with FineTune,A,4,0.9117647058823528,0.912957409122102
MixedPrecision with FineTune,A,5,0.976470588235294,0.976529867761058
MixedPrecision with FineTune,A,6,0.9823529411764704,0.9823932818563532
MixedPrecision with FineTune,A,7,0.976470588235294,0.9765775401069516
MixedPrecision with FineTune,A,8,0.976470588235294,0.9765227835030882
MixedPrecision with FineTune,A,9,0.976470588235294,0.9765227835030882
MixedPrecision with FineTune,A,10,0.976470588235294,0.9765227835030882
ReduceComplexity,A,1,0.4647058823529412,0.4584774807859493
ReduceComplexity,A,2,0.6705882352941176,0.583398346075831
ReduceComplexity,A,3,0.6,0.5645078026836601
ReduceComplexity,A,4,0.9117647058823528,0.9126333233236572
ReduceComplexity,A,5,0.8,0.7785053976230445
ReduceComplexity,A,6,0.9294117647058824,0.9297425241688834
ReduceComplexity,A,7,0.8647058823529412,0.8617139855308008
ReduceComplexity,A,8,0.976470588235294,0.9765227835030882
ReduceComplexity,A,9,0.9294117647058824,0.9290412103262532
ReduceComplexity,A,10,0.9705882352941176,0.9706403747089352
ReduceComplexity with FineTune,A,1,0.8647058823529412,0.8577447645724957
ReduceComplexity with FineTune,A,2,0.9882352941176472,0.9882774125984332
ReduceComplexity with FineTune,A,3,0.9352941176470588,0.9360102143182856
ReduceComplexity with FineTune,A,4,0.9,0.8981140987688973
ReduceComplexity with FineTune,A,5,0.923529411764706,0.923903743315508
ReduceComplexity with FineTune,A,6,0.9529411764705882,0.9526689766148572
ReduceComplexity with FineTune,A,7,0.9882352941176472,0.9882774125984332
