Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.4294117647058823,0.2954820230002992
Baseline,B,2,0.8117647058823529,0.8034190527560631
Baseline,B,3,0.888235294117647,0.8874409250879839
Baseline,B,4,0.8705882352941177,0.867586953809864
Baseline,B,5,0.9058823529411764,0.905496115427303
Baseline,B,6,0.9529411764705882,0.9527085073380266
Baseline,B,7,0.9470588235294116,0.946772870629688
Baseline,B,8,0.711764705882353,0.6586651834257854
Baseline,B,9,0.9176470588235294,0.9184059087884971
Baseline,B,10,0.8470588235294118,0.8401197784088611
Baseline with FineTune,B,1,0.6529411764705882,0.5410532603250341
Baseline with FineTune,B,2,0.9647058823529412,0.9647420938279552
Baseline with FineTune,B,3,0.9823529411764704,0.9824127933540876
Baseline with FineTune,B,4,0.9470588235294116,0.9468131702809
Baseline with FineTune,B,5,0.9411764705882352,0.9407096460875372
Baseline with FineTune,B,6,0.9588235294117649,0.9588581314878892
SmallBatch,B,1,0.4176470588235294,0.2710192697768763
SmallBatch,B,2,0.5529411764705883,0.4810100510792551
SmallBatch,B,3,0.9529411764705882,0.952735086690735
SmallBatch,B,4,0.888235294117647,0.8885219814109254
SmallBatch,B,5,0.7647058823529411,0.738526149032187
SmallBatch,B,6,0.9529411764705882,0.9529517844063344
SmallBatch,B,7,0.8647058823529412,0.8611155262864159
SmallBatch,B,8,0.9647058823529412,0.965046288051846
SmallBatch,B,9,0.9058823529411764,0.9039550785511006
SmallBatch,B,10,0.9529411764705882,0.953431501777819
SmallBatch with FineTune,B,1,0.6941176470588235,0.6054654104065869
SmallBatch with FineTune,B,2,0.9176470588235294,0.9184059087884971
SmallBatch with FineTune,B,3,0.9058823529411764,0.903451665206104
SmallBatch with FineTune,B,4,0.9823529411764704,0.982384494027496
MixedPrecision,B,1,0.4294117647058823,0.2945133014186722
MixedPrecision,B,2,0.5294117647058824,0.513467674846276
MixedPrecision,B,3,0.7058823529411765,0.6906156883513369
MixedPrecision,B,4,0.7941176470588235,0.7801445613210319
MixedPrecision,B,5,0.8470588235294118,0.8430885249087248
MixedPrecision,B,6,0.8764705882352941,0.873384973439693
MixedPrecision,B,7,0.7235294117647059,0.6821658099247042
MixedPrecision,B,8,0.9647058823529412,0.9646517616599282
MixedPrecision,B,9,0.9058823529411764,0.9048005553404423
MixedPrecision,B,10,0.9529411764705882,0.952735086690735
MixedPrecision with FineTune,B,1,0.923529411764706,0.9232096730042944
MixedPrecision with FineTune,B,2,0.8764705882352941,0.8775466130590623
MixedPrecision with FineTune,B,3,0.8411764705882353,0.8278720364525979
MixedPrecision with FineTune,B,4,0.9294117647058824,0.928875570795986
MixedPrecision with FineTune,B,5,0.9705882352941176,0.9706414252623752
MixedPrecision with FineTune,B,6,0.9411764705882352,0.940789642093326
MixedPrecision with FineTune,B,7,0.976470588235294,0.976529867761058
ReduceComplexity,B,1,0.7823529411764706,0.7686953141172734
ReduceComplexity,B,2,0.7588235294117647,0.7380969633745411
ReduceComplexity,B,3,0.8352941176470589,0.8296358543417368
ReduceComplexity,B,4,0.8,0.7881881280103449
ReduceComplexity,B,5,0.9352941176470588,0.9350399153500426
ReduceComplexity,B,6,0.9705882352941176,0.9706036971913284
ReduceComplexity,B,7,0.9470588235294116,0.9469720715427896
ReduceComplexity,B,8,0.9647058823529412,0.964765418766038
ReduceComplexity,B,9,0.8823529411764706,0.8792582718161783
ReduceComplexity,B,10,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,B,1,0.8588235294117647,0.8534061567381871
ReduceComplexity with FineTune,B,2,0.6764705882352942,0.5863624741116075
ReduceComplexity with FineTune,B,3,0.9588235294117649,0.9586631082728342
ReduceComplexity with FineTune,B,4,0.888235294117647,0.884400994508503
ReduceComplexity with FineTune,B,5,0.9647058823529412,0.9647539407920032
ReduceComplexity with FineTune,B,6,0.9705882352941176,0.9706403747089352
ReduceComplexity with FineTune,B,7,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,B,8,0.9470588235294116,0.9470823093344916
ReduceComplexity with FineTune,B,9,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,B,10,0.9705882352941176,0.9706403747089352
