Method,Client,Epoch,Accuracy,F1 Score
Baseline with FineTune,A,1,0.8058823529411765,0.7863930981578041
Baseline with FineTune,A,2,0.9294117647058824,0.9285019206145966
Baseline with FineTune,A,3,0.9647058823529412,0.9646898427128212
SmallBatch with FineTune,A,1,0.9823529411764704,0.9824487731826844
SmallBatch with FineTune,A,2,0.9529411764705882,0.952735086690735
MixedPrecision with FineTune,A,1,0.923529411764706,0.9240261437908496
MixedPrecision with FineTune,A,2,0.976470588235294,0.9765665177141636
MixedPrecision with FineTune,A,3,0.9,0.8993526944843403
MixedPrecision with FineTune,A,4,0.8352941176470589,0.8219129123221194
MixedPrecision with FineTune,A,5,0.9588235294117649,0.9588581314878892
MixedPrecision with FineTune,A,6,0.8823529411764706,0.8762529527940208
MixedPrecision with FineTune,A,7,0.9882352941176472,0.9882774125984332
ReduceComplexity with FineTune,A,1,0.7941176470588235,0.7764799473179684
ReduceComplexity with FineTune,A,2,0.8823529411764706,0.8780340557275542
ReduceComplexity with FineTune,A,3,0.976470588235294,0.9766303908316868
ReduceComplexity with FineTune,A,4,0.8235294117647058,0.8195245383472934
ReduceComplexity with FineTune,A,5,0.8176470588235294,0.8008491516744988
ReduceComplexity with FineTune,A,6,0.9294117647058824,0.9285019206145966
ReduceComplexity with FineTune,A,7,0.8470588235294118,0.8401197784088611
ReduceComplexity with FineTune,A,8,0.5941176470588235,0.471804063000651
ReduceComplexity with FineTune,A,9,0.7941176470588235,0.7743565377469447
ReduceComplexity with FineTune,A,10,0.9705882352941176,0.9705279034690798
