Method,Client,Epoch,Accuracy,F1 Score
Baseline with FineTune,B,1,0.923529411764706,0.9228813971912774
Baseline with FineTune,B,2,0.8176470588235294,0.8031128988439659
Baseline with FineTune,B,3,0.8470588235294118,0.8396855165870576
Baseline with FineTune,B,4,0.9294117647058824,0.9288473122550202
Baseline with FineTune,B,5,0.9058823529411764,0.9054045642280936
Baseline with FineTune,B,6,0.9411764705882352,0.941385118149824
Baseline with FineTune,B,7,0.9117647058823528,0.91047380047433
Baseline with FineTune,B,8,0.9823529411764704,0.9824127933540876
SmallBatch with FineTune,B,1,0.9058823529411764,0.9069322434681067
SmallBatch with FineTune,B,2,0.976470588235294,0.976529867761058
MixedPrecision with FineTune,B,1,0.8352941176470589,0.8252170868347339
MixedPrecision with FineTune,B,2,0.8823529411764706,0.8797498402773407
MixedPrecision with FineTune,B,3,0.9647058823529412,0.9649067134339904
MixedPrecision with FineTune,B,4,0.8588235294117647,0.8546545303984749
MixedPrecision with FineTune,B,5,0.9647058823529412,0.9646698219517692
ReduceComplexity with FineTune,B,1,0.9588235294117649,0.9588327893039964
ReduceComplexity with FineTune,B,2,0.976470588235294,0.976529867761058
ReduceComplexity with FineTune,B,3,0.8647058823529412,0.8604889898714405
ReduceComplexity with FineTune,B,4,0.8470588235294118,0.8453281446475701
ReduceComplexity with FineTune,B,5,0.9529411764705882,0.9529102070032016
