Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.42314814814814816,0.4074074074074074
Baseline,2,0.549074074074074,0.5481481481481482
Baseline,3,0.6,0.5851851851851851
Baseline,4,0.6138888888888889,0.6
Baseline,5,0.6342592592592593,0.6370370370370371
Baseline,6,0.662962962962963,0.6481481481481481
Baseline,7,0.6925925925925925,0.6962962962962963
Baseline,8,0.7064814814814815,0.7111111111111111
Baseline,9,0.7240740740740741,0.7333333333333333
Baseline,10,0.7490740740740741,0.7518518518518519
Baseline,11,0.7731481481481481,0.7666666666666667
Baseline,12,0.7953703703703704,0.774074074074074
Baseline,13,0.812962962962963,0.8074074074074075
Baseline,14,0.8175925925925925,0.8074074074074075
Baseline,15,0.825,0.8111111111111111
SmallBatch,1,0.5138888888888888,0.5259259259259259
SmallBatch,2,0.6287037037037037,0.6222222222222222
SmallBatch,3,0.6833333333333333,0.674074074074074
SmallBatch,4,0.7388888888888889,0.7148148148148148
SmallBatch,5,0.8740740740740741,0.8296296296296296
SmallBatch,6,0.9009259259259259,0.8777777777777778
SmallBatch,7,0.9101851851851852,0.8740740740740741
SmallBatch,8,0.9046296296296297,0.8851851851851852
SmallBatch,9,0.9074074074074074,0.8888888888888888
SmallBatch,10,0.9287037037037037,0.8851851851851852
SmallBatch,11,0.9351851851851852,0.8925925925925926
SmallBatch,12,0.9314814814814815,0.9222222222222223
MixedPrecision,1,0.12222222222222222,0.10740740740740741
MixedPrecision,2,0.2574074074074074,0.24814814814814815
MixedPrecision,3,0.35833333333333334,0.35185185185185186
MixedPrecision,4,0.46944444444444444,0.4444444444444444
MixedPrecision,5,0.5972222222222222,0.6259259259259259
MixedPrecision,6,0.7388888888888889,0.7481481481481481
MixedPrecision,7,0.7490740740740741,0.7592592592592593
MixedPrecision,8,0.7611111111111111,0.7518518518518519
MixedPrecision,9,0.7694444444444445,0.7555555555555555
MixedPrecision,10,0.7768518518518519,0.7666666666666667
MixedPrecision,11,0.7824074074074074,0.7703703703703704
MixedPrecision,12,0.7907407407407407,0.7814814814814814
MixedPrecision,13,0.8037037037037037,0.7925925925925926
MixedPrecision,14,0.8157407407407408,0.7962962962962963
MixedPrecision,15,0.8351851851851851,0.8111111111111111
ReduceComplexity,1,0.1259259259259259,0.14074074074074075
ReduceComplexity,2,0.14074074074074075,0.15925925925925927
ReduceComplexity,3,0.14907407407407408,0.14074074074074075
ReduceComplexity,4,0.1537037037037037,0.14444444444444443
ReduceComplexity,5,0.15833333333333333,0.16666666666666666
ReduceComplexity,6,0.16018518518518518,0.16296296296296298
ReduceComplexity,7,0.17962962962962964,0.16666666666666666
ReduceComplexity,8,0.2064814814814815,0.1925925925925926
ReduceComplexity,9,0.2212962962962963,0.2222222222222222
ReduceComplexity,10,0.2490740740740741,0.23333333333333334
ReduceComplexity,11,0.287962962962963,0.26296296296296295
ReduceComplexity,12,0.30925925925925923,0.3037037037037037
ReduceComplexity,13,0.3287037037037037,0.3333333333333333
ReduceComplexity,14,0.3314814814814815,0.34074074074074073
ReduceComplexity,15,0.3314814814814815,0.34814814814814815
