Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.37777777777777777,7.085961659749349
Baseline,2,0.5037037037037037,4.956368605295817
Baseline,3,0.5074074074074074,3.7184911568959556
Baseline,4,0.5259259259259259,2.8374812602996826
Baseline,5,0.5370370370370371,2.172878305117289
SmallBatch,1,0.5592592592592592,3.6757916609446206
SmallBatch,2,0.6222222222222222,1.7559956709543865
SmallBatch,3,0.7592592592592593,1.189479152361552
SmallBatch,4,0.8074074074074075,1.0350602666536968
SmallBatch,5,0.8333333333333334,1.0124939481417339
MixedPrecision,1,0.06666666666666667,15.197662353515625
MixedPrecision,2,0.06666666666666667,14.259376207987467
MixedPrecision,3,0.07037037037037037,13.13410727183024
MixedPrecision,4,0.07037037037037037,12.270267804463705
MixedPrecision,5,0.07407407407407407,11.47628402709961
ReduceComplexity,1,0.03333333333333333,12.472508112589518
ReduceComplexity,2,0.07037037037037037,9.338655948638916
ReduceComplexity,3,0.1111111111111111,7.520333766937256
ReduceComplexity,4,0.15555555555555556,6.279671986897786
ReduceComplexity,5,0.21851851851851853,5.357760429382324
