Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.9518518518518518,0.9507316462975396
Baseline,A,2,0.9444444444444444,0.9454060105365288
Baseline,A,3,0.9592592592592591,0.9593499630279196
Baseline,A,4,0.9629629629629628,0.9630610893152222
Baseline,A,5,0.9629629629629628,0.9630610893152222
Baseline,A,6,0.9592592592592591,0.9600006604653196
Baseline,A,7,0.9629629629629628,0.9630610893152222
Baseline,A,8,0.9629629629629628,0.9630610893152222
Baseline,A,9,0.9555555555555556,0.9552764054781312
Baseline,A,10,0.9592592592592591,0.9591562439632328
Baseline with FineTune,A,1,0.9592592592592591,0.958885604306404
Baseline with FineTune,A,2,0.9629629629629628,0.9636783732658396
Baseline with FineTune,A,3,0.9629629629629628,0.9625766240737296
Baseline with FineTune,A,4,0.9592592592592591,0.9595377276126302
Baseline with FineTune,A,5,0.9592592592592591,0.9602648601640996
Baseline with FineTune,A,6,0.9629629629629628,0.9622462745004076
Baseline with FineTune,A,7,0.9629629629629628,0.9630610893152222
Baseline with FineTune,A,8,0.9629629629629628,0.9630610893152222
Baseline with FineTune,A,9,0.9629629629629628,0.9630610893152222
Baseline with FineTune,A,10,0.9629629629629628,0.9630610893152222
SmallBatch,A,1,0.9296296296296296,0.9288538153213738
SmallBatch,A,2,0.9518518518518518,0.9545108466060528
SmallBatch,A,3,0.9666666666666668,0.966116436994226
SmallBatch,A,4,0.9592592592592591,0.9590399252940583
SmallBatch,A,5,0.9592592592592591,0.9590399252940583
SmallBatch,A,6,0.9629629629629628,0.962676084249366
SmallBatch,A,7,0.9629629629629628,0.962676084249366
SmallBatch,A,8,0.9629629629629628,0.962676084249366
SmallBatch,A,9,0.9666666666666668,0.9662753245152732
SmallBatch,A,10,0.9629629629629628,0.962517354090636
SmallBatch with FineTune,A,1,0.9555555555555556,0.9548997136538464
SmallBatch with FineTune,A,2,0.9629629629629628,0.9636783732658396
SmallBatch with FineTune,A,3,0.9629629629629628,0.9625553913095242
SmallBatch with FineTune,A,4,0.9629629629629628,0.962676084249366
SmallBatch with FineTune,A,5,0.9629629629629628,0.962676084249366
SmallBatch with FineTune,A,6,0.9592592592592591,0.9590399252940583
SmallBatch with FineTune,A,7,0.9629629629629628,0.962676084249366
SmallBatch with FineTune,A,8,0.9629629629629628,0.9629892166393336
SmallBatch with FineTune,A,9,0.9629629629629628,0.9626694201801425
SmallBatch with FineTune,A,10,0.974074074074074,0.973651146342061
MixedPrecision,A,1,0.8777777777777778,0.8586495161103397
MixedPrecision,A,2,0.9666666666666668,0.9661045675760916
MixedPrecision,A,3,0.9666666666666668,0.9664649693857692
MixedPrecision,A,4,0.9703703703703704,0.9705646968188296
MixedPrecision,A,5,0.9666666666666668,0.9660272147181294
MixedPrecision,A,6,0.9592592592592591,0.9591435349273432
MixedPrecision,A,7,0.9629629629629628,0.9625553913095242
MixedPrecision,A,8,0.9629629629629628,0.962676084249366
MixedPrecision,A,9,0.9629629629629628,0.9630610893152222
MixedPrecision,A,10,0.9629629629629628,0.9630610893152222
MixedPrecision with FineTune,A,1,0.9666666666666668,0.9658262337639852
MixedPrecision with FineTune,A,2,0.9592592592592591,0.959201657441606
MixedPrecision with FineTune,A,3,0.9629629629629628,0.9630610893152222
MixedPrecision with FineTune,A,4,0.9592592592592591,0.9591002814072702
MixedPrecision with FineTune,A,5,0.9555555555555556,0.9557809148473284
MixedPrecision with FineTune,A,6,0.9666666666666668,0.966842029532944
MixedPrecision with FineTune,A,7,0.9629629629629628,0.9636783732658396
MixedPrecision with FineTune,A,8,0.9666666666666668,0.9664649693857692
MixedPrecision with FineTune,A,9,0.9592592592592591,0.959968790667368
MixedPrecision with FineTune,A,10,0.9666666666666668,0.9664649693857692
ReduceComplexity,A,1,0.9629629629629628,0.9621844617454574
ReduceComplexity,A,2,0.9555555555555556,0.9556906462081614
ReduceComplexity,A,3,0.9592592592592591,0.9594569252407332
ReduceComplexity,A,4,0.9592592592592591,0.9594569252407332
ReduceComplexity,A,5,0.9666666666666668,0.9662753245152732
ReduceComplexity,A,6,0.9629629629629628,0.962676084249366
ReduceComplexity,A,7,0.9629629629629628,0.962676084249366
ReduceComplexity,A,8,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,9,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,10,0.9629629629629628,0.9630610893152222
ReduceComplexity with FineTune,A,1,0.9629629629629628,0.962676084249366
ReduceComplexity with FineTune,A,2,0.9555555555555556,0.9568833002341396
ReduceComplexity with FineTune,A,3,0.9666666666666668,0.9664227977978984
ReduceComplexity with FineTune,A,4,0.9629629629629628,0.9625553913095242
ReduceComplexity with FineTune,A,5,0.9629629629629628,0.962676084249366
ReduceComplexity with FineTune,A,6,0.9703703703703704,0.9701427310036472
