Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9518518518518518,0.9520615434367558
Baseline,B,2,0.9518518518518518,0.952476266743614
Baseline,B,3,0.9703703703703704,0.9699463565082388
Baseline,B,4,0.9592592592592591,0.9595913037401737
Baseline,B,5,0.9666666666666668,0.9662190653052036
Baseline,B,6,0.9703703703703704,0.9704377601905654
Baseline,B,7,0.9629629629629628,0.962676084249366
Baseline,B,8,0.9629629629629628,0.962676084249366
Baseline,B,9,0.9629629629629628,0.9630203593203835
Baseline,B,10,0.9629629629629628,0.9630203593203835
Baseline with FineTune,B,1,0.9703703703703704,0.9704377601905654
Baseline with FineTune,B,2,0.9703703703703704,0.9704418440146833
Baseline with FineTune,B,3,0.974074074074074,0.9739685768893768
SmallBatch,B,1,0.9592592592592591,0.9589112576653904
SmallBatch,B,2,0.9666666666666668,0.96629929049354
SmallBatch,B,3,0.9629629629629628,0.962825842852417
SmallBatch,B,4,0.9703703703703704,0.9706321242007432
SmallBatch,B,5,0.9629629629629628,0.9630610893152222
SmallBatch,B,6,0.9703703703703704,0.9708148203377406
SmallBatch,B,7,0.9666666666666668,0.9673636303560288
SmallBatch,B,8,0.9666666666666668,0.9667892866954588
SmallBatch,B,9,0.9666666666666668,0.9668133282809042
SmallBatch,B,10,0.9629629629629628,0.962662984401605
SmallBatch with FineTune,B,1,0.9666666666666668,0.966368767274872
SmallBatch with FineTune,B,2,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,B,3,0.9703703703703704,0.9708148203377406
SmallBatch with FineTune,B,4,0.9703703703703704,0.9708148203377406
SmallBatch with FineTune,B,5,0.974074074074074,0.974537487623626
MixedPrecision,B,1,0.9592592592592591,0.9579043941585272
MixedPrecision,B,2,0.9629629629629628,0.962676084249366
MixedPrecision,B,3,0.9444444444444444,0.943899360318832
MixedPrecision,B,4,0.9666666666666668,0.9662190653052036
MixedPrecision,B,5,0.9703703703703704,0.9704377601905654
MixedPrecision,B,6,0.9666666666666668,0.9669474891559232
MixedPrecision,B,7,0.9629629629629628,0.9627885469543684
MixedPrecision,B,8,0.9666666666666668,0.9668133282809042
MixedPrecision,B,9,0.9666666666666668,0.9668133282809042
MixedPrecision,B,10,0.9666666666666668,0.9673636303560288
MixedPrecision with FineTune,B,1,0.9629629629629628,0.9630610893152222
MixedPrecision with FineTune,B,2,0.9777777777777776,0.9774829968915992
ReduceComplexity,B,1,0.937037037037037,0.9334910961888644
ReduceComplexity,B,2,0.9592592592592591,0.958690193596809
ReduceComplexity,B,3,0.9666666666666668,0.9669888943837884
ReduceComplexity,B,4,0.9666666666666668,0.9663834757410572
ReduceComplexity,B,5,0.9703703703703704,0.9703562665458534
ReduceComplexity,B,6,0.9666666666666668,0.9667277508120744
ReduceComplexity,B,7,0.9703703703703704,0.9702481153200696
ReduceComplexity,B,8,0.9703703703703704,0.9704531818831638
ReduceComplexity,B,9,0.974074074074074,0.97404108428059
ReduceComplexity,B,10,0.9703703703703704,0.9702481153200696
ReduceComplexity with FineTune,B,1,0.9629629629629628,0.962676084249366
ReduceComplexity with FineTune,B,2,0.9629629629629628,0.965386077818566
ReduceComplexity with FineTune,B,3,0.9629629629629628,0.9622462745004076
ReduceComplexity with FineTune,B,4,0.9777777777777776,0.9776425327401944
