Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.9703703703703703,0.29301509488787914
Baseline,2,0.9740740740740741,0.2070005582516185
Baseline,3,0.9740740740740741,0.2172284548740006
Baseline,4,0.9777777777777777,0.1415305472279821
Baseline,5,0.9740740740740741,0.14999908471266585
SmallBatch,1,0.9666666666666667,0.3129468057304621
SmallBatch,2,0.9740740740740741,0.22814187267795205
SmallBatch,3,0.9777777777777777,0.12715892610786897
SmallBatch,4,0.9740740740740741,0.22923479715245776
SmallBatch,5,0.9740740740740741,0.21742406104102782
MixedPrecision,1,0.9740740740740741,0.27816847277184326
MixedPrecision,2,0.9740740740740741,0.2625179659678704
MixedPrecision,3,0.9777777777777777,0.19280951201249585
MixedPrecision,4,0.9777777777777777,0.1541191802017339
MixedPrecision,5,0.9777777777777777,0.209077755017966
ReduceComplexity,1,0.9629629629629629,0.345647974146737
ReduceComplexity,2,0.9703703703703703,0.19780885135858423
ReduceComplexity,3,0.9740740740740741,0.11332572686175506
ReduceComplexity,4,0.9740740740740741,0.16192073197776657
ReduceComplexity,5,0.9740740740740741,0.14113445857300475
