Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.925925925925926,0.916241859389236
Baseline,A,2,0.9592592592592591,0.9589649579620636
Baseline,A,3,0.9629629629629628,0.9630610893152222
Baseline,A,4,0.9629629629629628,0.9630610893152222
Baseline,A,5,0.9592592592592591,0.9589975138045026
Baseline,A,6,0.9592592592592591,0.9600006604653196
Baseline,A,7,0.9555555555555556,0.9568543597097998
Baseline,A,8,0.9629629629629628,0.9630610893152222
Baseline,A,9,0.9592592592592591,0.9579043941585272
Baseline,A,10,0.9629629629629628,0.962517354090636
Baseline with FineTune,A,1,0.9703703703703704,0.9704067158062204
SmallBatch,A,1,0.8925925925925926,0.8741838858452254
SmallBatch,A,2,0.9629629629629628,0.9630610893152222
SmallBatch,A,3,0.9629629629629628,0.962676084249366
SmallBatch,A,4,0.9407407407407408,0.9410887826620644
SmallBatch,A,5,0.9629629629629628,0.962676084249366
SmallBatch,A,6,0.9518518518518518,0.9518186850461002
SmallBatch,A,7,0.9592592592592591,0.9589649579620636
SmallBatch,A,8,0.9592592592592591,0.958690193596809
SmallBatch,A,9,0.9629629629629628,0.962676084249366
SmallBatch,A,10,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,1,0.9666666666666668,0.967651164070636
MixedPrecision,A,1,0.9333333333333332,0.9313267720709316
MixedPrecision,A,2,0.9518518518518518,0.9525203709435678
MixedPrecision,A,3,0.9592592592592591,0.960632885710548
MixedPrecision,A,4,0.9629629629629628,0.9630610893152222
MixedPrecision,A,5,0.9629629629629628,0.962676084249366
MixedPrecision,A,6,0.9629629629629628,0.9630610893152222
MixedPrecision,A,7,0.9629629629629628,0.9630610893152222
MixedPrecision,A,8,0.9629629629629628,0.9630610893152222
MixedPrecision,A,9,0.9629629629629628,0.9630610893152222
MixedPrecision,A,10,0.9629629629629628,0.9630610893152222
MixedPrecision with FineTune,A,1,0.9592592592592591,0.9591096632042864
MixedPrecision with FineTune,A,2,0.9703703703703704,0.9707697720389508
ReduceComplexity,A,1,0.9555555555555556,0.955427407000689
ReduceComplexity,A,2,0.9518518518518518,0.9527787919991328
ReduceComplexity,A,3,0.9629629629629628,0.9626075387854954
ReduceComplexity,A,4,0.9592592592592591,0.9593499630279196
ReduceComplexity,A,5,0.9592592592592591,0.9591562439632328
ReduceComplexity,A,6,0.9555555555555556,0.9552717642454198
ReduceComplexity,A,7,0.9666666666666668,0.9661045675760916
ReduceComplexity,A,8,0.9666666666666668,0.9664649693857692
ReduceComplexity,A,9,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,10,0.9666666666666668,0.9661045675760916
ReduceComplexity with FineTune,A,1,0.9629629629629628,0.9636317925068932
ReduceComplexity with FineTune,A,2,0.9592592592592591,0.9619160485989026
ReduceComplexity with FineTune,A,3,0.9666666666666668,0.9656767207743824
ReduceComplexity with FineTune,A,4,0.974074074074074,0.9739847336400212
