Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.687037037037037,0.9481481481481482
Baseline,2,0.9703703703703703,0.9703703703703703
Baseline,3,0.9796296296296296,0.9777777777777777
Baseline,4,0.9796296296296296,0.9814814814814815
Baseline,5,0.9888888888888889,0.9777777777777777
Baseline,6,0.9935185185185185,0.9777777777777777
Baseline,7,0.9935185185185185,0.9851851851851852
Baseline,8,0.9944444444444445,0.9814814814814815
Baseline,9,0.9962962962962963,0.9851851851851852
Baseline,10,0.9972222222222222,0.9814814814814815
Baseline,11,0.9944444444444445,0.9814814814814815
Baseline,12,0.9990740740740741,0.9777777777777777
Baseline,13,0.9990740740740741,0.9777777777777777
Baseline,14,1.0,0.9777777777777777
Baseline,15,1.0,0.9777777777777777
SmallBatch,1,0.6092592592592593,0.8777777777777778
SmallBatch,2,0.9546296296296296,0.9666666666666667
SmallBatch,3,0.9796296296296296,0.9703703703703703
SmallBatch,4,0.9851851851851852,0.9777777777777777
SmallBatch,5,0.9879629629629629,0.9814814814814815
SmallBatch,6,0.9935185185185185,0.9777777777777777
SmallBatch,7,0.9944444444444445,0.9814814814814815
SmallBatch,8,0.9972222222222222,0.9814814814814815
SmallBatch,9,0.9981481481481481,0.9814814814814815
SmallBatch,10,0.9972222222222222,0.9777777777777777
SmallBatch,11,0.9981481481481481,0.9777777777777777
SmallBatch,12,0.9962962962962963,0.9777777777777777
SmallBatch,13,0.9981481481481481,0.9814814814814815
SmallBatch,14,0.9990740740740741,0.9777777777777777
SmallBatch,15,0.9990740740740741,0.9777777777777777
MixedPrecision,1,0.6703703703703704,0.9185185185185185
MixedPrecision,2,0.9564814814814815,0.9555555555555556
MixedPrecision,3,0.9796296296296296,0.9814814814814815
MixedPrecision,4,0.987037037037037,0.9777777777777777
MixedPrecision,5,0.9898148148148148,0.9814814814814815
MixedPrecision,6,0.9925925925925926,0.9777777777777777
MixedPrecision,7,0.9944444444444445,0.9814814814814815
MixedPrecision,8,0.9962962962962963,0.9814814814814815
MixedPrecision,9,0.9972222222222222,0.9814814814814815
MixedPrecision,10,0.9962962962962963,0.9814814814814815
MixedPrecision,11,0.9981481481481481,0.9814814814814815
MixedPrecision,12,0.9972222222222222,0.9814814814814815
MixedPrecision,13,0.9981481481481481,0.9814814814814815
MixedPrecision,14,1.0,0.9814814814814815
MixedPrecision,15,1.0,0.9777777777777777
ReduceComplexity,1,0.8175925925925925,0.9740740740740741
ReduceComplexity,2,0.9787037037037037,0.9703703703703703
ReduceComplexity,3,0.9833333333333333,0.9851851851851852
ReduceComplexity,4,0.9888888888888889,0.9777777777777777
ReduceComplexity,5,0.9916666666666667,0.9814814814814815
ReduceComplexity,6,0.9944444444444445,0.9814814814814815
ReduceComplexity,7,0.9962962962962963,0.9814814814814815
ReduceComplexity,8,0.9981481481481481,0.9814814814814815
ReduceComplexity,9,0.9972222222222222,0.9851851851851852
ReduceComplexity,10,0.9981481481481481,0.9814814814814815
ReduceComplexity,11,0.9972222222222222,0.9814814814814815
ReduceComplexity,12,0.9981481481481481,0.9814814814814815
ReduceComplexity,13,0.9990740740740741,0.9814814814814815
ReduceComplexity,14,1.0,0.9814814814814815
ReduceComplexity,15,1.0,0.9814814814814815
