Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.7851851851851852,0.7287198302530737
Baseline,A,2,0.8518518518518519,0.8151026808929781
Baseline,A,3,0.8777777777777778,0.8562695465485745
Baseline,A,4,0.8814814814814815,0.8697527157409678
Baseline,A,5,0.9074074074074074,0.899591071678538
Baseline,A,6,0.937037037037037,0.936248856713516
Baseline,A,7,0.9555555555555556,0.9568543597097998
Baseline,A,8,0.9555555555555556,0.9559871396656848
Baseline,A,9,0.9555555555555556,0.955979235846
Baseline,A,10,0.9592592592592591,0.9594569252407332
Baseline with FineTune,A,1,0.9703703703703704,0.9699813534397876
Baseline with FineTune,A,2,0.974074074074074,0.9738247939498946
Baseline with FineTune,A,3,0.9703703703703704,0.9699915572724552
SmallBatch,A,1,0.6222222222222222,0.5052922725292992
SmallBatch,A,2,0.837037037037037,0.8063166174052916
SmallBatch,A,3,0.8925925925925926,0.8652889494288546
SmallBatch,A,4,0.8814814814814815,0.8524684491167008
SmallBatch,A,5,0.8888888888888888,0.8761928990957776
SmallBatch,A,6,0.925925925925926,0.9112159873075962
SmallBatch,A,7,0.9407407407407408,0.9410213482809048
SmallBatch,A,8,0.9666666666666668,0.9661643440851436
SmallBatch,A,9,0.974074074074074,0.9735892114975172
SmallBatch,A,10,0.9666666666666668,0.9661643440851436
SmallBatch with FineTune,A,1,0.974074074074074,0.9740152141981268
SmallBatch with FineTune,A,2,0.9629629629629628,0.9627396326458052
SmallBatch with FineTune,A,3,0.9629629629629628,0.9629892166393336
SmallBatch with FineTune,A,4,0.9666666666666668,0.966842029532944
SmallBatch with FineTune,A,5,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,6,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,7,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,8,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,9,0.9629629629629628,0.9630610893152222
SmallBatch with FineTune,A,10,0.9629629629629628,0.9630610893152222
MixedPrecision,A,1,0.7296296296296296,0.6564840792100508
MixedPrecision,A,2,0.8962962962962963,0.870972356020153
MixedPrecision,A,3,0.8518518518518519,0.8106362810388356
MixedPrecision,A,4,0.8962962962962963,0.8868429666532707
MixedPrecision,A,5,0.9518518518518518,0.9510966554242865
MixedPrecision,A,6,0.9111111111111112,0.9105810066052544
MixedPrecision,A,7,0.937037037037037,0.9374286312637756
MixedPrecision,A,8,0.9222222222222224,0.92309757969485
MixedPrecision,A,9,0.9333333333333332,0.9334479829160016
MixedPrecision,A,10,0.9555555555555556,0.9561799055309652
MixedPrecision with FineTune,A,1,0.9666666666666668,0.96664365807364
MixedPrecision with FineTune,A,2,0.9703703703703704,0.970264800434272
MixedPrecision with FineTune,A,3,0.9666666666666668,0.9665281821143205
ReduceComplexity,A,1,0.7888888888888889,0.7387109630002969
ReduceComplexity,A,2,0.8925925925925926,0.8643563862866628
ReduceComplexity,A,3,0.9222222222222224,0.9060540622198404
ReduceComplexity,A,4,0.925925925925926,0.9098779381489794
ReduceComplexity,A,5,0.9185185185185184,0.9136425275099128
ReduceComplexity,A,6,0.9555555555555556,0.9549618881839156
ReduceComplexity,A,7,0.9629629629629628,0.962676084249366
ReduceComplexity,A,8,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,9,0.9629629629629628,0.962517354090636
ReduceComplexity,A,10,0.9666666666666668,0.9661643440851436
ReduceComplexity with FineTune,A,1,0.9777777777777776,0.9775796152490872
ReduceComplexity with FineTune,A,2,0.9666666666666668,0.9669142977304688
ReduceComplexity with FineTune,A,3,0.9703703703703704,0.9702498105731374
