Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.8185185185185185,0.7854750324368379
Baseline,B,2,0.8962962962962963,0.8736003261879639
Baseline,B,3,0.9407407407407408,0.9348850569391012
Baseline,B,4,0.9148148148148147,0.9033479457907976
Baseline,B,5,0.937037037037037,0.9282976790894464
Baseline,B,6,0.9444444444444444,0.9392411060328734
Baseline,B,7,0.9481481481481482,0.9453895917306812
Baseline,B,8,0.9629629629629628,0.962743628997762
Baseline,B,9,0.9703703703703704,0.970193848599136
Baseline,B,10,0.9703703703703704,0.9701371348899398
Baseline with FineTune,B,1,0.9851851851851852,0.9856214691869984
Baseline with FineTune,B,2,0.9851851851851852,0.9853002975248304
Baseline with FineTune,B,3,0.9666666666666668,0.9670162434357152
Baseline with FineTune,B,4,0.9666666666666668,0.9669372617625306
Baseline with FineTune,B,5,0.9777777777777776,0.9780234896997771
SmallBatch,B,1,0.6407407407407407,0.5460188633906043
SmallBatch,B,2,0.7481481481481481,0.6633645233698998
SmallBatch,B,3,0.925925925925926,0.9077352700132124
SmallBatch,B,4,0.9407407407407408,0.9321487126013064
SmallBatch,B,5,0.9518518518518518,0.9495334923828886
SmallBatch,B,6,0.9555555555555556,0.9542967230834688
SmallBatch,B,7,0.9592592592592591,0.9590399252940583
SmallBatch,B,8,0.9666666666666668,0.9662753245152732
SmallBatch,B,9,0.9666666666666668,0.9666488750541624
SmallBatch,B,10,0.9703703703703704,0.9704418440146833
SmallBatch with FineTune,B,1,0.9703703703703704,0.9704151447293532
SmallBatch with FineTune,B,2,0.9777777777777776,0.9779413676941728
SmallBatch with FineTune,B,3,0.9777777777777776,0.9779413676941728
SmallBatch with FineTune,B,4,0.9703703703703704,0.9700163029540544
SmallBatch with FineTune,B,5,0.9703703703703704,0.9704418440146833
SmallBatch with FineTune,B,6,0.9777777777777776,0.978027373443396
MixedPrecision,B,1,0.6148148148148148,0.4831105046376537
MixedPrecision,B,2,0.8111111111111111,0.7845722168647823
MixedPrecision,B,3,0.8703703703703703,0.8299081094463271
MixedPrecision,B,4,0.937037037037037,0.9291427105471922
MixedPrecision,B,5,0.9444444444444444,0.9359241110671328
MixedPrecision,B,6,0.9592592592592591,0.9567634363509026
MixedPrecision,B,7,0.9629629629629628,0.962676084249366
MixedPrecision,B,8,0.9629629629629628,0.962676084249366
MixedPrecision,B,9,0.9629629629629628,0.962676084249366
MixedPrecision,B,10,0.9703703703703704,0.9704418440146833
MixedPrecision with FineTune,B,1,0.9814814814814816,0.9816953156909524
MixedPrecision with FineTune,B,2,0.974074074074074,0.9742187004082872
ReduceComplexity,B,1,0.8777777777777778,0.8560671880613973
ReduceComplexity,B,2,0.9666666666666668,0.9661082923794032
ReduceComplexity,B,3,0.9666666666666668,0.9661938308705612
ReduceComplexity,B,4,0.9629629629629628,0.962676084249366
ReduceComplexity,B,5,0.9629629629629628,0.962676084249366
ReduceComplexity,B,6,0.9629629629629628,0.962676084249366
ReduceComplexity,B,7,0.9666666666666668,0.9668946240157086
ReduceComplexity,B,8,0.9703703703703704,0.9703134450767602
ReduceComplexity,B,9,0.9666666666666668,0.9666488750541624
ReduceComplexity,B,10,0.9666666666666668,0.9666488750541624
ReduceComplexity with FineTune,B,1,0.9777777777777776,0.9776425327401944
ReduceComplexity with FineTune,B,2,0.9851851851851852,0.9851551348390848
