Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.7,0.6119311191902506
Baseline,A,2,0.8407407407407408,0.7896104644407507
Baseline,A,3,0.8444444444444444,0.7942333967181668
Baseline,A,4,0.8888888888888888,0.8659398073444613
Baseline,A,5,0.9185185185185184,0.9028234894384408
Baseline,A,6,0.9074074074074074,0.890233062754447
Baseline,A,7,0.9481481481481482,0.9476319118215172
Baseline,A,8,0.9629629629629628,0.962676084249366
Baseline,A,9,0.9629629629629628,0.9630610893152222
Baseline,A,10,0.9592592592592591,0.9589017530913584
Baseline with FineTune,A,1,0.9666666666666668,0.9662210577943396
SmallBatch,A,1,0.7592592592592593,0.692278137683289
SmallBatch,A,2,0.8666666666666667,0.8341006370592458
SmallBatch,A,3,0.8962962962962963,0.871977081496633
SmallBatch,A,4,0.9074074074074074,0.8898591376400742
SmallBatch,A,5,0.925925925925926,0.9100588987188288
SmallBatch,A,6,0.9518518518518518,0.950954908063968
SmallBatch,A,7,0.9592592592592591,0.9595913037401737
SmallBatch,A,8,0.9555555555555556,0.9559901621789356
SmallBatch,A,9,0.9629629629629628,0.962676084249366
SmallBatch,A,10,0.9629629629629628,0.962747699001832
SmallBatch with FineTune,A,1,0.9666666666666668,0.9664993834131556
MixedPrecision,A,1,0.8,0.7489759875863997
MixedPrecision,A,2,0.837037037037037,0.7892830095860913
MixedPrecision,A,3,0.8629629629629629,0.8336403422791533
MixedPrecision,A,4,0.8666666666666667,0.8484819947579906
MixedPrecision,A,5,0.8703703703703703,0.8634111138553634
MixedPrecision,A,6,0.9074074074074074,0.9062777545787674
MixedPrecision,A,7,0.9296296296296296,0.9308549701525812
MixedPrecision,A,8,0.9555555555555556,0.9560097384474464
MixedPrecision,A,9,0.9629629629629628,0.9630610893152222
MixedPrecision,A,10,0.9407407407407408,0.938775375029508
MixedPrecision with FineTune,A,1,0.9666666666666668,0.9660317036624264
ReduceComplexity,A,1,0.8851851851851852,0.8658578062947404
ReduceComplexity,A,2,0.925925925925926,0.909904480370862
ReduceComplexity,A,3,0.925925925925926,0.9105936164351616
ReduceComplexity,A,4,0.9333333333333332,0.9269888750979258
ReduceComplexity,A,5,0.9555555555555556,0.954800560299193
ReduceComplexity,A,6,0.9629629629629628,0.9625257390388644
ReduceComplexity,A,7,0.9592592592592591,0.9600006604653196
ReduceComplexity,A,8,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,9,0.9629629629629628,0.9630610893152222
ReduceComplexity,A,10,0.9629629629629628,0.9630610893152222
ReduceComplexity with FineTune,A,1,0.974074074074074,0.9739847336400212
