Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.8407407407407408,0.8039350370817441
Baseline,B,2,0.8740740740740741,0.83657942963676
Baseline,B,3,0.9444444444444444,0.9331003446988638
Baseline,B,4,0.9407407407407408,0.930087937229946
Baseline,B,5,0.9518518518518518,0.9505425707967036
Baseline,B,6,0.9592592592592591,0.9592631095172424
Baseline,B,7,0.9592592592592591,0.9592631095172424
Baseline,B,8,0.9592592592592591,0.958977395231528
Baseline,B,9,0.9703703703703704,0.9703154569917444
Baseline,B,10,0.9703703703703704,0.9703154569917444
Baseline with FineTune,B,1,0.974074074074074,0.9738429969291352
SmallBatch,B,1,0.8074074074074075,0.7560562836928658
SmallBatch,B,2,0.8444444444444444,0.8009081803327639
SmallBatch,B,3,0.8851851851851852,0.8674484610270722
SmallBatch,B,4,0.9407407407407408,0.9354458738648486
SmallBatch,B,5,0.9592592592592591,0.9588177607341888
SmallBatch,B,6,0.9703703703703704,0.970264800434272
SmallBatch,B,7,0.9629629629629628,0.962843940392752
SmallBatch,B,8,0.9629629629629628,0.9630610893152222
SmallBatch,B,9,0.9703703703703704,0.9703562665458534
SmallBatch,B,10,0.9703703703703704,0.9704418440146833
SmallBatch with FineTune,B,1,0.9703703703703704,0.9701371348899398
SmallBatch with FineTune,B,2,0.974074074074074,0.975327524448609
MixedPrecision,B,1,0.7185185185185186,0.6455079402895519
MixedPrecision,B,2,0.8444444444444444,0.8086313186114917
MixedPrecision,B,3,0.9074074074074074,0.8841698809616483
MixedPrecision,B,4,0.9481481481481482,0.9464062429795248
MixedPrecision,B,5,0.9518518518518518,0.9508525685740504
MixedPrecision,B,6,0.9629629629629628,0.9625477705132488
MixedPrecision,B,7,0.9592592592592591,0.9594061320970466
MixedPrecision,B,8,0.9629629629629628,0.9631912358821504
MixedPrecision,B,9,0.9703703703703704,0.9702791777335956
MixedPrecision,B,10,0.9703703703703704,0.9704418440146833
MixedPrecision with FineTune,B,1,0.9666666666666668,0.9673126535170714
MixedPrecision with FineTune,B,2,0.9703703703703704,0.9704159082869928
MixedPrecision with FineTune,B,3,0.9814814814814816,0.9810522469861972
MixedPrecision with FineTune,B,4,0.9777777777777776,0.9780234896997771
MixedPrecision with FineTune,B,5,0.9777777777777776,0.9780234896997771
ReduceComplexity,B,1,0.9296296296296296,0.921007553850613
ReduceComplexity,B,2,0.9333333333333332,0.9333197871022572
ReduceComplexity,B,3,0.9666666666666668,0.9660272147181294
ReduceComplexity,B,4,0.9518518518518518,0.9505663851688386
ReduceComplexity,B,5,0.9629629629629628,0.962676084249366
ReduceComplexity,B,6,0.9666666666666668,0.9664649693857692
ReduceComplexity,B,7,0.9703703703703704,0.9704377601905654
ReduceComplexity,B,8,0.974074074074074,0.9738486846216048
ReduceComplexity,B,9,0.974074074074074,0.9736732421098592
ReduceComplexity,B,10,0.9777777777777776,0.9775861338457544
ReduceComplexity with FineTune,B,1,0.9777777777777776,0.9777777026005416
ReduceComplexity with FineTune,B,2,0.974074074074074,0.9740021612909476
ReduceComplexity with FineTune,B,3,0.9666666666666668,0.966826222385479
ReduceComplexity with FineTune,B,4,0.9703703703703704,0.9708334159310776
ReduceComplexity with FineTune,B,5,0.9703703703703704,0.9708334159310776
ReduceComplexity with FineTune,B,6,0.9703703703703704,0.9708334159310776
ReduceComplexity with FineTune,B,7,0.974074074074074,0.9742680523870778
ReduceComplexity with FineTune,B,8,0.9777777777777776,0.9781088670881076
ReduceComplexity with FineTune,B,9,0.974074074074074,0.9742187004082872
ReduceComplexity with FineTune,B,10,0.974074074074074,0.9741558023569123
