Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.8824074074074074,0.9555555555555556
Baseline,2,0.9722222222222222,0.9777777777777777
Baseline,3,0.987037037037037,0.9814814814814815
Baseline,4,0.9953703703703703,0.9814814814814815
Baseline,5,0.9972222222222222,0.9814814814814815
Baseline,6,0.9935185185185185,0.9814814814814815
Baseline,7,0.9953703703703703,0.9814814814814815
Baseline,8,1.0,0.9814814814814815
Baseline,9,1.0,0.9777777777777777
Baseline,10,1.0,0.9777777777777777
Baseline,11,1.0,0.9777777777777777
Baseline,12,1.0,0.9777777777777777
Baseline,13,1.0,0.9777777777777777
Baseline,14,1.0,0.9777777777777777
Baseline,15,1.0,0.9777777777777777
SmallBatch,1,0.8925925925925926,0.9222222222222223
SmallBatch,2,0.962037037037037,0.9777777777777777
SmallBatch,3,0.9796296296296296,0.9777777777777777
SmallBatch,4,0.9833333333333333,0.9740740740740741
SmallBatch,5,0.9916666666666667,0.9740740740740741
SmallBatch,6,0.9944444444444445,0.9851851851851852
SmallBatch,7,0.9944444444444445,0.9777777777777777
SmallBatch,8,0.9990740740740741,0.9814814814814815
SmallBatch,9,0.9972222222222222,0.9777777777777777
SmallBatch,10,1.0,0.9777777777777777
SmallBatch,11,1.0,0.9777777777777777
SmallBatch,12,1.0,0.9777777777777777
SmallBatch,13,1.0,0.9777777777777777
SmallBatch,14,1.0,0.9777777777777777
SmallBatch,15,1.0,0.9777777777777777
MixedPrecision,1,0.9027777777777778,0.9592592592592593
MixedPrecision,2,0.9768518518518519,0.9740740740740741
MixedPrecision,3,0.9888888888888889,0.9777777777777777
MixedPrecision,4,0.9898148148148148,0.9740740740740741
MixedPrecision,5,0.987037037037037,0.9777777777777777
MixedPrecision,6,0.9925925925925926,0.9777777777777777
MixedPrecision,7,0.9972222222222222,0.9777777777777777
MixedPrecision,8,0.9981481481481481,0.9777777777777777
MixedPrecision,9,1.0,0.9777777777777777
MixedPrecision,10,1.0,0.9777777777777777
MixedPrecision,11,1.0,0.9777777777777777
MixedPrecision,12,1.0,0.9777777777777777
MixedPrecision,13,1.0,0.9740740740740741
MixedPrecision,14,1.0,0.9777777777777777
MixedPrecision,15,1.0,0.9740740740740741
ReduceComplexity,1,0.8925925925925926,0.9629629629629629
ReduceComplexity,2,0.975925925925926,0.9740740740740741
ReduceComplexity,3,0.9879629629629629,0.9629629629629629
ReduceComplexity,4,0.9962962962962963,0.9777777777777777
ReduceComplexity,5,0.9962962962962963,0.9777777777777777
ReduceComplexity,6,0.9990740740740741,0.9740740740740741
ReduceComplexity,7,1.0,0.9814814814814815
ReduceComplexity,8,1.0,0.9777777777777777
ReduceComplexity,9,1.0,0.9777777777777777
ReduceComplexity,10,1.0,0.9777777777777777
ReduceComplexity,11,1.0,0.9777777777777777
ReduceComplexity,12,1.0,0.9777777777777777
ReduceComplexity,13,1.0,0.9777777777777777
ReduceComplexity,14,1.0,0.9777777777777777
ReduceComplexity,15,1.0,0.9777777777777777
