Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.8777777777777778,0.8635018150702886
Baseline,A,2,0.9518518518518518,0.9526167097871304
Baseline,A,3,0.9592592592592591,0.9589764505497326
Baseline,A,4,0.9629629629629628,0.962676084249366
Baseline,A,5,0.9555555555555556,0.9573431188575628
Baseline,A,6,0.9629629629629628,0.9631309032456415
Baseline,A,7,0.9555555555555556,0.9553168942448508
Baseline,A,8,0.9629629629629628,0.962676084249366
Baseline,A,9,0.9518518518518518,0.9518774593930028
Baseline,A,10,0.9555555555555556,0.9553472449680512
Baseline with FineTune,A,1,0.9666666666666668,0.9666488750541624
SmallBatch,A,1,0.9148148148148147,0.8999430845659925
SmallBatch,A,2,0.9407407407407408,0.938004163963826
SmallBatch,A,3,0.937037037037037,0.9321958237691056
SmallBatch,A,4,0.9629629629629628,0.962676084249366
SmallBatch,A,5,0.9629629629629628,0.9621239400447396
SmallBatch,A,6,0.9629629629629628,0.9625957521832184
SmallBatch,A,7,0.9592592592592591,0.9596304697555704
SmallBatch,A,8,0.9629629629629628,0.9630258159466156
SmallBatch,A,9,0.9629629629629628,0.9630610893152222
SmallBatch,A,10,0.9629629629629628,0.962676084249366
SmallBatch with FineTune,A,1,0.9703703703703704,0.9708334159310776
MixedPrecision,A,1,0.925925925925926,0.9292914439225596
MixedPrecision,A,2,0.9481481481481482,0.9482400458502857
MixedPrecision,A,3,0.9592592592592591,0.9598130101297936
MixedPrecision,A,4,0.9592592592592591,0.9592867581572144
MixedPrecision,A,5,0.9592592592592591,0.9589649579620636
MixedPrecision,A,6,0.9629629629629628,0.962676084249366
MixedPrecision,A,7,0.9629629629629628,0.962676084249366
MixedPrecision,A,8,0.9592592592592591,0.9589017530913584
MixedPrecision,A,9,0.9555555555555556,0.9549622399021952
MixedPrecision,A,10,0.9555555555555556,0.9549622399021952
MixedPrecision with FineTune,A,1,0.9703703703703704,0.9700942650222216
ReduceComplexity,A,1,0.9296296296296296,0.9331548479845077
ReduceComplexity,A,2,0.9481481481481482,0.948578200494984
ReduceComplexity,A,3,0.9407407407407408,0.9409579233476248
ReduceComplexity,A,4,0.9555555555555556,0.9568543597097998
ReduceComplexity,A,5,0.9666666666666668,0.966842029532944
ReduceComplexity,A,6,0.9629629629629628,0.9625553913095242
ReduceComplexity,A,7,0.9555555555555556,0.9556456619526508
ReduceComplexity,A,8,0.9555555555555556,0.9556456619526508
ReduceComplexity,A,9,0.9555555555555556,0.9556456619526508
ReduceComplexity,A,10,0.9555555555555556,0.9556456619526508
ReduceComplexity with FineTune,A,1,0.9555555555555556,0.9560882130909542
ReduceComplexity with FineTune,A,2,0.9703703703703704,0.970141293129914
