Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9407407407407408,0.941226201473783
Baseline,B,2,0.9666666666666668,0.9669888943837884
Baseline,B,3,0.9481481481481482,0.9521793645484792
Baseline,B,4,0.9592592592592591,0.9600075818481892
Baseline,B,5,0.9703703703703704,0.9704418440146833
Baseline,B,6,0.9592592592592591,0.960244015893999
Baseline,B,7,0.9629629629629628,0.9635640945449696
Baseline,B,8,0.9629629629629628,0.9630203593203835
Baseline,B,9,0.9592592592592591,0.9590475685155871
Baseline,B,10,0.9629629629629628,0.962676084249366
Baseline with FineTune,B,1,0.9703703703703704,0.970276566317766
Baseline with FineTune,B,2,0.9777777777777776,0.9772437165798552
SmallBatch,B,1,0.9111111111111112,0.8989309001179125
SmallBatch,B,2,0.9666666666666668,0.968171601079454
SmallBatch,B,3,0.9666666666666668,0.967651164070636
SmallBatch,B,4,0.9592592592592591,0.9603393066450392
SmallBatch,B,5,0.9592592592592591,0.9608198883504712
SmallBatch,B,6,0.9592592592592591,0.9608198883504712
SmallBatch,B,7,0.9629629629629628,0.9635640945449696
SmallBatch,B,8,0.9666666666666668,0.9664170626881474
SmallBatch,B,9,0.9629629629629628,0.963585713706374
SmallBatch,B,10,0.9592592592592591,0.9598765620196366
SmallBatch with FineTune,B,1,0.9888888888888888,0.9889176678088674
MixedPrecision,B,1,0.9592592592592591,0.9587917698310048
MixedPrecision,B,2,0.9407407407407408,0.944101669610932
MixedPrecision,B,3,0.9629629629629628,0.9624822588440902
MixedPrecision,B,4,0.974074074074074,0.9737976245705444
MixedPrecision,B,5,0.9703703703703704,0.9703964813005947
MixedPrecision,B,6,0.9629629629629628,0.9637528994310016
MixedPrecision,B,7,0.974074074074074,0.9738768941919472
MixedPrecision,B,8,0.9703703703703704,0.9700186011162628
MixedPrecision,B,9,0.9703703703703704,0.9708334159310776
MixedPrecision,B,10,0.9703703703703704,0.9708148203377406
MixedPrecision with FineTune,B,1,0.9703703703703704,0.9708334159310776
MixedPrecision with FineTune,B,2,0.9703703703703704,0.9708602885729124
MixedPrecision with FineTune,B,3,0.9666666666666668,0.9666719013978248
MixedPrecision with FineTune,B,4,0.9666666666666668,0.968289180413683
MixedPrecision with FineTune,B,5,0.9851851851851852,0.9848926783044536
ReduceComplexity,B,1,0.9592592592592591,0.9587924953835132
ReduceComplexity,B,2,0.9481481481481482,0.9494504646921698
ReduceComplexity,B,3,0.9703703703703704,0.9704377601905654
ReduceComplexity,B,4,0.9629629629629628,0.9622462745004076
ReduceComplexity,B,5,0.9555555555555556,0.9552667155202552
ReduceComplexity,B,6,0.9555555555555556,0.9565482194658708
ReduceComplexity,B,7,0.9703703703703704,0.9704593793519696
ReduceComplexity,B,8,0.974074074074074,0.974078154416106
ReduceComplexity,B,9,0.974074074074074,0.9741558023569123
ReduceComplexity,B,10,0.9592592592592591,0.960112800703408
ReduceComplexity with FineTune,B,1,0.9629629629629628,0.9624731349344072
ReduceComplexity with FineTune,B,2,0.974074074074074,0.9743134151011664
ReduceComplexity with FineTune,B,3,0.9666666666666668,0.967651164070636
ReduceComplexity with FineTune,B,4,0.9666666666666668,0.9664816789583728
ReduceComplexity with FineTune,B,5,0.9814814814814816,0.9817498981005148
