Method,Client,Epoch,Test_Accuracy,F1_Score
Baseline,A,1,0.8829909613804438,0.8656302627869539
Baseline,A,2,0.9035332785538208,0.886626160287624
Baseline,A,3,0.9059983566146261,0.8897667602362335
Baseline,A,4,0.9112571898110107,0.8953956249901709
Baseline,A,5,0.9125718981101069,0.9024728854766666
Baseline,A,6,0.9242399342645851,0.9159612995895562
Baseline,A,7,0.9224322103533279,0.9150204034505932
Baseline,A,8,0.9221035332785538,0.9161185702357092
Baseline,A,9,0.9262119967132293,0.9201429536283063
Baseline,A,10,0.9252259654889071,0.9195987181005918
Baseline,A,FineTune_1,0.9189811010682005,0.9099976411954106
Baseline,A,FineTune_2,0.9271980279375514,0.9192840464102157
SmallBatch,A,1,0.7791290057518488,0.7186974906556242
SmallBatch,A,2,0.8639276910435497,0.8450206153911407
SmallBatch,A,3,0.9102711585866886,0.8963689999525931
SmallBatch,A,4,0.9161873459326212,0.9033422026970322
SmallBatch,A,5,0.9150369761709121,0.9049614899320543
SmallBatch,A,6,0.9258833196384553,0.9177801587224447
SmallBatch,A,7,0.9211175020542317,0.9126940058249001
SmallBatch,A,8,0.924404272801972,0.9162802170971446
SmallBatch,A,9,0.9270336894001643,0.9206914660112345
SmallBatch,A,10,0.9291700903861956,0.9223093549950919
SmallBatch,A,FineTune_1,0.932621199671323,0.925741318006088
MixedPrecision,A,1,0.8624486442070666,0.8408785560659652
MixedPrecision,A,2,0.904847986852917,0.8923516252219323
MixedPrecision,A,3,0.9084634346754313,0.8968468175976615
MixedPrecision,A,4,0.9069843878389482,0.8952732243599121
MixedPrecision,A,5,0.9206244864420706,0.9106980383523959
MixedPrecision,A,6,0.9207888249794577,0.9118066528770095
MixedPrecision,A,7,0.9183237469186524,0.9095395187573189
MixedPrecision,A,8,0.9216105176663928,0.9132942600652684
MixedPrecision,A,9,0.9304847986852917,0.9242038877571448
MixedPrecision,A,10,0.9263763352506162,0.9195806765289606
MixedPrecision,A,FineTune_1,0.9129005751848809,0.8964850209902288
MixedPrecision,A,FineTune_2,0.9160230073952342,0.9028630641008638
MixedPrecision,A,FineTune_3,0.9221035332785538,0.9121129905878866
MixedPrecision,A,FineTune_4,0.924404272801972,0.9141708053979943
MixedPrecision,A,FineTune_5,0.9212818405916188,0.9125337232170092
MixedPrecision,A,FineTune_6,0.9225965488907149,0.9146707987030562
MixedPrecision,A,FineTune_7,0.9248972884141331,0.9173952958892115
MixedPrecision,A,FineTune_8,0.9267050123253903,0.9196590891387587
MixedPrecision,A,FineTune_9,0.9301561216105176,0.9226841844386361
MixedPrecision,A,FineTune_10,0.9273623664749384,0.9204957277688237
ReduceComplexity,A,1,0.7480690221857026,0.6656059073342113
ReduceComplexity,A,2,0.8253081347576007,0.7957045749546546
ReduceComplexity,A,3,0.8622843056696795,0.8412598471362114
ReduceComplexity,A,4,0.8869350862777321,0.869923841563394
ReduceComplexity,A,5,0.8994248151191454,0.8823890961528841
ReduceComplexity,A,6,0.9013968775677896,0.8846539268952904
ReduceComplexity,A,7,0.9010682004930156,0.8843058129553251
ReduceComplexity,A,8,0.9099424815119146,0.8934481250952794
ReduceComplexity,A,9,0.9102711585866886,0.8938228348781193
ReduceComplexity,A,10,0.9101068200493015,0.8933145823442211
ReduceComplexity,A,FineTune_1,0.9225965488907149,0.9140349447678705
Baseline,B,1,0.8815119145439606,0.8646557499996134
Baseline,B,2,0.9007395234182416,0.8844586885962166
Baseline,B,3,0.9099424815119146,0.8940974394057967
Baseline,B,4,0.9122432210353328,0.8955877928458899
Baseline,B,5,0.9092851273623664,0.8953096664817655
Baseline,B,6,0.9173377156943303,0.9052304064925663
Baseline,B,7,0.9155299917830731,0.9059213129192721
Baseline,B,8,0.9248972884141331,0.9172519271962295
Baseline,B,9,0.923582580115037,0.9159015877542501
Baseline,B,10,0.9212818405916188,0.913822642766717
Baseline,B,FineTune_1,0.9232539030402629,0.9152688264814494
Baseline,B,FineTune_2,0.923582580115037,0.9160271068150774
Baseline,B,FineTune_3,0.9260476581758422,0.9184588599244241
SmallBatch,B,1,0.819227608874281,0.7893003038917742
SmallBatch,B,2,0.8898931799506984,0.8773361347837214
SmallBatch,B,3,0.9156943303204601,0.9052006338657604
SmallBatch,B,4,0.9150369761709121,0.9045383062396571
SmallBatch,B,5,0.914708299096138,0.902761745367745
SmallBatch,B,6,0.9191454396055875,0.9105020305994613
SmallBatch,B,7,0.923746918652424,0.91608630439101
SmallBatch,B,8,0.9281840591618734,0.9214736469925318
SmallBatch,B,9,0.92341824157765,0.9161061604099002
SmallBatch,B,10,0.9179950698438784,0.9102271422858469
SmallBatch,B,FineTune_1,0.9319638455217748,0.9254091175833626
MixedPrecision,B,1,0.8259654889071487,0.7947908824140394
MixedPrecision,B,2,0.8882497945768283,0.8747769019814131
MixedPrecision,B,3,0.9110928512736237,0.9007979615030726
MixedPrecision,B,4,0.9152013147082991,0.9063393863662421
MixedPrecision,B,5,0.9219391947411668,0.9138622906141001
MixedPrecision,B,6,0.9181594083812654,0.9098835428748454
MixedPrecision,B,7,0.9255546425636811,0.9179832376447807
