Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.8616269515201315,0.798650020112594
Baseline,2,0.9071487263763353,0.444140895580252
SmallBatch,1,0.885784716516023,0.4463226329535246
SmallBatch,2,0.9290057518488085,0.2471748860552907
MixedPrecision,1,0.8828266228430567,0.6135032090047995
MixedPrecision,2,0.8986031224322103,0.35872420730690163
MixedPrecision,3,0.9152013147082991,0.26581916585564613
ReduceComplexity,1,0.7290057518488086,1.4013084769248962
ReduceComplexity,2,0.790797041906327,0.9273786519964536
ReduceComplexity,3,0.8701725554642563,0.7070409444471201
ReduceComplexity,4,0.8994248151191454,0.580923163642486
ReduceComplexity,5,0.9084634346754313,0.4729280372460683
