Method,Client,Epoch,Test_Accuracy,F1_Score
Baseline,A,FineTune_1,0.9160230073952342,0.9053321536600384
Baseline,A,FineTune_2,0.9127362366474938,0.9000925494399825
Baseline,A,FineTune_3,0.9202958093672966,0.9090602103346275
Baseline,A,FineTune_4,0.9225965488907149,0.9123036634281988
Baseline,A,FineTune_5,0.9206244864420706,0.9098889360376052
Baseline,A,FineTune_6,0.9168447000821692,0.9064847306109891
Baseline,A,FineTune_7,0.9270336894001643,0.9173384713391085
Baseline,A,FineTune_8,0.92341824157765,0.9128389751444818
Baseline,A,FineTune_9,0.9225965488907149,0.9134865869836929
Baseline,A,FineTune_10,0.9265406737880033,0.9191926306355298
SmallBatch,A,FineTune_1,0.9286770747740345,0.9198515885745655
SmallBatch,A,FineTune_2,0.9293344289235825,0.9212838053666251
SmallBatch,A,FineTune_3,0.933935907970419,0.9271354641892711
SmallBatch,A,FineTune_4,0.9298274445357436,0.9230565250804474
SmallBatch,A,FineTune_5,0.9354149548069022,0.9300492100097923
SmallBatch,A,FineTune_6,0.9276910435497124,0.922202326301397
SmallBatch,A,FineTune_7,0.9354149548069022,0.9306305712751418
SmallBatch,A,FineTune_8,0.934264585045193,0.9292782385915782
SmallBatch,A,FineTune_9,0.9276910435497124,0.9224438770312108
SmallBatch,A,FineTune_10,0.9160230073952342,0.9100837029774874
MixedPrecision,A,FineTune_1,0.9202958093672966,0.9098257123227785
MixedPrecision,A,FineTune_2,0.9219391947411668,0.9115735777081071
MixedPrecision,A,FineTune_3,0.9245686113393591,0.9170435727488024
MixedPrecision,A,FineTune_4,0.9265406737880033,0.9196736006359019
MixedPrecision,A,FineTune_5,0.9268693508627773,0.9210909840097672
MixedPrecision,A,FineTune_6,0.9250616269515202,0.9190396201968601
MixedPrecision,A,FineTune_7,0.9278553820870994,0.9225263561145894
MixedPrecision,A,FineTune_8,0.9291700903861956,0.9240416543459925
MixedPrecision,A,FineTune_9,0.9319638455217748,0.9270551471817312
MixedPrecision,A,FineTune_10,0.932621199671323,0.9278970895954587
ReduceComplexity,A,FineTune_1,0.9071487263763353,0.8899315077315405
ReduceComplexity,A,FineTune_2,0.9009038619556285,0.8838832476861214
ReduceComplexity,A,FineTune_3,0.914543960558751,0.8977365977149024
ReduceComplexity,A,FineTune_4,0.9130649137222678,0.8960933934193959
ReduceComplexity,A,FineTune_5,0.9153656532456861,0.8982879223972027
ReduceComplexity,A,FineTune_6,0.9130649137222678,0.8961863232127961
ReduceComplexity,A,FineTune_7,0.9155299917830731,0.8985876872630268
ReduceComplexity,A,FineTune_8,0.9063270336894002,0.8887744356190482
ReduceComplexity,A,FineTune_9,0.9152013147082991,0.8995949421556978
ReduceComplexity,A,FineTune_10,0.9165160230073952,0.899756555628007
Baseline,B,FineTune_1,0.9132292522596549,0.901518217933593
Baseline,B,FineTune_2,0.905505341002465,0.8930371718805382
Baseline,B,FineTune_3,0.9194741166803615,0.9084741222991835
Baseline,B,FineTune_4,0.92341824157765,0.9127665916910322
Baseline,B,FineTune_5,0.9250616269515202,0.914193480859163
Baseline,B,FineTune_6,0.9207888249794577,0.9102885073355382
Baseline,B,FineTune_7,0.9252259654889071,0.9147943561776738
Baseline,B,FineTune_8,0.9276910435497124,0.9197561218481165
Baseline,B,FineTune_9,0.924075595727198,0.915089032463403
Baseline,B,FineTune_10,0.9288414133114216,0.9210949008845425
SmallBatch,B,FineTune_1,0.9298274445357436,0.9221715547857282
SmallBatch,B,FineTune_2,0.9308134757600658,0.923653519948178
SmallBatch,B,FineTune_3,0.9331142152834839,0.9255010553252011
SmallBatch,B,FineTune_4,0.9355792933442892,0.9301961930213077
SmallBatch,B,FineTune_5,0.9344289235825801,0.9298466344991818
SmallBatch,B,FineTune_6,0.9304847986852917,0.924575514480156
SmallBatch,B,FineTune_7,0.923911257189811,0.9168732708663582
SmallBatch,B,FineTune_8,0.9367296631059984,0.9322318742279402
SmallBatch,B,FineTune_9,0.9377156943303204,0.9334654650244529
SmallBatch,B,FineTune_10,0.9370583401807724,0.9322326731469373
MixedPrecision,B,FineTune_1,0.9198027937551356,0.909988470992445
MixedPrecision,B,FineTune_2,0.924075595727198,0.9154011410343404
MixedPrecision,B,FineTune_3,0.9306491372226787,0.9249452199464182
MixedPrecision,B,FineTune_4,0.9303204601479047,0.92478139727004
MixedPrecision,B,FineTune_5,0.9245686113393591,0.9176558939603879
MixedPrecision,B,FineTune_6,0.9321281840591619,0.9277845882219676
MixedPrecision,B,FineTune_7,0.9334428923582581,0.9292291629384694
MixedPrecision,B,FineTune_8,0.9301561216105176,0.9254511820426268
MixedPrecision,B,FineTune_9,0.9304847986852917,0.9259323411303124
MixedPrecision,B,FineTune_10,0.9345932621199672,0.9306747654038151
ReduceComplexity,B,FineTune_1,0.9152013147082991,0.8985910095391234
ReduceComplexity,B,FineTune_2,0.9130649137222678,0.8961415149409725
ReduceComplexity,B,FineTune_3,0.9188167625308135,0.9029837719927429
ReduceComplexity,B,FineTune_4,0.9056696795398521,0.8883255717755446
ReduceComplexity,B,FineTune_5,0.9152013147082991,0.8987650897852065
ReduceComplexity,B,FineTune_6,0.9133935907970419,0.8969013206077583
ReduceComplexity,B,FineTune_7,0.9138866064092029,0.8971238895914251
ReduceComplexity,B,FineTune_8,0.9148726376335251,0.8982746135390507
ReduceComplexity,B,FineTune_9,0.9148726376335251,0.8986207984239492
ReduceComplexity,B,FineTune_10,0.914708299096138,0.8979791971471593
