Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.8994248151191454,0.8933366260274359
Baseline,A,2,0.914379622021364,0.910670494924562
Baseline,A,3,0.9171733771569432,0.9158551500514702
Baseline,A,4,0.9301561216105176,0.9272805509828408
Baseline,A,5,0.9255546425636813,0.9227098107242432
Baseline,A,6,0.9299917830731308,0.9272231862830358
Baseline,A,7,0.9299917830731308,0.9269465158338006
Baseline,A,8,0.9217748562037796,0.9179371254638878
Baseline,A,9,0.9094494658997536,0.907434793162124
Baseline,A,10,0.9212818405916188,0.9177235823650728
Baseline with FineTune,A,1,0.93278553820871,0.9318807172710416
SmallBatch,A,1,0.8976170912078882,0.8919485497162254
SmallBatch,A,2,0.9193097781429744,0.9177654413683368
SmallBatch,A,3,0.9271980279375514,0.9246590543478288
SmallBatch,A,4,0.9278553820870994,0.9249508094374016
SmallBatch,A,5,0.9170090386195564,0.9143357339524484
SmallBatch,A,6,0.9194741166803616,0.9160223630209126
SmallBatch,A,7,0.9176663927691044,0.9137093270099882
SmallBatch,A,8,0.9217748562037796,0.9185624751094578
SmallBatch,A,9,0.9183237469186524,0.9141978039825424
SmallBatch,A,10,0.923089564502876,0.9197369405342112
SmallBatch with FineTune,A,1,0.9396877567789648,0.9383763590547046
MixedPrecision,A,1,0.905341002465078,0.8986359978067252
MixedPrecision,A,2,0.9242399342645852,0.9223719294361404
MixedPrecision,A,3,0.915036976170912,0.9103992526802586
MixedPrecision,A,4,0.9229252259654888,0.9195858813807836
MixedPrecision,A,5,0.9262119967132292,0.9225698200025236
MixedPrecision,A,6,0.9276910435497124,0.9242672131262892
MixedPrecision,A,7,0.932128184059162,0.9289622726213372
MixedPrecision,A,8,0.9275267050123254,0.9240019686698682
MixedPrecision,A,9,0.923746918652424,0.9199873026774767
MixedPrecision,A,10,0.9306491372226788,0.9277735638470336
MixedPrecision with FineTune,A,1,0.9439605587510272,0.9429959401750584
ReduceComplexity,A,1,0.9242399342645852,0.9181498955339008
ReduceComplexity,A,2,0.932128184059162,0.9298034758123088
ReduceComplexity,A,3,0.9250616269515202,0.9211247812677424
ReduceComplexity,A,4,0.9313064913722268,0.9287620626518456
ReduceComplexity,A,5,0.9253903040262942,0.922861685791154
ReduceComplexity,A,6,0.9283483976992604,0.9249231944471568
ReduceComplexity,A,7,0.9271980279375514,0.9239173671843584
ReduceComplexity,A,8,0.8910435497124075,0.883814402291171
ReduceComplexity,A,9,0.8752670501232539,0.8749498259084907
ReduceComplexity,A,10,0.923089564502876,0.92036139066783
ReduceComplexity with FineTune,A,1,0.9460969597370584,0.944436666915725
