Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9184880854560394,0.9116352843440276
Baseline,B,2,0.9313064913722268,0.9308790920454396
Baseline,B,3,0.9188167625308136,0.9155037576657918
Baseline,B,4,0.924404272801972,0.9212181417423247
Baseline,B,5,0.9309778142974529,0.9288685251523876
Baseline,B,6,0.9303204601479048,0.9286546352380296
Baseline,B,7,0.932456861133936,0.9305725291565043
Baseline,B,8,0.9294987674609696,0.9274052163988206
Baseline,B,9,0.9298274445357436,0.9277245248904864
Baseline,B,10,0.9299917830731308,0.9281965370031742
Baseline with FineTune,B,1,0.9248972884141332,0.924850655005473
Baseline with FineTune,B,2,0.942810188989318,0.942609023492527
SmallBatch,B,1,0.9314708299096138,0.9285069179323032
SmallBatch,B,2,0.9189811010682004,0.9163033094837584
SmallBatch,B,3,0.9293344289235824,0.9271377794880816
SmallBatch,B,4,0.9260476581758422,0.9227205204553408
SmallBatch,B,5,0.933607230895645,0.9314863628332994
SmallBatch,B,6,0.9317995069843878,0.9297642695780024
SmallBatch,B,7,0.9294987674609696,0.92698798224172
SmallBatch,B,8,0.9317995069843878,0.9294818746580202
SmallBatch,B,9,0.9298274445357436,0.9273175967212112
SmallBatch,B,10,0.9319638455217748,0.9296561180733666
SmallBatch with FineTune,B,1,0.903861955628595,0.9030094742648584
SmallBatch with FineTune,B,2,0.9375513557929336,0.9357179810609316
MixedPrecision,B,1,0.9319638455217748,0.9280852662230592
MixedPrecision,B,2,0.9207888249794576,0.9178157550488404
MixedPrecision,B,3,0.9313064913722268,0.9288016498396332
MixedPrecision,B,4,0.9304847986852915,0.9281694338492052
MixedPrecision,B,5,0.9309778142974529,0.92865039268994
MixedPrecision,B,6,0.923582580115037,0.9222835924683572
MixedPrecision,B,7,0.933771569433032,0.9314747329173406
MixedPrecision,B,8,0.932128184059162,0.929716896716198
MixedPrecision,B,9,0.9298274445357436,0.9270895632210474
MixedPrecision,B,10,0.933607230895645,0.9323037594345024
MixedPrecision with FineTune,B,1,0.942481511914544,0.9416756663836544
ReduceComplexity,B,1,0.9276910435497124,0.924465850728067
ReduceComplexity,B,2,0.9232539030402628,0.9197113511670444
ReduceComplexity,B,3,0.9222678718159408,0.9197707964791868
ReduceComplexity,B,4,0.9311421528348398,0.9294067694365812
ReduceComplexity,B,5,0.9081347576006572,0.9039214171957456
ReduceComplexity,B,6,0.9304847986852915,0.9282236376269294
ReduceComplexity,B,7,0.9288414133114216,0.925688920649777
ReduceComplexity,B,8,0.9117502054231718,0.907414738854113
ReduceComplexity,B,9,0.9265406737880032,0.9242792571761388
ReduceComplexity,B,10,0.922760887428102,0.9214089431412456
ReduceComplexity with FineTune,B,1,0.9446179129005752,0.9442504587562344
