Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.9160230073952342,0.9108828214035384
Baseline,A,2,0.9308134757600658,0.928460422310585
Baseline,A,3,0.9290057518488084,0.9262607023837854
Baseline,A,4,0.9252259654889072,0.9215403054533476
Baseline,A,5,0.9184880854560394,0.9150511052115882
Baseline,A,6,0.923746918652424,0.9200107356597508
Baseline,A,7,0.9110928512736236,0.9092635776590215
Baseline,A,8,0.924075595727198,0.9204622590087946
Baseline,A,9,0.8912078882497946,0.8883054668791317
Baseline,A,10,0.9186524239934264,0.915001818511907
Baseline with FineTune,A,1,0.9390304026294166,0.9365793215987204
SmallBatch,A,1,0.9148726376335252,0.9126663506884298
SmallBatch,A,2,0.904190632703369,0.9020138797557792
SmallBatch,A,3,0.932949876746097,0.9299590016364342
SmallBatch,A,4,0.9322925225965488,0.9289728867731216
SmallBatch,A,5,0.933935907970419,0.9312818572874512
SmallBatch,A,6,0.923089564502876,0.9196835960602447
SmallBatch,A,7,0.9184880854560394,0.9147638088803424
SmallBatch,A,8,0.9179950698438784,0.9140820064834868
SmallBatch,A,9,0.9263763352506162,0.9230977257805848
SmallBatch,A,10,0.923911257189811,0.9208316136127872
SmallBatch with FineTune,A,1,0.932456861133936,0.9301981458685986
SmallBatch with FineTune,A,2,0.9410024650780608,0.9380450713840084
MixedPrecision,A,1,0.9207888249794576,0.9166898787412118
MixedPrecision,A,2,0.9262119967132292,0.922411932719754
MixedPrecision,A,3,0.9275267050123254,0.92444573482257
MixedPrecision,A,4,0.9290057518488084,0.9252571815019774
MixedPrecision,A,5,0.9175020542317174,0.912581425682609
MixedPrecision,A,6,0.9199671322925226,0.9163054393247488
MixedPrecision,A,7,0.9242399342645852,0.920922635873778
MixedPrecision,A,8,0.9262119967132292,0.9226197532970576
MixedPrecision,A,9,0.9252259654889072,0.9219905519635528
MixedPrecision,A,10,0.8734593262119967,0.8630065035539215
MixedPrecision with FineTune,A,1,0.9313064913722268,0.92940747106955
ReduceComplexity,A,1,0.914543960558751,0.9084641769515922
ReduceComplexity,A,2,0.9202958093672966,0.9169049328715572
ReduceComplexity,A,3,0.9186524239934264,0.9156542622797732
ReduceComplexity,A,4,0.9186524239934264,0.9164111082554312
ReduceComplexity,A,5,0.9255546425636813,0.9216033325286846
ReduceComplexity,A,6,0.9291700903861956,0.9257756523846372
ReduceComplexity,A,7,0.9285127362366477,0.9248925352465622
ReduceComplexity,A,8,0.932621199671323,0.929572301206788
ReduceComplexity,A,9,0.924404272801972,0.9204437013659732
ReduceComplexity,A,10,0.9319638455217748,0.9286234213062668
ReduceComplexity with FineTune,A,1,0.933114215283484,0.9312707190669904
