Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9276910435497124,0.9253681072690088
Baseline,B,2,0.9132292522596548,0.909943102121305
Baseline,B,3,0.9273623664749384,0.9239187549198782
Baseline,B,4,0.9278553820870994,0.9246839518335078
Baseline,B,5,0.8987674609695974,0.8928471833532486
Baseline,B,6,0.9268693508627772,0.923332274292686
Baseline,B,7,0.9283483976992604,0.92651598709279
Baseline,B,8,0.9262119967132292,0.9238948583071162
Baseline,B,9,0.9063270336894002,0.9040166790502764
Baseline,B,10,0.905998356614626,0.902852550328164
Baseline with FineTune,B,1,0.9352506162695152,0.9343578559880296
SmallBatch,B,1,0.9178307313064914,0.9173353590549364
SmallBatch,B,2,0.9035332785538208,0.8987489902557583
SmallBatch,B,3,0.9207888249794576,0.9189033466511692
SmallBatch,B,4,0.9258833196384552,0.9239148379526988
SmallBatch,B,5,0.924732949876746,0.9216887215872602
SmallBatch,B,6,0.9298274445357436,0.9277242851158386
SmallBatch,B,7,0.9253903040262942,0.9236150116013538
SmallBatch,B,8,0.9288414133114216,0.9261180558269452
SmallBatch,B,9,0.9202958093672966,0.917125058769636
SmallBatch,B,10,0.9278553820870994,0.9249465511108172
SmallBatch with FineTune,B,1,0.9273623664749384,0.9266190519479396
SmallBatch with FineTune,B,2,0.9411668036154478,0.9396814048329528
MixedPrecision,B,1,0.93278553820871,0.9298636487715284
MixedPrecision,B,2,0.9276910435497124,0.9244313686008137
MixedPrecision,B,3,0.9275267050123254,0.9245563840925564
MixedPrecision,B,4,0.9298274445357436,0.9281552239106448
MixedPrecision,B,5,0.9260476581758422,0.9229780747161132
MixedPrecision,B,6,0.9271980279375514,0.9260892310237366
MixedPrecision,B,7,0.9294987674609696,0.9274752099259594
MixedPrecision,B,8,0.9301561216105176,0.9270470116033296
MixedPrecision,B,9,0.9064913722267872,0.9028762175294536
MixedPrecision,B,10,0.9094494658997536,0.9057292550840366
MixedPrecision with FineTune,B,1,0.9317995069843878,0.9299649833261464
MixedPrecision with FineTune,B,2,0.914543960558751,0.9142959375321268
MixedPrecision with FineTune,B,3,0.9268693508627772,0.922998633907096
MixedPrecision with FineTune,B,4,0.9411668036154478,0.9391634157452768
ReduceComplexity,B,1,0.9035332785538208,0.8996818520564583
ReduceComplexity,B,2,0.932621199671323,0.9308106328679192
ReduceComplexity,B,3,0.922760887428102,0.9199757838658372
ReduceComplexity,B,4,0.9186524239934264,0.9164524297023198
ReduceComplexity,B,5,0.9294987674609696,0.9268925576420824
ReduceComplexity,B,6,0.9308134757600658,0.9279959802302384
ReduceComplexity,B,7,0.9170090386195564,0.9139718477275716
ReduceComplexity,B,8,0.922432210353328,0.9196818970503328
ReduceComplexity,B,9,0.9209531635168448,0.9184265823310622
ReduceComplexity,B,10,0.9119145439605588,0.9063357496425444
ReduceComplexity with FineTune,B,1,0.9221035332785538,0.9190593556882342
ReduceComplexity with FineTune,B,2,0.9375513557929336,0.9371247360713194
