Method,Epoch,Train_Accuracy,Test_Accuracy
Baseline,1,0.895935960591133,0.9403451109285127
Baseline,2,0.9680418719211823,0.942974527526705
Baseline,3,0.986884236453202,0.942481511914544
Baseline,4,0.9923850574712644,0.9365653245686113
Baseline,5,0.9930623973727422,0.9380443714050944
Baseline,6,0.9952791461412152,0.9403451109285127
Baseline,7,0.9961001642036125,0.9359079704190633
Baseline,8,0.99690065681445,0.9398520953163517
Baseline,9,0.997208538587849,0.9449465899753492
Baseline,10,0.9967159277504105,0.933935907970419
Baseline,11,0.9982758620689656,0.9400164338537387
Baseline,12,0.997188013136289,0.9362366474938373
Baseline,13,0.9981321839080459,0.9423171733771569
Baseline,14,0.9987889983579639,0.9413311421528349
Baseline,15,0.9975574712643678,0.94215283483977
SmallBatch,1,0.9000615763546798,0.9388660640920296
SmallBatch,2,0.9691912972085386,0.9446179129005752
SmallBatch,3,0.9873563218390805,0.942481511914544
SmallBatch,4,0.9910714285714286,0.9416598192276089
SmallBatch,5,0.9942323481116585,0.943138866064092
SmallBatch,6,0.9957717569786535,0.9426458504519309
SmallBatch,7,0.9964080459770115,0.9396877567789647
SmallBatch,8,0.9962027914614121,0.9433032046014791
SmallBatch,9,0.9971059113300492,0.9456039441248972
SmallBatch,10,0.9976806239737275,0.943467543138866
SmallBatch,11,0.9976395730706076,0.9388660640920296
SmallBatch,12,0.9975985221674877,0.9418241577649958
SmallBatch,13,0.9983169129720854,0.9387017255546426
SmallBatch,14,0.9978653530377668,0.9398520953163517
SmallBatch,15,0.9990147783251232,0.9373870172555464
MixedPrecision,1,0.8962848932676519,0.9436318816762531
MixedPrecision,2,0.9688628899835796,0.9446179129005752
MixedPrecision,3,0.9865147783251231,0.9372226787181595
MixedPrecision,4,0.9907019704433497,0.9419884963023829
MixedPrecision,5,0.993103448275862,0.9419884963023829
MixedPrecision,6,0.9953407224958949,0.9413311421528349
MixedPrecision,7,0.9964901477832512,0.9398520953163517
MixedPrecision,8,0.9970443349753695,0.9442892358258012
MixedPrecision,9,0.995915435139573,0.9354149548069022
MixedPrecision,10,0.9983169129720854,0.9362366474938373
MixedPrecision,11,0.9972290640394089,0.9380443714050944
MixedPrecision,12,0.9978858784893267,0.9433032046014791
MixedPrecision,13,0.999035303776683,0.9360723089564503
MixedPrecision,14,0.997208538587849,0.9433032046014791
MixedPrecision,15,0.9984195402298851,0.9382087099424815
ReduceComplexity,1,0.9102627257799671,0.9444535743631882
ReduceComplexity,2,0.9728858784893267,0.9493837304847987
ReduceComplexity,3,0.9886288998357964,0.9229252259654889
ReduceComplexity,4,0.9919745484400657,0.9439605587510271
ReduceComplexity,5,0.9938218390804597,0.9296631059983567
ReduceComplexity,6,0.9953612479474548,0.9454396055875103
ReduceComplexity,7,0.9958128078817734,0.942481511914544
ReduceComplexity,8,0.9969211822660099,0.9396877567789647
ReduceComplexity,9,0.9972495894909688,0.942810188989318
ReduceComplexity,10,0.9967980295566502,0.9383730484798686
ReduceComplexity,11,0.9981527093596059,0.9334428923582581
ReduceComplexity,12,0.9974343185550082,0.942974527526705
ReduceComplexity,13,0.9985426929392447,0.942810188989318
ReduceComplexity,14,0.9984400656814449,0.9416598192276089
ReduceComplexity,15,0.9982758620689656,0.9449465899753492
